method	status	gene	ct_value
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	37.47
sm2	no_primers	BCR_ABL	37.79
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	37.79
sm2	no_primers	BCR_ABL	18.44
sm2	no_primers	BCR_ABL	35.85
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	37.58
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	37.81
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	BCR_ABL	0.00
sm2	no_primers	GAPDH	12.71
sm2	no_primers	GAPDH	12.59
sm2	no_primers	GAPDH	22.27
sm2	no_primers	GAPDH	20.75
sm2	no_primers	GAPDH	13.90
sm2	no_primers	GAPDH	23.06
sm2	no_primers	GAPDH	19.07
sm2	no_primers	GAPDH	13.64
sm2	no_primers	GAPDH	23.72
sm2	no_primers	GAPDH	12.06
sm2	no_primers	GAPDH	15.87
sm2	no_primers	GAPDH	23.95
sm2	no_primers	GAPDH	31.85
sm2	no_primers	GAPDH	13.53
sm2	no_primers	GAPDH	24.50
sm2	no_primers	GAPDH	16.84
sm2	no_primers	GAPDH	13.76
sm2	no_primers	GAPDH	25.04
sm2	no_primers	GAPDH	17.92
sm2	no_primers	GAPDH	14.61
sm2	no_primers	GAPDH	25.18
sm2	no_primers	GAPDH	14.11
sm2	no_primers	GAPDH	13.12
sm2	no_primers	GAPDH	23.67
c1	no_primers	BCR_ABL	37.01
c1	no_primers	BCR_ABL	0.00
c1	no_primers	BCR_ABL	36.12
c1	no_primers	BCR_ABL	22.53
c1	no_primers	BCR_ABL	37.55
c1	no_primers	BCR_ABL	31.06
c1	no_primers	BCR_ABL	28.50
c1	no_primers	BCR_ABL	28.08
c1	no_primers	BCR_ABL	35.98
c1	no_primers	BCR_ABL	0.00
c1	no_primers	BCR_ABL	34.86
c1	no_primers	BCR_ABL	0.00
c1	no_primers	BCR_ABL	0.00
c1	no_primers	BCR_ABL	25.50
c1	no_primers	BCR_ABL	35.95
c1	no_primers	BCR_ABL	0.00
c1	no_primers	BCR_ABL	37.53
c1	no_primers	BCR_ABL	36.89
c1	no_primers	BCR_ABL	0.00
c1	no_primers	BCR_ABL	37.34
c1	no_primers	BCR_ABL	0.00
c1	no_primers	BCR_ABL	37.99
c1	no_primers	BCR_ABL	0.00
c1	no_primers	GAPDH	14.12
c1	no_primers	GAPDH	14.53
c1	no_primers	GAPDH	15.08
c1	no_primers	GAPDH	14.07
c1	no_primers	GAPDH	15.71
c1	no_primers	GAPDH	22.60
c1	no_primers	GAPDH	13.80
c1	no_primers	GAPDH	13.92
c1	no_primers	GAPDH	16.66
c1	no_primers	GAPDH	15.41
c1	no_primers	GAPDH	13.21
c1	no_primers	GAPDH	14.68
c1	no_primers	GAPDH	15.38
c1	no_primers	GAPDH	14.27
c1	no_primers	GAPDH	13.91
c1	no_primers	GAPDH	20.04
c1	no_primers	GAPDH	14.82
c1	no_primers	GAPDH	14.45
c1	no_primers	GAPDH	16.49
c1	no_primers	GAPDH	14.59
c1	no_primers	GAPDH	15.52
c1	no_primers	GAPDH	14.91
c1	no_primers	GAPDH	16.29
sm2	with_primers	BCR_ABL	25.60
sm2	with_primers	BCR_ABL	26.44
sm2	with_primers	BCR_ABL	25.37
sm2	with_primers	BCR_ABL	27.54
sm2	with_primers	BCR_ABL	35.00
sm2	with_primers	BCR_ABL	25.91
sm2	with_primers	BCR_ABL	25.34
sm2	with_primers	BCR_ABL	25.01
sm2	with_primers	BCR_ABL	25.37
sm2	with_primers	BCR_ABL	24.50
sm2	with_primers	BCR_ABL	24.69
sm2	with_primers	BCR_ABL	26.04
sm2	with_primers	BCR_ABL	28.51
sm2	with_primers	BCR_ABL	26.36
sm2	with_primers	BCR_ABL	37.55
sm2	with_primers	BCR_ABL	26.52
sm2	with_primers	BCR_ABL	25.10
sm2	with_primers	BCR_ABL	27.22
sm2	with_primers	BCR_ABL	24.61
sm2	with_primers	BCR_ABL	26.27
sm2	with_primers	BCR_ABL	30.55
sm2	with_primers	BCR_ABL	24.90
sm2	with_primers	BCR_ABL	26.79
sm2	with_primers	BCR_ABL	28.43
sm2	with_primers	GAPDH	16.95
sm2	with_primers	GAPDH	15.60
sm2	with_primers	GAPDH	19.34
sm2	with_primers	GAPDH	15.44
sm2	with_primers	GAPDH	14.37
sm2	with_primers	GAPDH	17.97
sm2	with_primers	GAPDH	15.92
sm2	with_primers	GAPDH	14.29
sm2	with_primers	GAPDH	16.42
sm2	with_primers	GAPDH	17.18
sm2	with_primers	GAPDH	13.59
sm2	with_primers	GAPDH	18.49
sm2	with_primers	GAPDH	18.86
sm2	with_primers	GAPDH	15.39
sm2	with_primers	GAPDH	28.71
sm2	with_primers	GAPDH	17.40
sm2	with_primers	GAPDH	16.67
sm2	with_primers	GAPDH	17.40
sm2	with_primers	GAPDH	16.19
sm2	with_primers	GAPDH	17.66
sm2	with_primers	GAPDH	16.60
sm2	with_primers	GAPDH	14.10
sm2	with_primers	GAPDH	18.03
sm2	with_primers	GAPDH	20.99
c1	with_primers	BCR_ABL	16.06
c1	with_primers	BCR_ABL	27.86
c1	with_primers	BCR_ABL	20.65
c1	with_primers	BCR_ABL	13.53
c1	with_primers	BCR_ABL	14.08
c1	with_primers	BCR_ABL	26.09
c1	with_primers	BCR_ABL	15.01
c1	with_primers	BCR_ABL	24.51
c1	with_primers	BCR_ABL	14.84
c1	with_primers	BCR_ABL	13.70
c1	with_primers	BCR_ABL	18.84
c1	with_primers	BCR_ABL	28.32
c1	with_primers	BCR_ABL	13.61
c1	with_primers	BCR_ABL	25.65
c1	with_primers	BCR_ABL	23.44
c1	with_primers	BCR_ABL	20.96
c1	with_primers	BCR_ABL	20.29
c1	with_primers	BCR_ABL	14.54
c1	with_primers	BCR_ABL	20.37
c1	with_primers	BCR_ABL	22.46
c1	with_primers	BCR_ABL	14.40
c1	with_primers	BCR_ABL	13.13
c1	with_primers	BCR_ABL	17.29
c1	with_primers	GAPDH	15.29
c1	with_primers	GAPDH	29.18
c1	with_primers	GAPDH	28.31
c1	with_primers	GAPDH	14.29
c1	with_primers	GAPDH	14.90
c1	with_primers	GAPDH	35.59
c1	with_primers	GAPDH	15.62
c1	with_primers	GAPDH	27.05
c1	with_primers	GAPDH	14.99
c1	with_primers	GAPDH	15.30
c1	with_primers	GAPDH	18.75
c1	with_primers	GAPDH	29.90
c1	with_primers	GAPDH	15.39
c1	with_primers	GAPDH	27.11
c1	with_primers	GAPDH	23.85
c1	with_primers	GAPDH	14.13
c1	with_primers	GAPDH	28.15
c1	with_primers	GAPDH	15.07
c1	with_primers	GAPDH	14.71
c1	with_primers	GAPDH	29.06
c1	with_primers	GAPDH	15.17
c1	with_primers	GAPDH	14.84
c1	with_primers	GAPDH	22.93








