  Dim1	Dim2
  -13.7565  434.8371
  -82.9873  456.6679
   28.9382  472.5422
  -84.9289  544.5273
  -43.2747  485.9936
   99.9252  474.2895
  -52.3033  386.1244
 -229.3847 -463.3144
 -111.1483 -253.7626
 -273.4781 -112.8696
 -147.2369  420.6104
  446.6909  -11.2281
 -256.0160   74.3903
  411.4129 -180.5107
  106.2424 -208.8629
  -81.9631  256.4665
 -342.1463 -185.9826
  -20.2756 -283.4336
  253.7712 -131.2541
  183.7445  226.5173
 -187.9791  138.4924
  -84.3497  157.7026
 -438.6481 -248.4519
 -159.4270 -191.6018
  -21.7228 -163.3309
  -50.6209 -104.8190
  -90.3178  -54.7993
  132.2931  -40.6491
  147.8621   29.3191
   30.3117  -35.3956
  -93.9938 -153.9891
 -191.9750 -124.4425
 -128.2862 -105.6614
   23.0169  -96.4377
  -27.2654  -49.2306
  -46.3453   -2.4118
 -154.5055   65.8345
  118.9147   86.6925
    1.0794 -419.1011
 -232.7920 -294.1231
 -320.4681  -17.3291
  328.5941   53.3835
  190.3002 -233.7549
 -224.4627  -37.6757
 -200.6966 -342.4446
  106.5874  267.6547
  160.8065 -427.0587
 -139.0381 -466.3114
 -424.3765  -47.8483
  237.3576 -276.2122
  360.0664 -318.8416
  110.8913 -306.7298
  280.7448  306.7238
  238.2822   15.5075
 -371.2464  138.3172
  203.9389  115.5048
 -238.9387  244.8630
 -229.9777 -202.4151
   24.2519  222.7248
  299.0400  171.1725
  329.4995  -59.1036
  382.5246  163.2871
  129.8626  160.6956
   79.7920   -2.6919
  -47.4659   58.2724
   72.9060 -146.2707
 -107.3106   10.8044
 -159.8520  -10.7444
   66.8822   53.5246
   17.6063   76.1779
    5.7778  136.3160
   14.2006   19.1990
  140.1804 -111.4582
   82.9961  -75.5343
   63.9112  116.8681
  199.7575  -43.9164
