	Dim1	Dim2
   36.5675   14.7032
   36.8942   13.7939
   36.6416   14.1350
   37.8853   13.8048
   38.2507   13.9830
   37.3318   14.9697
   37.3749   12.9635
   37.3494   13.4966
   37.4799   14.3337
   38.5473   14.4639
   37.4348   14.6991
   37.9665   13.4365
   38.0171   15.0478
   38.6700   12.5157
   40.4501   14.9684
   39.8192   12.1471
   41.4518   12.8961
   41.0076   13.0426
   40.9647   12.2252
   35.9279   14.7217
   41.8810   12.1715
   42.1738   13.0416
   42.2293   12.5903
   42.0362   13.3230
   38.7399   13.1904
   38.9670   13.1996
   38.9517   13.5703
   39.5782   14.0584
   39.0381   13.7117
   39.4497   13.9049
   39.6492   13.5861
   39.8983   13.8201
   40.0293   13.6352
   39.5254   13.0875
   39.7442   13.0461
   39.7568   13.0357
   40.1228   13.1768
   40.3270   13.6107
   -3.8281   -8.2150
  -10.2556   -3.3223
   -3.4700   -7.1355
   -4.9587   -7.3759
  -13.3127    5.2335
   -5.0739   -5.6949
   -9.1522   -2.9151
   -8.4768    0.6881
   -9.0655   -5.0081
   -5.1217   -5.9428
   -5.6013   -6.6491
   -4.8539   -6.5221
   -4.0723   -6.5822
   -8.6896    0.6991
   -4.8320   -5.8302
   -5.3933   -6.9255
   -4.4297   -8.9577
   -8.3823   -0.8412
   -2.0812   -9.6308
   -9.5206   -1.3494
   -9.0930   -0.1688
  -10.5736    0.2612
    2.6039   -4.5375
   -3.4057   -8.7246
   -4.1157   -9.7841
   -4.3472   -5.9984
   -4.3999   -7.4084
   -5.1855   -7.4069
   -4.3537   -7.4259
   -4.9643   -8.7346
  -10.7476    0.5454
   -9.1818    4.5592
   -9.1813   -3.4903
   -6.1977   -7.1817
   -5.1858   -8.0943
  -11.6402    1.0024
   -4.2228   -9.1997
  -11.7565    1.0827
   -2.7235   -9.2708
   -9.5170   -1.6267
   -0.1634  -13.8130
   -0.1665  -13.8121
   -4.9655   -7.6818
   -3.8682   -8.4394
   -2.5004   -6.3900
   -5.6926   -6.9505
   -4.5534   -4.4760
   -6.2532   -5.7647
   -4.2142   -4.5722
   -3.9449   -4.4795
   -2.6830    2.7194
   -5.1372   -1.6629
   -4.7837   -2.8569
  -11.7770    4.9103
   -3.5244   -2.7167
   -3.9780   -3.3719
   -7.2475   -2.1442
   -4.0113   -2.1827
  -13.3795    6.6733
   -5.1170   -0.7850
   -5.2867   -4.3605
  -10.2252   -7.1674
   -9.9561   -7.1369
   -6.2479    0.9358
   -4.4361   -0.7157
  -10.4608   -7.0276
   -7.3658   -6.1463
   -5.7603   -3.4404
   -4.4764    0.0430
   -7.3536    3.6762
   -4.5194    0.5839
   -6.3390    6.1081
   -4.8160    6.6606
   -6.6446    4.4773
   -4.2293    5.7783
   -0.6390   -0.3599
   -2.5256    2.6671
   -5.8614    1.1040
  -11.6783   -5.3263
  -14.0091    6.3907
   -4.7775    8.0540
   -4.6475    7.5229
   -1.0300    0.8248
  -14.5383    5.5910
   -6.5445   -2.1071
   -5.5829    6.9874
   -4.5094    6.9003
  -10.8793    6.3392
   -1.9485    3.0556
   -0.7655    1.4963
    0.9957   -1.2310
   -2.3613    1.3001
   -6.1145   -8.3300
   -2.7079   -5.5750
   -9.2439   -6.1510
   -3.4976   -5.2056
   -7.3263   -7.8353
   -5.7349   -5.0174
   -0.9816   -2.7582
   -2.8470   -4.5470
   -7.4482   -7.6378
    1.0612    3.2059
   -6.1141   -4.7005
  -10.9011   -3.7893
   -7.0205  -10.1119
   -6.8980   -5.4025
   -2.7709   -2.2715
  -13.2231   -7.8128
   -8.0550    0.6742
   -8.2553   -7.9359
    2.5727    1.1946
   -9.4241   -4.8091
   -2.0505   -4.1219
   -0.3637   -7.5167
   -8.0767   -2.3209
   -0.1720   -9.0004
   -4.1225   -3.3587
   -7.0765   -9.5872
  -14.8687   -2.1843
    1.2185   -3.2031
   -1.0104   -1.7747
  -10.1157    1.1947
  -13.9880   -0.3672
  -11.9405    1.1951
  -12.3453    2.4372
   -6.2013   -0.3514
  -12.1547    4.9719
   -3.8253   -0.1693
    0.5793    4.0540
  -10.4841    8.3476
  -12.6245    7.5896
   -8.9014    4.6096
   -5.7628    1.9093
   -3.9914    5.3999
   -6.4998    3.4758
    0.4831    4.0999
  -15.1896    6.1794
   -5.5433   -9.4592
  -10.9815   -1.6373
   -1.7895   -7.8795
  -11.3088   -2.2531
   -1.8620  -11.3337
  -14.9691   -2.4229
   -5.6142  -10.7523
   -8.0429   -6.4062
    2.5681    1.2079
   -8.3315   -3.7847
   -7.3249   -3.4820
  -10.7293   -7.6518
    1.2303   -2.5971
   -6.0239   -2.3279
   -0.6870   -2.6030
   -7.8407    6.6405
   -5.1518    3.3923
  -10.1414    9.2665
  -10.2969   -9.5375
   -2.6584    4.4889
  -14.7984    1.3662
    2.6532   -1.8194
  -10.5235  -10.3799
   -8.5684    2.0118
   -7.9667    3.4488
   -5.2224    2.8579
  -11.6757   -0.2880
  -12.4354   -6.0445
   -6.4854   -0.4325
   -4.6141    3.9335
  -13.9087    4.7921
  -13.6458    5.9103
  -12.5528   -9.5475
  -12.7712    8.0804
  -10.8922  -10.9278
   -6.7816    2.5667
   -2.6693    5.0122
  -13.1551    6.6567
   -9.4842    5.0075
  -12.7924    7.2212
  -13.5991    5.8361
   -8.4999    2.1236
   -7.3556  -12.4416
   -0.4799   -6.9989
  -10.6194    2.6105
   -3.3117   -4.4716
   -7.3767  -12.5484
    0.8676   -5.6332
   -1.9665   -6.7753
   -4.2294  -13.7517
   -5.7628   -3.0309
   -1.5130   -4.4920
    0.2028   -5.2280
   -8.6590  -10.2131
   -3.1726  -10.6728
   -3.3093   -5.8910
   -2.2817   -8.2335
   -7.6188   -5.0025
   -1.8618   -5.3709
   -7.4300  -12.7390
    0.0974   -9.9064
   -2.5780   -0.9852
   -2.8714   -3.3363
  -13.5139   -4.5346
  -12.2429   -2.7573
   -4.2206  -13.7467
   -7.1299    0.6004
    0.3978  -10.0021
   -5.6213   -1.4381
   -0.8453   -5.1720
   -6.4991    6.1208
  -11.9329   -0.6224
   -8.5410   -8.6201
   -3.9745    1.6975
   -4.1964    2.0037
   -3.5879   -1.4487
    0.1473   -8.7068
   -9.8101    3.1165
  -11.2897   -3.8687
    0.7643   -6.3996
  -12.6724   -2.8642
   -6.6948   -3.9058
   -8.7172    7.2150
   -4.3370  -11.3912
   -1.7956    0.4131
  -10.2276    2.8656
  -10.1119    9.3633
  -11.1733   -6.1484
  -14.5662    2.0777
  -13.2829    5.5743
   -3.1563    0.7823
  -15.0702    1.2713
  -14.3041    6.7689
   -0.2034    0.7693
  -12.0486    5.2432
