NBM_91_bulk_CMP	NBM_91_bulk_GMP	NBM_91_bulk_HSC	NBM_91_bulk_MEP	OX1407_bulk_CMP	OX1407_bulk_GMP	OX1407_bulk_HSC	OX1407_bulk_MEP	OX1570_bulk_CMP	OX1570_bulk_GMP	OX1570_bulk_HSC	OX1570_bulk_MEP	OX753_bulk_HSC
A1BG	312	382	175	74	223	420	131	34	130	321	9	15	245
A1BG-AS1	0	1	16	4	20	0	0	0	0	0	0	0	0
A2M	51	25	14	17	73	211	66	41	0	13	4	5	0
A2M-AS1	71	16	156	18	119	31	84	3	0	10	0	3	0
A2ML1	0	5	1	2	0	0	0	3	0	0	0	0	0
A2MP1	0	0	0	0	1	24	0	0	0	0	0	0	4
A4GALT	0	0	0	13	0	0	0	4	0	0	0	1	0
AAAS	411	679	1098	1162	515	777	202	1055	136	494	23	681	334
AACS	238	166	139	386	29	229	54	71	245	194	10	181	95
AACSP1	0	1	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	1	0	0	0	0
AADACL2	0	2	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	3	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	4	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	1	0	0	0	0	0
AADAT	210	257	391	23	245	346	335	0	241	263	31	20	555
AAED1	108	359	189	581	735	223	277	310	327	182	29	80	2
AAGAB	244	240	716	1128	1667	334	848	1834	290	566	85	1008	750
AAK1	566	728	350	672	883	520	115	862	688	765	80	273	447
AAMDC	414	370	799	880	697	381	592	973	473	400	24	258	709
AAMP	922	1106	2350	1763	1180	591	417	1077	327	1111	12	1094	245
AANAT	0	0	0	0	0	0	0	0	42	6	0	0	0
AAR2	1046	681	1066	532	749	521	94	511	377	446	29	781	58
AARD	0	15	23	0	0	0	0	0	1	0	0	4	0
AARS	922	633	1128	713	934	185	239	387	201	197	9	128	659
AARS2	241	162	373	166	138	221	51	77	11	101	3	38	174
AARSD1	0	0	0	3	2	0	0	2	0	1	0	0	0
AASDH	477	477	786	360	255	102	184	888	34	47	3	204	1
AASDHPPT	485	619	1832	2154	1254	566	1306	1934	291	610	128	1068	3571
AASS	641	586	2937	422	580	161	529	26	627	228	118	153	1857
