gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust	isInqPCR	qPCR.neg	qPCR.pos	delta_delta_ct	qPCR.nCellA	qPCR.nCellB	qPCR.expCellA	qPCR.expCellB	qPCR.expFractionCellA	qPCR.expFractionCellB	qPCR.fisher.test.p	qPCR.wilcox	qPCR.fisher_combined_pvalue
GAS2	0	4.59331497557075	4.59331497557075	23	17	0	12	0	0.705882352941177	7.93394145961983e-06	1.10760019430472e-06	3.47715068771766e-06	1.05073327457983e-10	1.56328096591987e-06	TRUE	-15.2968406551199	-12.7570898784768	2.53975077664316	88	92	14	34	0.159090909090909	0.369565217391304	0.00221218583070216	0.00225921237750998	6.60034802111033e-05
CHEK1	3.11719601398751	0.526144828929167	-2.59105118505835	23	17	20	5	0.869565217391304	0.294117647058824	0.000709337099235713	0.000299989421674335	0.0001852325086231	9.83864566908798e-07	0.00365948425661727	TRUE	-8.47176860328545	-7.1370072922653	1.33476131102015	88	92	54	64	0.613636363636364	0.695652173913043	0.274288032000212	0.204230180374874	0.217466176533787
GOLGA8A	1.99347435019016	6.1088376021657	4.11536325197554	23	17	10	16	0.434782608695652	0.941176470588235	0.00284429420427906	0.000943136216246689	0.000135118300518656	2.15054906422507e-06	0.00639917379550813	TRUE	-8.34165187004503	-5.92484584576648	2.41680602427856	88	92	68	85	0.772727272727273	0.923913043478261	0.00605512409542168	0.000835118928344403	6.67227217079958e-05
CKLF	5.47091476326321	1.70642490873542	-3.76448985452779	23	17	20	6	0.869565217391304	0.352941176470588	0.00227973301333333	0.00188759100415326	0.000449210788990261	1.27023355138078e-05	0.0207956304648142	TRUE	-4.15825089236118	-4.44456873774895	-0.286317845387769	88	92	81	85	0.920454545454545	0.923913043478261	1	0.14993940020138	0.434453020401073
CLU	0.967073823181142	4.33086488355662	3.36379106037548	23	17	3	11	0.130434782608696	0.647058823529412	0.00227973301333333	0.00188759100415326	0.00147398518641142	3.8373888084238e-05	0.0407804790655209	TRUE	-10.2136882391354	-5.51037412032422	4.70331411881117	88	92	46	80	0.522727272727273	0.869565217391304	3.34141763578569e-07	6.20376238429891e-05	5.30660656308788e-10
SH2D3C	0.269693042994865	3.1803422056612	2.91064916266634	23	17	2	9	0.0869565217391304	0.529411764705882	0.00614543485372772	0.00344414873277354	0.00108129774285691	5.02785304665196e-05	0.0498695984187252	TRUE	-12.8918506720219	-12.6764006825334	0.215449989488432	88	92	30	33	0.340909090909091	0.358695652173913	0.876118785161585	0.80234343499224	0.950717794368452
FREM1	0.214817127152183	2.79939579739666	2.58457867024448	23	17	2	9	0.0869565217391304	0.529411764705882	0.00614543485372772	0.00344414873277354	0.00137938512083067	6.2982386164053e-05	0.0534229118067324	TRUE	-13.7951859910962	-8.34940165162881	5.4457843394674	88	92	24	65	0.272727272727273	0.706521739130435	4.92105787396814e-09	9.63771826262687e-07	1.61169774176581e-13
CXCR4	4.90527752802119	0.843631786819578	-4.06164574120162	23	17	15	3	0.652173913043478	0.176470588235294	0.007628153723453	0.00401177253235095	0.0013465364887096	7.09214374624636e-05	0.0534229118067324	TRUE	-6.24937669656644	-9.60664630447377	-3.35726960790733	88	92	72	58	0.818181818181818	0.630434782608696	0.0074007064437333	1.6281755171883e-06	2.317657247315e-07
CD47	3.10482943745457	1.18078200583315	-1.92404743162142	23	17	20	6	0.869565217391304	0.352941176470588	0.00227973301333333	0.00188759100415326	0.00290088420642985	7.18146414931206e-05	0.0534229118067324	TRUE	-11.9132276002136	-12.6650209936785	-0.751793393464864	88	92	42	37	0.477272727272727	0.402173913043478	0.367743456801141	0.438788730868579	0.455702654370485
FCER1A	1.05102178151732	6.28482869445727	5.23380691293994	23	17	6	12	0.260869565217391	0.705882352941177	0.0133152129083652	0.00952119741886149	0.000672327913283414	8.29553060497255e-05	0.0536612627568616	TRUE	-12.8501941741344	-8.23779343885071	4.61240073528368	88	92	25	55	0.284090909090909	0.597826086956522	2.57240597234464e-05	0.00027205774684793	1.38412004085903e-07
IFITM1	4.69837287921402	8.64557511803008	3.94720223881606	23	17	21	17	0.91304347826087	1	0.607500384059699	0.498717948717949	1.74170943838727e-05	0.000109913425309548	0.0545097313918484	TRUE	-4.65742315080882	-3.34352112015061	1.31390203065822	88	92	77	86	0.875	0.934782608695652	0.206946716598368	0.0019415260453928	0.0035436385295309
PTPRE	2.66654408691395	0.226490548972928	-2.44005353794102	23	17	13	2	0.565217391304348	0.117647058823529	0.0104640713675227	0.00723777169828338	0.00204563925608846	0.000179454351432199	0.0834350575190079	TRUE	-12.3197152762817	-14.4002201754238	-2.08050489914215	88	92	37	22	0.420454545454545	0.239130434782609	0.0112271200112342	0.0254607235367573	0.00261840328010945
DDX6	1.23054270429634	3.29187184923406	2.06132914493772	23	17	8	14	0.347826086956522	0.823529411764706	0.007628153723453	0.00401177253235095	0.00470675267002286	0.00022427178655836	0.0845335812026195	TRUE	-3.30686745199186	-2.7492486017942	0.557618850197662	88	92	85	92	0.965909090909091	1	0.114803423095432	0.438885167859603	0.20094004478519
TESPA1	2.45066857634819	5.81038822704788	3.35971965069969	23	17	10	15	0.434782608695652	0.882352941176471	0.0104640713675227	0.00723777169828338	0.0026336787945813	0.000226223894161904	0.0845335812026195	TRUE	-8.93351869093609	-4.98855676043447	3.94496193050162	88	92	56	85	0.636363636363636	0.923913043478261	3.16188434205955e-06	0.00010378376467768	7.49419149295838e-09
CCDC152	1.83226205135157	0	-1.83226205135157	23	17	9	0	0.391304347826087	0	0.0108722452472344	0.00512227814859394	0.00446101464140482	0.000267043844369076	0.0845335812026195	TRUE	-14.216193824477	-17.2956535614655	-3.07945973698847	88	92	23	0	0.261363636363636	0	1.3130571893222e-08	1.81621789154838e-07	8.26801391760917e-14
MEF2D	1.13093204599452	0	-1.13093204599452	23	17	9	0	0.391304347826087	0	0.0108722452472344	0.00512227814859394	0.00446101464140482	0.000267043844369076	0.0845335812026195	TRUE	-4.15609512018536	-4.35024089804838	-0.194145777863018	88	92	85	89	0.965909090909091	0.967391304347826	1	0.431301101843605	0.7940032547746
PREX2	0.666197762408556	3.09401061641092	2.42781285400236	23	17	5	11	0.217391304347826	0.647058823529412	0.0157062613570507	0.00947212978358698	0.00272831162930753	0.000298833949930473	0.0907357450421547	TRUE	-12.6481656059816	-11.8748638523394	0.773301753642174	88	92	31	38	0.352272727272727	0.41304347826087	0.444918404682423	0.480911643404159	0.543889019557998
ADAM10	0.784498323604137	3.35457730938505	2.57007898578091	23	17	4	10	0.173913043478261	0.588235294117647	0.0172863102977221	0.00930830719484779	0.0044759800473513	0.000461879772691217	0.127256430705554	TRUE	-4.98483211873529	-4.49383221017069	0.490999908564604	88	92	80	87	0.909090909090909	0.945652173913043	0.397801379137822	0.87378613643627	0.714902874913285
