gene	qPCR.neg	qPCR.pos	delta_delta_ct	qPCR.nCellA	qPCR.nCellB	qPCR.expCellA	qPCR.expCellB	qPCR.expFractionCellA	qPCR.expFractionCellB	qPCR.fisher.test.p	qPCR.wilcox	qPCR.fisher_combined_pvalue
BCR-ABL1 FUSION	-17.2912172159926	-3.92638457486553	13.364832641127	88	92	0	92	0	1	1.14840971776455e-53	6.65353967944016e-35	1.54037736497671e-85
RXFP1	-10.0846809284935	-4.59379363952265	5.49088728897086	88	92	48	86	0.545454545454545	0.934782608695652	1.32599084217144e-09	1.69719605063061e-08	8.85171660770739e-16
CCDC152	-14.216193824477	-17.2956535614655	-3.07945973698847	88	92	23	0	0.261363636363636	0	1.3130571893222e-08	1.81621789154838e-07	8.26801391760917e-14
FREM1	-13.7951859910962	-8.34940165162881	5.4457843394674	88	92	24	65	0.272727272727273	0.706521739130435	4.92105787396814e-09	9.63771826262687e-07	1.61169774176581e-13
CLU	-10.2136882391354	-5.51037412032422	4.70331411881117	88	92	46	80	0.522727272727273	0.869565217391304	3.34141763578569e-07	6.20376238429891e-05	5.30660656308788e-10
TESPA1	-8.93351869093609	-4.98855676043447	3.94496193050162	88	92	56	85	0.636363636363636	0.923913043478261	3.16188434205955e-06	0.00010378376467768	7.49419149295838e-09
FCER1A	-12.8501941741344	-8.23779343885071	4.61240073528368	88	92	25	55	0.284090909090909	0.597826086956522	2.57240597234464e-05	0.00027205774684793	1.38412004085903e-07
CXCR4	-6.24937669656644	-9.60664630447377	-3.35726960790733	88	92	72	58	0.818181818181818	0.630434782608696	0.0074007064437333	1.6281755171883e-06	2.317657247315e-07
RGS2	-7.49991063748297	-10.7621808416547	-3.26227020417173	88	92	61	47	0.693181818181818	0.510869565217391	0.0150408849185619	0.000129475330108453	2.75541021333978e-05
H2AFY	-3.94960499268444	-2.63642255254747	1.31318244013697	88	92	85	92	0.965909090909091	1	0.114803423095432	1.87227694067151e-05	3.02002578727748e-05
MLLT3	-5.6391626707147	-3.65584601234119	1.98331665837351	88	92	76	90	0.863636363636364	0.978260869565217	0.00463253048276852	0.000559500683267408	3.593187014168e-05
GAS2	-15.2968406551199	-12.7570898784768	2.53975077664316	88	92	14	34	0.159090909090909	0.369565217391304	0.00221218583070216	0.00225921237750998	6.60034802111033e-05
GOLGA8A	-8.34165187004503	-5.92484584576648	2.41680602427856	88	92	68	85	0.772727272727273	0.923913043478261	0.00605512409542168	0.000835118928344403	6.67227217079958e-05
MZB1	-11.6267097914877	-14.0631944116315	-2.43648462014382	88	92	39	24	0.443181818181818	0.260869565217391	0.0124840680283584	0.00454728980312533	0.000611769097772445
PTRF	-9.13430080285476	-6.62237622487063	2.51192457798413	88	92	56	74	0.636363636363636	0.804347826086957	0.0131014685903797	0.00503830588175147	0.000701395101326692
SOD2	-3.14657943234248	-2.02951952946369	1.11705990287879	88	92	86	92	0.977272727272727	1	0.237616387337058	0.000515422541257212	0.00122566181806264
PTPRE	-12.3197152762817	-14.4002201754238	-2.08050489914215	88	92	37	22	0.420454545454545	0.239130434782609	0.0112271200112342	0.0254607235367573	0.00261840328010945
STK17B	-4.16561962047764	-4.65569488810256	-0.490075267624918	88	92	84	89	0.954545454545455	0.967391304347826	0.715939147176719	0.000504355742276552	0.0032232120599319
IFITM1	-4.65742315080882	-3.34352112015061	1.31390203065822	88	92	77	86	0.875	0.934782608695652	0.206946716598368	0.0019415260453928	0.0035436385295309
BCR	-4.35140480504688	-4.68426706258483	-0.332862257537959	88	92	84	90	0.954545454545455	0.978260869565217	0.436342425864081	0.000944043461061441	0.00362275359869013
IFITM2	-1.05169905132646	-0.212348632999854	0.839350418326605	88	92	88	92	1	1	1	0.000537848543825421	0.00458673664412184
ARF4	-10.0996933962815	-8.21596849134358	1.88372490493792	88	92	56	72	0.636363636363636	0.782608695652174	0.033655813539567	0.0290568049132655	0.00775505859479709
EPT1	-15.3942830102448	-13.7659972031926	1.62828580705214	88	92	13	26	0.147727272727273	0.282608695652174	0.0310673429029086	0.0341355924660391	0.00832389494716666
MYC	-7.82760539397809	-5.85204695260196	1.97555844137613	88	92	63	77	0.715909090909091	0.83695652173913	0.0721674219102099	0.0161474871432195	0.00903679340543211
VWF	-16.4148891409556	-15.1238954076625	1.29099373329313	88	92	6	16	0.0681818181818182	0.173913043478261	0.0398211779060599	0.0375397046505824	0.0112201039287658
TP53	-4.51083196797038	-3.11851453570495	1.39231743226544	88	92	79	89	0.897727272727273	0.967391304347826	0.0761846213687511	0.020125523909606	0.0114693056932854
DPP4	-16.6287463136237	-15.5788935959678	1.04985271765585	88	92	5	14	0.0568181818181818	0.152173913043478	0.0511493248401207	0.0422596536187623	0.0154268473207718
SERPINB1	-3.25936338771396	-2.34321885727505	0.916144530438916	88	92	85	91	0.965909090909091	0.989130434782609	0.359879593742364	0.00672844637458757	0.0170066675076185
CDK6	-3.18133585942922	-2.34055713691817	0.840778722511047	88	92	87	92	0.988636363636364	1	0.488888888888889	0.00614341065498282	0.0204474407057638
PFDN1	-7.63611014866217	-6.16720665065452	1.46890349800765	88	92	70	84	0.795454545454545	0.91304347826087	0.0331924232817532	0.121369010161109	0.026243278041786
CD99	-3.23202585586339	-3.93454054342689	-0.702514687563502	88	92	86	89	0.977272727272727	0.967391304347826	1	0.00543390106100823	0.0337722274835574
IGF1R	-9.35235515620265	-10.9182759505677	-1.56592079436506	88	92	55	48	0.625	0.521739130434783	0.177348627790176	0.0425248082946011	0.0444003883082125
HIF1A	-4.04914112483479	-4.69468565750219	-0.645544532667403	88	92	88	91	1	0.989130434782609	1	0.00768455089226868	0.0450971199844729
ADAT1	-15.7288321084739	-14.6018848150497	1.12694729342421	88	92	12	22	0.136363636363636	0.239130434782609	0.088788039168825	0.0900783195242361	0.0466162608554475
BCL6	-16.8316006826548	-17.2956535614655	-0.464052878810669	88	92	3	0	0.0340909090909091	0	0.114803423095432	0.0759922853861739	0.0500912212840619
EMP3	-7.49372260229756	-8.58409714835294	-1.09037454605538	88	92	69	68	0.784090909090909	0.739130434782609	0.490750049495869	0.0177925951851037	0.0501269818646549
LIMS1	-4.31248217704871	-3.54973256947281	0.762749607575899	88	92	84	91	0.954545454545455	0.989130434782609	0.203437056297751	0.0511484005691664	0.0579108946876778
ERG	-4.57750481509701	-3.58556035928075	0.991944455816268	88	92	81	91	0.920454545454545	0.989130434782609	0.0317622358462715	0.352331984191748	0.0614675278090559
CD90	-14.7517291100816	-15.6954976803844	-0.943768570302794	88	92	27	19	0.306818181818182	0.206521739130435	0.128676038397547	0.105145206842162	0.0717460785185787
GAS5	0.211716649133193	0.712294667064084	0.50057801793089	88	92	88	92	1	1	1	0.0142459636372788	0.0748095676617427
PSMC4	-11.3277557553331	-10.0949822220321	1.23277353330101	88	92	44	54	0.5	0.58695652173913	0.294837799866775	0.0742868379681999	0.105595595617065
MEIS1	-14.8849415397282	-13.8070232701504	1.07791826957779	88	92	17	27	0.193181818181818	0.293478260869565	0.123209734029113	0.205000926976974	0.11817279402956
IFNAR1	-10.3892577564814	-9.1482641342571	1.24099362222432	88	92	56	68	0.636363636363636	0.739130434782609	0.149876873189556	0.244529375015056	0.157825108198264
CD52	-1.7038159733794	-2.38947211230515	-0.685656138925754	88	92	87	89	0.988636363636364	0.967391304347826	0.621153228949562	0.0649225709817247	0.16980583766118
TRIM22	-2.84226527995203	-3.04214218330799	-0.19987690335596	88	92	84	89	0.954545454545455	0.967391304347826	0.715939147176719	0.0602819855937462	0.178799471224375
DDX6	-3.30686745199186	-2.7492486017942	0.557618850197662	88	92	85	92	0.965909090909091	1	0.114803423095432	0.438885167859603	0.20094004478519
HPRT1	-7.12563517992568	-6.284631785546	0.841003394379672	88	92	76	87	0.863636363636364	0.945652173913043	0.075511437102829	0.736580729047985	0.216318773698385
CHEK1	-8.47176860328545	-7.1370072922653	1.33476131102015	88	92	54	64	0.613636363636364	0.695652173913043	0.274288032000212	0.204230180374874	0.217466176533787
PRDX1	-1.21898587674831	-1.47645862109378	-0.257472744345465	88	92	87	92	0.988636363636364	1	0.488888888888889	0.117172711816151	0.221102247619405
POU2F1	-11.956289729098	-12.9003868369551	-0.944097107857132	88	92	47	40	0.534090909090909	0.434782608695652	0.232601857159141	0.249672306790443	0.223355454915743
SELP	-15.984017162249	-15.2768838968586	0.707133265390413	88	92	9	15	0.102272727272727	0.16304347826087	0.276036380637088	0.248993381821654	0.252762649854294
CRKL	-5.34983006272337	-4.4912272391	0.858602823623371	88	92	78	88	0.886363636363636	0.956521739130435	0.0980857829297231	0.777990863612561	0.272651508731199
HSP70	-14.5405286065466	-13.8892534754238	0.651275131122787	88	92	30	39	0.340909090909091	0.423913043478261	0.284694294841768	0.272500774366646	0.275907557492319
SAT1	-9.68995724713228	-10.5953443629806	-0.905387115848274	88	92	54	52	0.613636363636364	0.565217391304348	0.546528449692775	0.143196236900863	0.277646544890764
MPL	-12.2175322314757	-11.2775005787695	0.9400316527062	88	92	40	49	0.454545454545455	0.532608695652174	0.301672224070362	0.261051540236937	0.27889639357758
CD33	-14.9017772304909	-15.6547541277401	-0.752976897249175	88	92	18	13	0.204545454545455	0.141304347826087	0.324430332634428	0.251721184929492	0.286248896753193
AHI1	-17.2912172159926	-17.0647673779882	0.226449838004356	88	92	0	2	0	0.0217391304347826	0.497454996896338	0.167862181651124	0.290832508243018
ASXL2	-9.46842566620505	-8.47984359112254	0.988582075082503	88	92	53	63	0.602272727272727	0.684782608695652	0.277475877179318	0.309588783515595	0.296756080330907
SELL	-9.36053888732992	-10.2258302303596	-0.865291343029666	88	92	57	55	0.647727272727273	0.597826086956522	0.539922451860892	0.159636384670848	0.297462132949349
B2M	0.383436873281345	0.119189522632498	-0.264247350648847	88	92	88	92	1	1	1	0.0862430668000327	0.297589085368443
CD34	-2.21935254542709	-2.57353536514021	-0.354182819713115	88	92	87	91	0.988636363636364	0.989130434782609	1	0.093556932855943	0.315210626092835
CTNNB1	-4.93930564261113	-4.45993260202503	0.479373040586093	88	92	84	90	0.954545454545455	0.978260869565217	0.436342425864081	0.219034469216153	0.319967916692714
ALOX5	-16.8962316432581	-17.177290069468	-0.281058426209913	88	92	3	1	0.0340909090909091	0.0108695652173913	0.359879593742364	0.287015024058773	0.337782407962705
CKLF	-4.15825089236118	-4.44456873774895	-0.286317845387769	88	92	81	85	0.920454545454545	0.923913043478261	1	0.14993940020138	0.434453020401073
SERINC3	-2.70730308524021	-2.49885578943772	0.208447295802491	88	92	86	92	0.977272727272727	1	0.237616387337058	0.639870726385548	0.438431414823687
CD47	-11.9132276002136	-12.6650209936785	-0.751793393464864	88	92	42	37	0.477272727272727	0.402173913043478	0.367743456801141	0.438788730868579	0.455702654370485
PREX2	-12.6481656059816	-11.8748638523394	0.773301753642174	88	92	31	38	0.352272727272727	0.41304347826087	0.444918404682423	0.480911643404159	0.543889019557998
CSF3R	-11.8911232887706	-11.1505419078461	0.740581380924505	88	92	31	37	0.352272727272727	0.402173913043478	0.539922451860892	0.490360637174454	0.616603548010704
SIRT1	-10.3032678792477	-9.60321592227184	0.700051956975901	88	92	55	63	0.625	0.684782608695652	0.435037348781895	0.613208379301179	0.619269532897314
ABL1	-14.6310986955019	-15.0556522890602	-0.424553593558306	88	92	21	18	0.238636363636364	0.195652173913043	0.587664925842785	0.560745575501162	0.695337822665149
AIFM2	-17.2912172159926	-17.2291811506949	0.0620360652976366	88	92	0	1	0	0.0108695652173913	1	0.333591307789099	0.699820743662816
ADAM10	-4.98483211873529	-4.49383221017069	0.490999908564604	88	92	80	87	0.909090909090909	0.945652173913043	0.397801379137822	0.87378613643627	0.714902874913285
CSRP1	-7.96486793632792	-7.48109235724152	0.483775579086403	88	92	68	74	0.772727272727273	0.804347826086957	0.715272950107307	0.518615174760739	0.738818056576781
CDK4	-10.7498440263015	-10.3172731980998	0.432570828201662	88	92	49	55	0.556818181818182	0.597826086956522	0.651156222258419	0.569776317543374	0.738879524356941
CDKN1B	-5.42525316335642	-5.63681186847755	-0.211558705121135	88	92	82	86	0.931818181818182	0.934782608695652	1	0.394510923899241	0.761448867277871
HSP90AB1	-1.04528916616493	-0.82169219328994	0.223596972874994	88	92	88	92	1	1	1	0.394580492784388	0.761513567752104
MEF2D	-4.15609512018536	-4.35024089804838	-0.194145777863018	88	92	85	89	0.965909090909091	0.967391304347826	1	0.431301101843605	0.7940032547746
GAPDH	-0.383436873281344	-0.119189522632498	0.264247350648846	88	92	88	92	1	1	1	0.432147489865573	0.794714193847566
HAVCR2	-16.7385860011744	-16.5468551496903	0.191730851484145	88	92	4	6	0.0454545454545455	0.0652173913043478	0.747446084227615	0.581309531992527	0.796679474688771
CD44	-4.4902171311319	-4.51111609573493	-0.0208989646030355	88	92	86	91	0.977272727272727	0.989130434782609	0.614621388069382	0.802282172295306	0.841742890323009
CD244	-9.89411816675408	-9.50632970489507	0.387788461859015	88	92	53	58	0.602272727272727	0.630434782608696	0.759793446630105	0.670349614966482	0.852952281926477
MMRN1	-5.11911725877832	-4.87843268190481	0.240684576873504	88	92	81	86	0.920454545454545	0.934782608695652	0.778730406624239	0.677082467030534	0.864741834430504
PIM1	-15.4139321158533	-15.2780651562398	0.135866959613443	88	92	16	19	0.181818181818182	0.206521739130435	0.709810498406062	0.779783608526007	0.880890834169228
IL2RA	-16.5340244906913	-16.6439967268486	-0.109972236157304	88	92	6	5	0.0681818181818182	0.0543478260869565	0.763045002554732	0.732957518923217	0.884280176197777
BCL2	-15.5902661317377	-15.303935186394	0.286330945343689	88	92	15	17	0.170454545454545	0.184782608695652	0.847164548383001	0.753934366796347	0.925045150657056
SH2D3C	-12.8918506720219	-12.6764006825334	0.215449989488432	88	92	30	33	0.340909090909091	0.358695652173913	0.876118785161585	0.80234343499224	0.950717794368452
PDK3	-11.5617251182274	-11.3474966862326	0.214228431994831	88	92	46	50	0.522727272727273	0.543478260869565	0.881285582311516	0.82203592967382	0.957970536254598
PPP2CA	-5.85816193586909	-5.85770191112075	0.000460024748334398	88	92	82	87	0.931818181818182	0.945652173913043	0.763045002554732	0.962335876882647	0.961081184142842
ARL11	-11.4051772578932	-11.2926399496881	0.112537308205102	88	92	53	54	0.602272727272727	0.58695652173913	0.879914884417963	0.89044670853399	0.974665857980055
TMEM17	-16.1393857264346	-16.1094107672473	0.029974959187296	88	92	9	10	0.102272727272727	0.108695652173913	1	0.886927075693191	0.993351685775493
CD164	-1.55414039157474	-1.53858373549519	0.015556656079553	88	92	88	92	1	1	1	0.88961618507016	0.993670286276769
ATG3	-5.99589158282401	-6.05566510429116	-0.0597735214671529	88	92	79	83	0.897727272727273	0.902173913043478	1	0.904285794503068	0.995265829306674
NUDCD2	-9.23262995482107	-9.11704680408785	0.115583150733226	88	92	56	58	0.636363636363636	0.630434782608696	1	0.905383984196834	0.995375651412493
IL1RAP	-15.1243731944327	-15.1381091465901	-0.0137359521573259	88	92	17	18	0.193181818181818	0.195652173913043	1	0.998347487450992	0.999998633848403
MYCT1	-17.2912172159926	-17.2956535614655	-0.00443634547291438	88	92	0	0	0	0	1	NA	NA
SLC22A1	-17.2912172159926	-17.2956535614655	-0.00443634547291438	88	92	0	0	0	0	1	NA	NA
