Cell	BCR_ABL	Patient	Stage	process_date	input	mapped_reads	percent	n_detected_genes	used4analysis
K562A1	primers	K562	cell_line	batch3	935534	804301	85.97239651	4880	1
K562A2	primers	K562	cell_line	batch3	582953	499112	85.61788	3329	1
K562A3	primers	K562	cell_line	batch3	1893162	1516519	80.10508345	3319	1
K562A5	no_primers	K562	cell_line	batch3	2513458	2304359	91.68082379	3464	1
K562A6	no_primers	K562	cell_line	batch3	953109	726391	76.21279413	2568	1
K562A7	no_primers	K562	cell_line	batch3	1858691	1644109	88.45520853	2492	1
K562A8	no_primers	K562	cell_line	batch3	2544222	2333051	91.69997744	2599	1
K562B1	primers	K562	cell_line	batch3	2515479	2181430	86.72026282	3527	1
K562B2	primers	K562	cell_line	batch3	3444507	2864816	83.17056693	2418	1
K562B4	primers	K562	cell_line	batch3	3232413	2423705	74.98129107	2184	1
K562B5	no_primers	K562	cell_line	batch3	3532626	2675471	75.73603886	2203	1
K562B8	no_primers	K562	cell_line	batch3	3691818	3252973	88.11303808	1797	1
K562C1	primers	K562	cell_line	batch3	3958900	3200269	80.83732855	2279	1
K562C4	primers	K562	cell_line	batch3	3853046	2772254	71.94967306	2553	1
K562C5	no_primers	K562	cell_line	batch3	3277900	2814500	85.86290003	2547	1
K562C7	no_primers	K562	cell_line	batch3	4694108	4218548	89.86900174	2253	1
K562C8	no_primers	K562	cell_line	batch3	4741174	4268380	90.02791292	2218	1
K562D2	primers	K562	cell_line	batch3	3423834	2469879	72.13781392	2847	1
K562D4	primers	K562	cell_line	batch3	1913143	1567566	81.93668743	3486	1
K562D5	no_primers	K562	cell_line	batch3	3789065	3333239	87.96996093	2119	1
K562D8	no_primers	K562	cell_line	batch3	5403609	4975138	92.0706513	1930	1
K562E1	primers	K562	cell_line	batch3	3468049	3097003	89.30101622	3786	1
K562E2	primers	K562	cell_line	batch3	2813634	2472777	87.88552456	4845	1
K562E3	primers	K562	cell_line	batch3	3951484	3415921	86.44653502	4103	1
K562E4	primers	K562	cell_line	batch3	2519699	2113757	83.88926614	2424	1
K562E5	no_primers	K562	cell_line	batch3	4008732	3667301	91.48281801	3490	1
K562E6	no_primers	K562	cell_line	batch3	2618128	2359724	90.1301999	4419	1
K562E7	no_primers	K562	cell_line	batch3	4146424	3758047	90.63344704	2458	1
K562F2	primers	K562	cell_line	batch3	5619510	4667397	83.05701031	2756	1
K562F4	primers	K562	cell_line	batch3	2969265	2395151	80.66477731	2059	1
K562F5	no_primers	K562	cell_line	batch3	4978108	4208163	84.53338096	2029	1
K562F7	no_primers	K562	cell_line	batch3	7998736	7309196	91.37938794	2271	1
K562F8	no_primers	K562	cell_line	batch3	4347135	3833247	88.178697	1616	1
K562G1	primers	K562	cell_line	batch3	3259507	2859731	87.73507773	2545	1
K562G2	primers	K562	cell_line	batch3	3994406	3340799	83.63694126	2360	1
K562G3	primers	K562	cell_line	batch3	3532936	2958265	83.73389725	2526	1
K562G4	primers	K562	cell_line	batch3	183433	157573	85.90220953	2307	1
K562G5	no_primers	K562	cell_line	batch3	4499562	3527134	78.38838536	1671	1
K562G8	no_primers	K562	cell_line	batch3	6041383	5247768	86.86368668	1768	1
K562H1	primers	K562	cell_line	batch3	919831	675231	73.40815867	2649	1
