gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
GAS2	0	4.59331497557075	4.59331497557075	23	17	0	12	0	0.705882352941177	7.93394145961983e-06	1.10760019430472e-06	3.47715068771766e-06	1.05073327457983e-10	1.56328096591987e-06
LOC101928834	0.340501680472922	4.5820532563855	4.24155157591258	23	17	1	13	0.0434782608695652	0.764705882352941	1.12156635894786e-05	2.3880797840168e-06	1.25302707956679e-05	7.55035856258977e-10	5.61671173471053e-06
GOLGA8T	0.380312920140328	2.54721594555549	2.16690302541516	23	17	5	14	0.217391304347826	0.823529411764706	0.000511461739017383	0.000292694508489837	5.75058818177716e-05	3.1811836976587e-07	0.00157765503512554
CHEK1	3.11719601398751	0.526144828929167	-2.59105118505835	23	17	20	5	0.869565217391304	0.294117647058824	0.000709337099235713	0.000299989421674335	0.0001852325086231	9.83864566908798e-07	0.00365948425661727
GOLGA8A	1.99347435019016	6.1088376021657	4.11536325197554	23	17	10	16	0.434782608695652	0.941176470588235	0.00284429420427906	0.000943136216246689	0.000135118300518656	2.15054906422507e-06	0.00639917379550813
CFHR3	0.17288944001007	1.37683218353839	1.20394274352832	23	17	1	9	0.0434782608695652	0.529411764705882	0.00169364127553031	0.000682558619740285	0.00120408428315697	1.23374857546756e-05	0.0207956304648142
CKLF	5.47091476326321	1.70642490873542	-3.76448985452779	23	17	20	6	0.869565217391304	0.352941176470588	0.00227973301333333	0.00188759100415326	0.000449210788990261	1.27023355138078e-05	0.0207956304648142
GOLGA8S	1.01168758193946	3.85217041221179	2.84048283027233	23	17	8	14	0.347826086956522	0.823529411764706	0.007628153723453	0.00401177253235095	0.000226651575090776	1.35578463429003e-05	0.0207956304648142
PTTG1IP	1.90214865887385	6.34308385943531	4.44093520056146	23	17	10	15	0.434782608695652	0.882352941176471	0.0104640713675227	0.00723777169828338	0.000132012840677505	1.41994213650437e-05	0.0207956304648142
LOC101927221	0	1.97734906087859	1.97734906087859	23	17	0	7	0	0.411764705882353	0.00300472515896895	0.00104314841156946	0.000950533004341892	1.46986921313726e-05	0.0207956304648142
FAM118A	4.31083564433847	1.88061498356149	-2.43022066077698	23	17	23	9	1	0.529411764705882	0.00104387458788753	0.000316105579263475	0.00329184014253178	1.5375180475397e-05	0.0207956304648142
ADPGK	2.99038461665579	0.333047344861097	-2.65733727179469	23	17	13	1	0.565217391304348	0.0588235294117647	0.00284429420427906	0.000943136216246689	0.00147398518641142	2.01381040838049e-05	0.0249678927132375
ZBTB20	0.445048043291547	2.93881471151712	2.49376666822558	23	17	4	11	0.173913043478261	0.647058823529412	0.00642484443676068	0.00336973835305315	0.000678381513131168	3.19777711803336e-05	0.0365973292016157
CLU	0.967073823181142	4.33086488355662	3.36379106037548	23	17	3	11	0.130434782608696	0.647058823529412	0.00227973301333333	0.00188759100415326	0.00147398518641142	3.8373888084238e-05	0.0407804790655209
SH2D3C	0.269693042994865	3.1803422056612	2.91064916266634	23	17	2	9	0.0869565217391304	0.529411764705882	0.00614543485372772	0.00344414873277354	0.00108129774285691	5.02785304665196e-05	0.0498695984187252
