Chip Run Info,D:\20150126_OX1407_Plate1\ChipRun.bml,1361963591,96.96 (136x),M96 Protocol ,ROX,FAM-MGB,1/26/2015 7:54:04 PM,01:32:29,BIOMARK117
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,User Data (Detectors)


FAM-MGB Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,ADAM10,ADAT1,AHI1,AIFM2,ALOX5,ARF4,ARL11,ASXL2,ATG3,BCL2,BCL6,CCDC152,CD164,CD244,CD33,CD34,CD44,CD47,CD52,CD90,CD99,CDK4,CDK6,CDKN1B,CHEK1,CKLF,CLU,CRKL,CSF3R,CSRP1,CTNNB1,CXCR4,DDX6,DPP4,EMP3,EPT1,ERG,FCER1A,FREM1,GAS2,GAS5,GOLGA8A,H2AFY,HAVCR2,HIF1A,HSP70,HSP90AB1,IFITM1,IFITM2,IFNAR1,IGF1R,IL1RAP,IL2RA,LIMS1,MEF2D,MEIS1,MLLT3,MMRN1,MPL,MYC,MYCT1,MZB1,NUDCD2,PDK3,PFDN1,PIM1,POU2F1,PPP2CA,PRDX1,PREX2,PSMC4,PTPRE,PTRF,RGS2,RXFP1,SAT1,SELL,SELP,SERINC3,SERPINB1,SH2D3C,SIRT1,SLC22A1,SOD2,STK17B,TESPA1,TMEM17,TP53,TRIM22,VWF,BCR-ABL1 fusion,BCR,ABL1,HPRT1,GAPDH,B2M,,
01,1,15.859087478906,999,999,999,999,17.4005679139868,15.7065412596556,999,17.5664267505482,999,999,18.2517754378724,12.5030491552974,17.8547847383434,999,15.4408204771064,15.289497426531,999,12.5,999,15.0415404763716,17.8772093479909,18.4977718796753,23.7091102891225,999,14.5981485649692,14.6005124681852,15.7833030816314,999,17.8060498377543,17.9944249045981,18.291261098362,15.9727026433199,999,18.226768677482,16.4410474801278,17.6659485786995,999,999,999,11.6312026276362,18.5916462348345,15.7008881619245,999,16.9835428404762,21.6624513047068,13.2674830181949,14.7336525355637,13.1264735496898,999,17.3670010070136,999,999,15.5982982203586,15.591637015882,16.1673496514616,15.5549443040989,14.9552437420593,999,13.8857499803568,999,999,999,18.2199357669198,18.6439904822259,999,19.6124786028154,18.3208110421927,13.5608347141515,999,999,17.9204670635169,16.4660942419115,15.5734702043342,999,16.88561429212,999,999,14.6954241409221,15.9182618817383,999,17.9619565755405,999,15.3237298571803,16.5785138649544,999,999,14.3655199438626,13.8258901192884,999,999,15.5299952519479,999,17.3855205447754,11.7978617130094,12.7102149103856,,
02,2,17.4343584914221,999,999,999,999,999,19.0911649778604,17.3129314659224,999,999,999,999,14.9492137712277,18.2483423766303,999,16.1958510286951,18.5460898011628,999,15.501439073146,999,16.9075766502607,18.9447042201998,16.6747654278941,19.3688534216262,999,999,19.7811216932495,17.8982071188,14.1310929099103,19.5516699787927,18.2780282172411,19.5935770776979,18.6375693290653,999,999,999,17.217299700843,16.3423290352484,19.0086481459407,999,12.9899139259779,999,15.7020060610647,999,18.8014504248012,999,15.0769769489752,15.4138213599565,16.4472822827477,20.3858603432848,18.8148262755614,999,999,16.0015523617846,16.7160382342852,999,16.4226523981183,18.9694751878761,20.0390575295561,17.1738102986223,999,19.1438290210782,999,999,999,999,20.8902140300997,17.3785492033847,17.6815655977553,999,999,999,17.7075993779839,17.5855700494158,15.9728881407686,17.7899240100415,18.5566547088825,999,16.8737953671193,15.908526696355,17.7103311868252,999,999,16.0127673979363,18.6938811101119,16.735522026189,999,16.8387077281617,14.2980335558268,999,17.289154558554,17.8797836956252,18.1466037384449,17.6982021182542,12.9915066864634,13.7155157169748,,
03,3,18.6188768863177,999,999,999,19.1105587362345,999,999,999,999,999,999,999,15.9673986156912,999,999,17.4683854711753,24.2736532362289,999,16.3145481611241,999,999,999,19.6015647589229,19.5730088740625,999,18.0606393389783,17.6768516149605,20.7502341802721,999,999,19.8539550199338,999,19.4227232265924,999,20.1001654216595,999,17.6934754993043,16.0394103920525,17.7998346492007,999,15.3957133128505,19.660388957267,19.1142956999064,999,20.1705964818918,20.9069206247485,16.1402213727631,18.1608225585014,16.8507893289015,999,19.2157757692377,999,999,18.8422669054627,19.2279750029325,999,16.585963096567,999,999,18.2364433990653,999,999,999,999,18.6335037276626,999,999,19.8172554008554,18.2617446456565,17.8391892170694,19.1950413097898,999,999,999,19.1424086382848,18.2812757771813,999,999,18.8276125202517,999,999,999,999,17.071017827946,17.5260110032035,999,999,999,15.8935032053125,999,19.5841721333784,18.4881679808574,999,20.6451205226483,14.7068394334485,15.9077115786235,,
04,4,15.9652265424303,999,999,999,999,17.3836494594919,20.8971050990688,999,18.056769695277,999,999,999,13.9150555930652,18.511388707289,999,16.2070050909598,18.7124370301043,999,14.7730033792184,999,16.9181587417835,999,15.0461904114137,16.1586477567782,999,17.5781146572329,16.3732117880171,16.5808379869837,999,18.5916471201313,17.1428921294308,999,17.0869787615485,999,17.6689008698588,999,16.1493600038202,13.6494231913786,16.6181779606862,18.2142927274073,12.7310411943645,999,15.7277430498034,999,16.8093338864222,20.2241256304041,13.2919871486706,15.5174648511556,13.3342069235694,19.3959984498921,999,999,999,14.3495796646309,17.4519232810583,999,15.9189955095259,15.7448318475959,999,17.3833048707266,999,999,17.6724271856566,999,18.6452468221322,999,20.3577306362961,16.8346172323238,15.2932313693038,999,999,999,999,999,15.8740153611218,17.4422932944458,999,999,15.0369994409966,14.3727687830021,999,19.5845719635614,999,13.0245714237196,999,15.7587550174442,999,16.7500275541132,14.4212129876729,999,999,17.7593726343098,999,999,12.5030690143704,12.9115733070911,,
05,5,17.9717751578131,999,999,999,999,20.7821899697236,999,17.9059442663074,19.1169935965953,999,999,999,15.0552246653384,19.8178522181818,999,16.4994957067802,17.3854848083911,19.7880717938857,14.366022991825,999,18.6351926691783,999,17.1508812573519,18.7310045998512,999,17.5945944075838,17.9599358814555,18.5276803329315,999,999,18.2244480602456,19.5932076045914,18.6038391075019,19.7842891288002,19.8337912426316,999,17.0482725123952,17.1020841339842,18.7520478007453,999,13.5126129678814,18.8014102589599,17.4637261257301,999,18.4955985700405,26.024814261963,14.5824632085974,15.7139160302447,15.602958825905,999,19.0299184940927,999,999,16.9528672236369,19.3256448365178,999,17.5625433617528,16.8224908507174,19.715372591188,19.5238026258119,999,999,999,999,19.0718841631942,999,21.477160992417,24.2297590734283,16.3054323662895,17.9824147003071,999,999,17.1323042051192,999,16.0720491537335,18.8976182636366,19.9206804988059,19.365204871111,17.6182086597504,18.6649846047492,18.3954442314369,999,999,14.8169114824367,18.4503003771364,17.657362137621,999,16.8319298289962,14.4216366425535,999,19.2142911423132,17.2356485471301,999,20.6548196692315,14.6865760587852,14.3511021888233,,
06,6,15.3377429305854,999,999,999,999,18.7545471685858,18.7287430368019,16.7669757943701,17.5092624367656,999,999,999,13.870533686535,18.9958635531263,19.8876471586899,14.8692557918686,16.7961458465658,999,13.5084900991335,21.0794718815365,16.1395470290516,17.9213197943052,15.5121806805097,18.0064747390946,14.3037211677817,14.2329478656078,16.7320827186445,16.2862757481428,999,16.8825307248378,16.2179776931126,16.5723193865701,15.5477378694323,18.9123343671064,17.8135442158344,999,15.5591270837945,999,999,999,12.7057197840119,16.7023567672128,14.8948157642118,999,16.956745481819,999,12.9684429283769,14.40992761093,12.7495456045209,20.4856476583459,18.4537608540321,999,999,16.3704559196978,15.7343645332213,18.1859492291917,16.0622346298575,16.5135200660412,19.0083066563253,999,999,17.1006176873994,16.5764674107209,19.1851610834016,16.349217396409,999,20.5045007344239,18.7189581844504,12.7061298055686,999,999,18.8523590972963,17.5754248609025,16.2138324513385,16.6966584332746,18.921486984165,17.3075088660445,999,15.2262971650399,15.3823839935775,15.6354156974591,20.5158529349635,999,14.639728327904,16.1907456936906,16.0285739277354,999,14.8643174294329,14.9384625448298,999,16.2505057128019,17.6248867766131,999,16.996228172693,10.4917535068733,11.9212662486844,,
07,7,999,999,999,999,999,17.5924951766479,999,999,17.4052187215094,999,999,999,13.7872032111106,18.1653506613799,17.8068229389433,15.7069836721496,17.4170142761242,999,14.1370555311012,999,16.162660530802,18.0827300589486,15.8062737438554,18.9873142505299,999,15.3412658480237,16.1999994078697,16.8036958068059,15.417024180027,999,17.5290698942784,16.0083607180919,15.2769033743355,999,17.4351740058235,999,15.3622549120974,999,999,999,12.9950546238399,999,16.2490989177617,999,16.4190999057771,999,13.2342643229065,17.0198723988114,14.7337973589764,18.3661940783677,17.7048079815313,999,999,17.3161631844728,16.3195092473331,999,17.4876668786857,16.7882325280825,18.9348439978305,999,999,15.7870591551237,999,999,999,999,999,16.4441752353853,13.9308936245089,999,17.8924450620836,999,16.1114028196963,12.7585087040898,999,18.1413610446462,16.5614189612665,999,15.6347472564319,15.5011251833974,14.9156602006509,999,999,15.1151594044228,14.9553472043056,15.5312079028271,999,16.405767928347,14.257354274885,999,999,16.0240709186468,999,18.7693317631711,13.3110072459887,13.4294256628492,,
08,8,16.8800712471773,23.3461592759415,19.5809862841646,999,999,19.0648791605057,18.0998218770272,16.8040771488792,16.8055422658183,18.5381574528402,999,999,12.6130988993243,16.9324270460865,999,14.771133157522,15.9650526400677,999,11.6095302449175,999,15.9130781185607,18.7255796328595,15.6928500395617,17.6477941932853,14.4777794423161,14.7414020405724,16.1659245255954,16.5247816091148,13.1482023501796,16.8330186762665,16.2163592125341,15.9836778480438,15.6536580504945,999,999,999,17.9238654442662,999,19.1470760803867,999,11.283225425371,17.1814366579093,15.3707601258315,999,16.5241635628059,999,12.4744212895961,12.8824651771661,12.5930488110356,19.6490790365851,999,999,999,15.855572856481,16.5270056652238,17.2663065702092,15.9491017157215,15.7465824059059,19.1253486455298,16.4240968325401,999,16.7846167253886,999,19.1269037153546,16.6160669028705,19.5527776378768,19.4310774226402,16.9117973311554,13.9526630905393,999,999,999,15.2775461166593,15.7811564803402,15.3327836317499,999,999,999,15.5465663816311,14.638393531387,17.5303639141186,999,999,14.7633450605692,17.5045447980812,17.1723187769976,999,14.8741299134825,14.2423062999785,18.176742697117,16.6023019278833,17.215505211707,999,17.9146393070498,10.7960611730774,12.5113021537434,,
09,9,15.482922244501,17.7330763476491,999,999,999,999,21.8177937463618,999,16.063207394354,999,999,999,13.383464653687,999,17.761291541954,15.4959615630096,16.4207663998955,999,14.2796000748749,999,17.4249620313534,17.8889889298343,14.9318720388962,17.7290388116258,999,999,14.7907268136403,18.0508025309325,999,18.1281654370896,16.2346793135268,999,15.2494844431514,999,18.220554953274,999,17.9612453941479,11.5826533787107,14.9990165564886,18.8250325977805,11.7354762910992,17.3951955835162,15.4904844293343,999,16.204098930274,999,13.2081042957642,13.6818261257937,12.9436653541646,999,17.4449371875502,999,999,14.4899310954348,15.8763320468016,17.5821454187703,14.5517786236235,16.4895556466125,999,16.6594470428798,999,999,15.8214049907952,17.6094921865835,18.2816546844995,999,19.2778311945723,18.2794750870706,13.6739895951675,999,17.7444808991726,18.2560016782791,17.6619827811347,999,15.6521081039879,999,999,17.9028138832793,15.362909784568,14.9523292725826,16.6528072161795,999,999,12.9076132537554,16.7527657815467,14.7909957553775,999,15.6182444817197,13.8127682423245,17.2412641065042,999,17.212004788443,999,18.4879411511404,11.5584445738795,12.6177807868541,,
