Chip Run Info,F:\Biomark data\Fluidigm Backup\To be deleted 150412\20150307_NBM91_sort20150115_AG\ChipRun.bml,1362043439,96.96 (136x),GE 96x96 Standard v1,ROX,FAM-MGB,4/7/2015 3:10:50 PM,01:32:21,BIOMARK117
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,User Data (Detectors)


FAM-MGB Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,ADAM10,ADAT1,AHI1,AIFM2,ALOX5,ARF4,ARL11,ASXL2,ATG3,BCL2,BCL6,CCDC152,CD164,CD244,CD33,CD34,CD44,CD47,CD52,CD90,CD99,CDK4,CDK6,CDKN1B,CHEK1,CKLF,CLU,CRKL,CSF3R,CSRP1,CTNNB1,CXCR4,DDX6,DPP4,EMP3,EPT1,ERG,FCER1A,FREM1,GAS2,GAS5,GOLGA8A,H2AFY,HAVCR2,HIF1A,HSP70,HSP90AB1,IFITM1,IFITM2,IFNAR1,IGF1R,IL1RAP,IL2RA,LIMS1,MEF2D,MEIS1,MLLT3,MMRN1,MPL,MYC,MYCT1,MZB1,NUDCD2,PDK3,PFDN1,PIM1,POU2F1,PPP2CA,PRDX1,PREX2,PSMC4,PTPRE,PTRF,RGS2,RXFP1,SAT1,SELL,SELP,SERINC3,SERPINB1,SH2D3C,SIRT1,SLC22A1,SOD2,STK17B,TESPA1,TMEM17,TP53,TRIM22,VWF,BCR-ABL1 fusion,BCR,ABL1,HPRT1,GAPDH,B2M,,
01,1,17.4235451709597,999,999,2.5,999,999,18.1212181922495,999,19.3056866571076,999,999,17.9796644062799,15.0839188245964,18.2034893618234,999,15.586125558014,16.4884446676928,17.3133159285274,14.5270217493401,999,15.8201644963202,18.2286147164775,14.9162853880509,17.9629867784854,999,17.8597696718285,18.1988143798747,16.4536388002178,14.9598602478512,18.7974348845842,16.0909150398056,17.538925065679,14.9303330776949,999,999,999,17.5410593377343,999,999,999,13.3956148938509,19.1735280804521,16.1624083799139,999,18.644878272391,999,14.2142880919644,17.2562532630097,14.8150792928964,999,17.8873617524813,999,999,15.8542981427382,15.8523005981514,999,18.8837870327366,16.5368305926607,999,16.3451648679136,999,18.3477894829345,999,19.2351959118356,18.902378575714,999,19.8208873269557,18.8735048715034,13.5349765583175,999,19.2285886296948,999,16.7097530397929,999,999,999,15.8843425928,999,15.7636580732317,16.4507992668382,15.2918888064273,19.3424450667062,999,14.913903470141,999,17.9566584072055,999,999,14.8078282643607,999,999,14.8352622153778,999,19.6360626407196,13.4678112842709,13.6489074835012,,
02,2,16.813763693099,999,999,3.5,999,999,17.6027357309205,18.0083358769006,19.9753393164963,999,999,18.5725498704748,15.2994342645309,999,999,16.0370770981702,17.919985263697,999,14.6085441543441,999,16.5951809427165,18.8565817029975,15.7064759453993,16.9982730552713,999,16.1491206448161,16.19772822879,17.5902625402944,16.0071984217447,17.7926520762176,17.8583037296233,14.9731149240492,16.7742685386408,999,999,999,18.1004783119004,18.617453133631,999,999,13.7918276595326,999,16.0965913838727,999,17.8968550058238,16.1117760434172,15.2351188895208,999,14.3378779710474,18.781110675854,17.2802908775044,999,999,15.7097143139089,17.2700207902485,999,17.7739440826983,17.9477144465872,17.4232357734549,15.5126131871974,999,18.0498376297163,25.2368617530986,20.3396027229864,18.832970757256,19.7728074780034,20.862233367771,19.4756073034535,14.3928786195672,17.9348597149488,999,19.2036924835701,17.4817290047954,999,999,19.2959562583453,17.0455473142607,999,15.394380576462,16.822650667077,999,18.8166542706784,999,17.3573527366451,17.5796146491754,17.2565807105974,999,18.3889182796295,16.5840245605964,999,999,16.1000211542978,999,20.201521107213,14.084420237717,13.5433564847775,,
03,3,15.3637543591086,999,999,2.5,999,22.698266335311,999,999,20.0922912647084,999,999,16.9498872041754,14.3162911236724,999,999,15.9352177726765,17.1191542300274,17.7538173165719,14.6943415879162,999,17.7842807488368,17.9927394553097,15.5143414316189,18.1541780113711,17.5755178263427,15.8871276712219,16.1153325125901,16.3556826071549,15.5766964659601,999,15.8582537950575,16.6192441206711,15.4206143564026,999,17.7270425797976,999,14.8834043424828,15.0894846742326,999,999,11.5845078791353,19.9301093954157,15.3610273526789,999,17.8664798801323,999,14.0044618453281,15.5482571414841,13.4172831697206,19.4399366895231,999,999,999,16.1481940756018,16.0185429221628,18.1065347242434,14.9574494984256,15.8728620453169,19.1957271801103,15.7492342870544,999,999,23.3309011386517,19.5030837915619,17.8739459804753,18.6778100060694,19.4979547537031,18.7559157064401,13.6452174298615,999,999,999,15.9435552797773,17.6441694934815,999,999,999,16.8004507991719,14.2307907009243,15.9134349655838,17.2353348298313,999,999,16.5983856832946,15.4301653611987,15.8561423350438,18.3095384019076,16.7478097143315,15.0373414976107,999,999,17.1728472400109,999,18.8540523871308,13.1241212827504,13.2733484651406,,
04,4,17.2250010208344,18.3694213693931,999,3.5,999,999,24.6385473638812,17.7776274941345,17.1043352185595,999,999,999,13.7499362684501,999,999,14.1743817012702,16.9142767330029,18.8293951683418,13.3819832463655,999,14.2809438565749,16.4215774140621,15.7592709314617,16.2141245177343,14.8397109209491,15.8876635364435,999,15.3339912315236,14.5968486342419,19.8586563252495,18.3291929179753,16.1864388293899,16.4705910696599,999,17.3228802301622,999,16.1458035015957,999,999,999,11.8387136094367,18.2036739490275,14.7679556337593,999,18.9024239280825,24.0465497182466,13.1991043591236,14.9597001943397,13.3342501460133,17.7802214277509,16.5957767959486,999,999,16.1272264866594,16.5346316471259,999,16.8051819057518,15.9277331996306,999,14.2525381642819,999,14.6674987727741,16.3364019235081,18.8557812584879,18.3888380289266,19.0132358790378,999,16.8570939369448,12.1408098031023,16.5980302204188,999,999,17.5388438050274,16.5797935093898,999,18.5901177935099,16.0538421610957,999,14.9820344049296,15.3674095942621,999,17.4095997429906,999,17.0234409487812,15.5424074868259,17.3886328559721,999,15.6226614779753,14.7141930202895,999,999,14.3926721740043,999,17.7576441274875,11.9984947437321,11.7315636761706,,
05,5,16.4599251430217,999,999,2.5,999,20.256557088994,999,16.5304708809518,999,999,999,999,14.5377035524361,999,18.3761929524552,15.1617324926467,16.0004383528121,999,15.0850878149616,999,16.867513523471,18.6507355164444,15.2610108311604,17.2867036833256,999,17.8345647967597,14.7379878603747,17.8687418127258,999,999,18.4429853896565,16.9398732725243,16.9583620816063,999,17.8822516699007,999,16.2050453396884,15.6909720010377,16.7616905800386,999,11.4628938450737,18.9775085751552,15.2102876769512,999,19.0178182640273,19.2500118502477,14.0268938549149,16.4299240404476,14.3172759795744,999,17.8346433885857,999,999,16.4028098685769,17.6296334919306,18.4226249498915,16.4106295788418,16.4536389356616,17.374005071977,999,999,999,999,999,999,18.9341640313106,999,999,13.5809857895648,16.2820990228799,999,999,17.6806581646739,999,999,999,17.6199570257202,16.2257200896741,15.1187092982695,15.8328237459197,999,20.3050693579489,999,16.2095966226941,17.5949807059931,16.1900498691936,999,16.7709685222467,14.5559552974564,999,999,16.3079651891877,999,999,13.6956142793943,12.6120999906505,,
06,6,15.9590563971328,999,999,2.5,999,999,18.1587376545301,15.7299868997938,17.5589210228721,999,999,17.6223124009799,15.0993793367266,999,999,14.3965365784069,18.6443858268553,999,13.5375050518228,24.4909391771963,14.4889897613783,16.2193641351506,14.1788838117346,999,14.6855803536206,14.7782019499543,17.9351990975237,14.1498416624241,14.634595832096,18.0098625249365,16.5687888996726,12.933232480487,15.594326478148,999,17.4871765552402,999,15.7698862430257,999,999,999,11.7435085325159,21.2209708376614,14.8214579069978,999,17.3054861228911,999,14.1274497379045,999,12.8212929186799,19.0765852927965,17.6826020528794,999,999,17.147796165847,16.4861940122519,999,17.0432328767366,17.267143868467,18.6229021726935,16.5090926791257,999,15.4299656983469,17.3434981034788,999,17.6450571394022,999,999,17.1836812714734,12.7187933277301,16.5418074339343,17.2771521801722,999,16.8052366760067,16.4897078662893,19.1421457661896,999,15.7231130385496,999,14.7697954600787,15.2632898394654,999,999,999,15.1002171640213,15.9752906181902,16.1318814484524,18.5279456014146,14.1694012084072,16.1711789216078,999,999,14.9448905747029,17.9142155066295,16.7203537737836,12.0374683333388,11.7059622668791,,
07,7,14.8859317697047,17.5573559810156,999,999,999,19.2956067502448,18.7127544201149,17.127552704953,18.052447518955,999,999,999,13.395261708848,14.8344699351401,999,15.2902250184533,16.0037841407816,16.7158063880085,14.3106779082456,999,15.0977649269286,999,16.0688256109326,16.6741862868293,999,15.4607467280685,999,14.8402900274773,13.8002255044347,18.8231116407206,16.8668422743129,15.6909278423006,14.9643635559805,999,15.3050189776726,999,16.269234343816,999,999,999,12.1729024568369,999,16.3333883314673,18.4093123345729,16.7605935919175,17.6605137720638,13.9699006516116,13.5586211997443,13.3997616836783,18.9713046550554,16.836714174912,999,999,15.7933322322748,15.816839224871,18.1012271687149,17.5476019633751,16.4631675188924,18.2079022395725,16.8222387085574,999,25.3454707040403,22.4092798408754,999,16.7956974871,999,999,17.8125886033166,13.2352773227125,999,18.3361413577225,18.4861844431487,17.8379717947066,15.1377141267396,999,999,999,999,14.8297681832897,17.2169569464238,999,999,999,16.9771140740277,16.6557476189578,17.5050597838773,999,16.7613360652823,14.486829386357,999,999,14.9081473181046,18.0596992212667,999,14.0878074527064,10.656556327129,,
08,8,17.2640799781448,999,999,5.5,999,18.9789955395244,16.5944815681078,16.4011305976469,18.8474788414284,999,999,999,14.3771685093668,999,999,18.6001220409638,15.4649494241659,999,14.6782764107852,999,18.4081745190125,999,999,18.3442413552855,999,15.8901539953766,16.9889602831178,16.711554874804,15.3673676008354,999,16.947155517522,17.8385936393867,15.511554872167,999,999,999,15.7331500915187,15.6503310198598,999,999,12.8005543418891,22.0879648079078,17.3418195723424,999,17.7235538179309,22.6738970546674,14.4869017476244,17.4511670012843,14.804563853427,999,16.571521323814,999,999,16.6759955893843,16.5096281652919,999,14.7409727742147,15.9952302937817,19.2870270923802,999,999,999,999,999,18.9749285360274,999,999,999,14.8542107645732,16.5224627927204,999,999,17.6131629854531,999,999,999,17.9835948627414,17.7615143062082,15.4238122008293,16.8956190114161,999,18.9423577918579,999,13.7664845084983,16.6617614926252,15.5065440366109,999,17.6717292471246,14.957578481472,999,999,17.842038163278,999,19.708841905642,14.1032948261808,13.4850332205326,,
09,9,17.3695487929389,999,999,999,999,19.401822423029,25.3081217650504,999,999,999,999,999,14.5717567667112,999,999,15.2347489108154,16.7212657794672,999,13.6243984725801,999,16.3722485451671,999,15.3334794843378,18.3893906647931,999,16.64694487695,15.5417183944287,16.6973412672874,16.1886964876585,18.7471995511504,17.369609450473,18.1215265664494,14.9875750581988,999,17.8252438007886,999,14.8325325095152,999,999,18.4781692721832,11.512992081514,17.7550264966942,16.2352812159022,999,17.007712143308,24.9452411851575,13.5957641683248,14.7001864985285,14.1588848441227,18.6725452494609,17.6955761846339,999,999,15.7772057571888,15.4827664006562,17.1078264189561,15.3290941232588,16.3835362293518,999,999,999,999,999,999,999,999,20.2156941058927,19.6483537996873,13.1211997546683,15.5524350427286,999,999,17.6157449611952,999,999,999,18.7778128689257,999,15.0342983337828,16.076402195067,999,19.022390745796,999,16.0394613766586,18.1659397241213,16.906515252658,999,17.5221217222503,14.9242434822123,999,999,16.1431887740562,999,18.3278104558036,14.5806549175809,12.643885287397,,
