Chip Run Info,F:\Biomark data\Fluidigm Backup\To be deleted 150412\20150409_OX1407_plate2_sort 150115_AG\ChipRun.bml,1362043436,96.96 (136x),GE 96x96 Standard v1,ROX,FAM-MGB,4/9/2015 6:15:16 PM,01:32:15,BIOMARK117
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,User Data (Detectors)


FAM-MGB Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,ADAM10,ADAT1,AHI1,AIFM2,ALOX5,ARF4,ARL11,ASXL2,ATG3,BCL2,BCL6,CCDC152,CD164,CD244,CD33,CD34,CD44,CD47,CD52,CD90,CD99,CDK4,CDK6,CDKN1B,CHEK1,CKLF,CLU,CRKL,CSF3R,CSRP1,CTNNB1,CXCR4,DDX6,DPP4,EMP3,EPT1,ERG,FCER1A,FREM1,GAS2,GAS5,GOLGA8A,H2AFY,HAVCR2,HIF1A,HSP70,HSP90AB1,IFITM1,IFITM2,IFNAR1,IGF1R,IL1RAP,IL2RA,LIMS1,MEF2D,MEIS1,MLLT3,MMRN1,MPL,MYC,MYCT1,MZB1,NUDCD2,PDK3,PFDN1,PIM1,POU2F1,PPP2CA,PRDX1,PREX2,PSMC4,PTPRE,PTRF,RGS2,RXFP1,SAT1,SELL,SELP,SERINC3,SERPINB1,SH2D3C,SIRT1,SLC22A1,SOD2,STK17B,TESPA1,TMEM17,TP53,TRIM22,VWF,BCR-ABL1 fusion,BCR,ABL1,HPRT1,GAPDH,B2M,,
01,1,16.577038747318,999,999,999,999,16.8836416488106,16.6593018455448,15.2559760498257,15.9199621503467,19.6960741147183,999,999,14.9666819305499,999,999,15.7110142130138,16.7527497049558,999,16.2276726901512,999,16.5049969179304,16.8998573592367,13.4402780744655,16.6817044889638,15.0627356569486,16.7755736600706,999,14.5870114377487,999,16.8820765804274,15.2278447321725,999,13.3592272737163,999,14.7453882693589,999,15.8500793703849,13.26468541442,17.2689093998363,999,11.6914850353955,18.8897148677295,16.3872601894125,999,15.6439256151082,21.0851312144861,12.8386391893593,999,15.12672293841,999,15.410228876851,999,999,14.8803232380834,16.5090429414581,999,16.2747844413895,17.5367702460909,999,15.1742939736404,999,999,15.1915783139847,17.6789347189012,18.5340686581334,18.8320127437893,19.0869547725671,16.871289993587,13.5017131543069,999,18.9512433891407,999,999,17.0671233878334,18.0703820010796,14.995918438611,999,999,13.6209253381172,13.6899785784795,999,18.8640347689578,999,15.3351979301546,999,999,999,14.594670920429,16.6901440017981,999,999,26.4889876852523,999,17.3586272460535,13.644836331765,11.1923846887303,,
02,2,15.7919296697958,999,999,999,999,999,20.772739186361,16.6135337717515,15.7920400554429,999,999,19.9445562272592,12.7751089544723,16.6868530033453,999,12.7833313172144,15.7173966870282,17.5136891275019,13.8154573438196,999,13.0070113279473,999,15.04568046015,14.8962421291833,999,15.924093613439,999,14.2845767092064,999,999,15.3463023335323,13.6753158715029,12.6934660377093,999,15.8268417367863,999,17.1849434763944,999,999,999,12.6551079477779,999,16.3744277328801,999,16.2307964404121,999,13.4899765630383,14.97259718098,12.7110831546067,17.3040034397535,999,999,999,15.5046796722442,17.638660247217,999,999,16.8289314947213,999,17.9582926465649,999,17.2816485162846,16.1015203510228,19.2042698892209,18.3252118864628,999,21.6848829571598,15.967735113365,11.013682353073,999,999,17.816256824894,999,13.9547873104379,999,17.6198104499231,15.6769900500511,999,13.9683964194093,14.8131158438338,16.6910075525428,18.9494064307629,999,18.636796208755,15.3615055966016,19.7479811335188,999,14.4793550741795,17.0320156703868,999,999,14.781030462154,999,19.9341890455139,13.3291118193289,10.855257113609,,
03,3,15.9229924807446,999,999,999,999,17.4699325385432,999,999,16.5535685259798,999,999,999,14.0367666461407,17.8499321791862,16.9205233809127,15.5924010100407,17.2422336052262,17.9631692356835,999,999,19.2952062152689,16.4392790001974,14.6413064487671,17.9501650406253,999,999,17.3663038962189,14.4628580567428,999,17.1746914895823,16.8095867550104,17.9364317387368,17.2283672145138,999,15.1427296959757,999,999,15.2447919899688,999,999,10.7599782967865,17.3362679832146,14.699494124135,999,16.9361836734763,17.5367299349932,13.3575849084731,999,17.7274352348736,18.9994599596219,17.1663631783263,18.7474258712195,999,15.8786814888686,17.1988805901789,999,17.513458925118,999,999,12.9254071822002,999,999,17.1575684716372,19.0460235200302,16.9468843657857,999,18.4685516497919,15.892688445533,16.5159522960405,999,17.5884244300714,999,16.5915408239218,999,999,14.0673109295104,999,999,14.1926861996294,14.1494054854621,999,17.2992045158797,999,15.5126863041747,15.1429257417824,999,999,14.7478371937373,999,999,999,16.5710746615853,23.2626281554116,17.0011974303506,13.9590672879313,11.8254504652626,,
04,4,14.6409514827829,999,999,999,999,17.7859627588288,22.9530502154032,17.2865052993214,17.5683890682063,999,999,999,13.2180154856146,17.6224172422315,999,15.0565854803483,15.1801353508226,17.8215064190093,13.6113949607352,999,16.4058347282753,18.1656447215189,17.0861489569338,16.0241392305859,15.3997775278975,999,14.8240710867328,16.3306349825688,999,18.1475343492516,17.8383022340969,999,13.5364317257876,999,16.5020636854793,999,14.6194914818578,13.59994198839,999,19.2181427599956,10.3838998060919,16.3776326486013,15.5806002368013,999,15.3054201944733,999,13.2476187805307,13.6615909379896,12.3597416368685,999,999,999,999,15.0178841428187,16.1377439270105,17.7303545709452,14.4323584264517,15.5213296407031,17.855765998251,16.8977889120478,999,999,17.0362427168385,999,18.3419905074189,18.7261533185023,999,17.2203978478609,12.4982322865593,15.1658473652214,16.8290639039754,18.1397699353785,25.4682912781688,999,16.5000366021715,17.0350765606352,999,999,15.6904113060914,16.5461651007895,999,999,999,14.801736691897,17.1091744692318,16.7670596095706,999,15.4957017678561,14.410752651925,16.57165164121,16.9247737726588,15.8513102158618,17.9377974708017,18.8778008816813,14.4674782107208,12.303159038397,,
05,5,15.8780115839596,999,999,999,999,18.5133220834732,999,16.664918867513,16.0993377830912,999,999,999,15.8641547838689,17.278773830316,999,14.3999405125929,17.6502477559828,999,15.8092990786343,999,14.8446549696059,16.6090213844263,15.0750216520484,18.2209066881812,13.794913957419,13.8129783101741,17.7896895392191,16.3636420131612,14.1924084214044,16.3940714834417,14.855959438967,999,14.4036869069433,999,17.8600621741755,999,14.7450092550094,999,17.4907728482673,999,11.5396221920482,17.3346862068576,13.8750472327049,999,15.9690343410626,23.0389322970124,13.080754648676,14.8567942524728,11.0392815560975,17.9039544965276,999,18.5470260249794,999,16.8755061800838,14.53351028681,999,18.181958626055,17.232854583806,999,13.3034002621733,999,16.3777806139659,17.5591015311015,999,18.2563619911886,999,999,17.8472412966869,14.578165121584,17.2122161819922,17.7094678806794,16.381593856809,999,999,17.0495342101095,999,16.5204058508186,999,14.0070933928795,12.8879514151574,16.3216571406611,19.0017387740238,999,14.5896604090747,15.075382442348,999,999,15.2635674947563,14.7635925303087,999,16.6780948643394,17.97793179201,999,17.7548849551571,11.5422651419117,10.5512484055271,,
06,6,15.2431801876437,999,999,999,999,18.3955038828704,24.6385720824116,999,17.2454016739381,999,999,999,13.1562763775735,18.4408787721693,999,14.2256315934622,17.5078685294926,999,14.903698745612,19.9689129293468,16.5146373162089,22.554700346685,14.6629074304688,16.8570505889424,15.606870839813,16.7403449385856,15.1869502050029,15.4164711838024,14.66080011225,18.2508227478249,16.2351167733655,999,14.6594928132792,999,18.3651794760053,999,15.5940891618584,14.3481199603334,15.6252329309752,17.2765218302424,10.8502278867218,16.2460390923322,15.1652518933185,999,17.5650685240365,999,12.7284394777701,13.3121553364984,11.716196323645,999,999,999,999,16.1277227243354,16.0896493611906,999,14.958656942489,15.7668933725142,22.551164431954,15.8473551870373,999,999,21.8214051982959,17.6767023941575,18.1491159722917,18.8834029020911,20.9047864405886,999,13.0202574061034,999,17.7027669883686,999,15.1723470610779,999,15.2985414845046,999,17.691185191753,999,13.7537484803342,15.1897413454245,16.406260266304,18.4129635201377,999,13.3337258413722,18.8104596965632,16.7442621594027,999,14.978535518222,14.0374488595107,999,999,17.4592540933618,999,17.9604166154276,13.5008505454973,11.9660489604217,,
07,7,15.5619735714074,999,999,999,999,999,999,15.7121102400925,999,999,999,999,14.612049432078,999,999,15.0180547037704,17.8926040470483,999,17.9396442670832,999,14.9493827288363,23.5539949591381,13.1765231784516,16.0319039928982,16.3572588872541,15.7662210678004,16.2573722637152,15.7070921143196,999,999,15.7164699155829,17.9791646261007,14.010358263829,999,999,16.60329450453,15.9378148739132,14.6849860408689,17.5071616436205,17.273095859636,10.279396330965,16.9837800067916,15.006536776374,999,16.1161401599024,16.7223946343382,12.2738433203658,14.628564737746,11.4162427498623,999,999,999,999,14.8377516402478,16.8593800397766,999,14.0124531943431,16.6984976551188,18.0556457368317,999,999,999,999,19.4209925862703,17.4017141880656,999,18.7946021328052,15.9237293484573,15.8228347290277,999,17.7502843525963,999,16.8318021498382,999,14.8124398632765,18.0262096219613,999,999,15.0702947866358,12.8583618265028,999,999,999,13.685105582385,16.7429536797077,15.5222284644074,999,16.2953749243395,14.1257120701023,999,16.6320551117122,15.6759017037901,999,18.0640276411851,13.1339800807805,11.8999383845331,,
08,8,17.1222895171931,999,999,999,999,17.9333367746548,15.9940374029381,999,18.5564508968782,999,999,999,13.5153340647971,16.7116396214405,999,13.9140031795954,14.6981853981311,999,13.9217320176263,999,15.3958865434774,999,14.2771032743282,17.6927861921657,999,17.0249964851579,14.1649150131305,15.441123570247,999,18.3721854484433,16.2371834521116,999,13.954095468373,999,999,15.8515316292617,14.5779513874275,13.9391953065091,999,17.2146529867976,10.4983157486972,18.3502878244408,15.9415272785753,999,17.1136939188656,999,13.0576513590885,15.9978723214128,12.1984876865702,17.7278453472298,999,999,999,14.2089547295263,14.921868265743,999,14.5437287303835,16.6090666357741,17.6888179248751,15.8145859927765,999,999,16.0608669221779,999,17.6280915564344,999,19.9421431511415,18.5680305356711,13.0069937929176,17.6296315343013,999,999,999,16.6193576537796,16.5429745781161,999,18.9506074233206,999,14.5693764440328,13.568834111688,999,999,999,15.3254094806523,16.7941157207921,15.2387555338031,999,15.1896137467317,14.4401381257087,999,18.6409425461062,17.1487590141848,999,19.669283219448,14.4703505120741,12.4639581553602,,
09,9,14.7254309216006,18.2108126302763,999,999,999,17.242316095001,16.1078727828237,999,17.6288706016167,18.276601352155,999,999,12.4684772564463,17.0966484206793,999,13.3292704368043,17.2365652189231,999,14.7130722458405,25.9265107800099,14.6789360515613,17.7379787210768,13.799117261432,14.0629174700639,14.7112367592916,13.9261141428083,999,15.2016422089498,14.5683939467194,18.1256472441297,14.7512176446337,17.1936707357047,13.3591407412888,999,999,999,13.9264685283498,999,16.3918683985088,999,10.9080453761748,20.8698509701743,13.2766553190553,999,17.9720196425012,999,12.5657566495404,14.0273452427298,11.4680240489197,17.8902116208562,16.9319090440786,18.758979247834,999,16.2544672409821,16.2619706974773,999,14.57711828837,15.8791054570008,999,16.1117572571998,999,18.5654102827756,14.6964472850758,999,18.0327204671754,19.9582186462749,20.777910596444,16.5384193921629,12.9161794181517,999,999,17.8881015963984,16.3033080017856,999,15.3222564950835,17.8437232150584,18.5958279691807,999,14.7933746996029,12.793593107216,999,999,999,14.5949672032246,16.1662080093695,16.5090134717309,999,13.2527150536499,15.2231534253137,999,15.2895546769738,17.1503302302117,999,16.7249020331615,12.4598459115259,11.7963168901027,,
