  Dim1	Dim2
  -48.9720    6.1837
   10.9185   -9.3689
    8.1957   16.7115
   35.2788    5.9840
  -26.4955   25.3557
   48.1762   21.2717
   32.4617   12.0559
    5.2855   21.3611
   57.9426    7.5293
   -4.2399   32.8319
   41.1280   13.7943
   47.3632   13.3097
   50.3119   -0.6083
  -14.2952  -24.3238
   11.3442  -10.2958
   32.5663   13.6686
   43.3254    8.2520
  -28.9055   27.4467
   43.7982   16.1814
   32.0414   11.2118
   29.8768   10.4047
   43.7276    5.5897
   41.7098   23.2009
   31.4474   10.1126
   45.9918   -2.6902
   43.9163    7.8828
   45.0240    2.8840
   44.3388   -4.0309
   42.3830    8.4274
   26.8656   42.0273
   36.8514   12.1809
   36.2301   12.3838
   31.3265  -24.9447
   45.8749    3.3778
   35.1142   12.5097
  -21.1967   28.3348
   33.5529  -26.5658
   52.3872    0.1000
   50.4990   20.7295
   51.9212    1.6787
   45.6214    7.1941
   34.1717  -16.5447
   34.1246   10.5311
   57.9599    8.3321
   61.0832    5.9856
   49.6602    3.4279
   53.8564    3.7099
   47.4702    8.0239
   46.1740    9.4007
   47.5971    6.2276
   52.7704    2.5230
  -22.7716   30.8347
   44.7900   11.2289
   48.6464    8.5667
   44.7296   12.0187
   46.0693   10.2630
   48.8725    6.9018
   47.3259   10.0845
  -57.2966   -7.7902
  -49.1439   -8.7463
  -51.5063  -14.3221
  -53.7548   -8.4131
  -46.1872  -10.6934
  -46.4181   -9.7726
  -47.3732  -19.1242
  -47.6707   -7.6030
  -49.3872   -7.6506
  -46.3753  -15.5555
  -50.1400  -10.5127
  -53.5602   -7.2225
  -45.3093  -12.4714
  -43.4085  -15.1254
  -48.0251  -22.6466
  -43.7145  -17.9872
  -52.1342  -13.3252
  -55.3093  -10.8872
  -40.3368  -28.8220
  -37.5383  -22.4467
  -48.0603  -11.5278
  -45.1410  -11.6751
  -41.0105  -17.7702
  -44.1122  -22.2573
  -57.2844  -14.3152
  -43.3157  -22.4768
  -38.5874  -23.1188
  -38.3445  -24.3316
  -46.1804  -17.2058
  -48.0813  -20.3405
  -40.1291  -29.0680
  -43.5725  -12.8444
  -45.6671  -13.6255
  -57.4493  -22.4604
  -51.4158   -7.1454
  -15.9037   -3.2053
   -2.2608    1.6167
  -55.5232   -3.6156
  -50.8117  -26.7792
   19.1887   20.4366
  -47.2917  -24.2726
  -41.3539  -27.7688
  -44.3157   -4.8787
   -3.8341   -1.7158
  -52.2153   -1.4062
