gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
GAS2	0.975118081828806	5.20781803274405	4.23269995091524	377	477	66	327	0.175066312997347	0.685534591194969	1.62569037461335e-49	1.58123297445558e-52	9.0241880009805e-51	3.36054673748047e-100	6.4425041504238e-96
PCDH9	2.61495605992821	0.43827274021804	-2.17668331971017	377	477	152	42	0.403183023872679	0.0880503144654088	2.43716963094236e-27	3.9110637001013e-28	3.18189083508566e-29	1.61438610483322e-54	1.54746980078788e-50
RXFP1	0.245196537221685	1.73861206727172	1.49341553005004	377	477	20	156	0.0530503978779841	0.327044025157233	1.95232856502434e-22	2.34895379588191e-25	7.32260972682125e-23	1.86933262663254e-45	1.19456585950575e-41
LGALS1	1.66494390499893	4.19138625008645	2.52644234508752	377	477	120	306	0.318302387267904	0.641509433962264	1.26270920445274e-20	3.64143141219506e-21	3.31905262833361e-22	1.17862587162069e-40	5.64885914621004e-37
IFITM1	5.53260136270311	8.08571644248116	2.55311507977805	377	477	340	469	0.901856763925729	0.983228511530398	2.88417777526274e-07	1.01761905988646e-07	1.5560174160326e-35	1.53987240062359e-40	5.90417875847096e-37
RAB31	0.388860285167129	1.94353531496564	1.55467502979851	377	477	26	156	0.0689655172413793	0.327044025157233	1.29262192202454e-19	1.60894512506927e-21	5.56817151556686e-20	8.35087382396926e-39	2.66824336798858e-35
LAMTOR2	2.41661171592996	4.55019299855106	2.1335812826211	377	477	160	354	0.424403183023873	0.742138364779874	8.8837549524647e-21	3.57038953078085e-21	1.8383465498535e-17	5.68518471321273e-36	1.55700965910002e-32
PSMA4	4.21276913626635	6.57575451858629	2.36298538231993	377	477	253	438	0.671087533156499	0.918238993710692	1.58830623608876e-19	6.39069005719011e-20	3.70604565266334e-17	1.96651813358745e-34	4.71251489237562e-31
CAPZA1	5.77898782993008	7.98445709961761	2.20546926968753	377	477	301	469	0.79840848806366	0.983228511530398	6.10492972125652e-19	9.97374005121217e-21	2.94827359227671e-16	2.4351856168033e-34	5.18721593997068e-31
SLIRP	4.90192458478829	7.09256147117549	2.1906368863872	377	477	265	445	0.702917771883289	0.932914046121593	1.12531784705116e-18	3.15042056830255e-19	5.78253220063598e-17	1.47544039663134e-33	2.82856678438195e-30
ANXA2	1.53440110275706	3.43226739557902	1.89786629282197	377	477	103	273	0.273209549071618	0.572327044025157	4.16321254181038e-18	1.24012918762857e-18	4.76209085838431e-17	4.71353587204424e-33	8.21483601845092e-30
LOC100506844	4.0112028998611	5.89608714179431	1.88488424193321	377	477	222	422	0.588859416445623	0.884696016771488	4.64023322635637e-23	1.42984904432382e-23	5.59263510327307e-12	6.35823236408881e-33	1.01578060543289e-29
UQCR10	4.68252629762932	6.71886054485422	2.03633424722489	377	477	267	448	0.708222811671088	0.939203354297694	2.55442642549984e-19	6.89779363073175e-20	1.79319576782672e-15	9.78089565169615e-33	1.44238115798974e-29
TXN	7.39345357693876	9.00676289753839	1.61330932059963	377	477	350	474	0.928381962864722	0.993710691823899	6.97592229299552e-07	1.4382481092354e-07	1.12184158586791e-27	1.27158060630868e-32	1.74124798596741e-29
STON2	2.54672368355305	4.20289491980585	1.6561712362528	377	477	212	400	0.562334217506631	0.838574423480084	1.15617381379282e-18	8.34321986290762e-19	2.11470528735168e-16	1.38889447906272e-32	1.77509973720743e-29
EFR3B	0.351214701426494	0.115272010689366	-0.235942690737128	377	477	133	54	0.352785145888594	0.113207547169811	8.55485346891897e-17	4.10845263927282e-17	3.99742716383337e-17	1.25620043302773e-31	1.50516365634841e-28
H2AFZ	6.20798837852303	8.16026175527876	1.95227337675573	377	477	307	471	0.814323607427056	0.987421383647799	3.29796403589233e-18	3.48276450699153e-20	2.43214835426136e-13	6.34013452518102e-31	7.14980699895561e-28
HSBP1	3.77635438910203	5.67844977256615	1.90209538346413	377	477	221	408	0.586206896551724	0.855345911949686	1.52787931803129e-18	9.90334478458722e-19	1.46645713424348e-14	1.0791855322696e-30	1.14939254661892e-27
GTF2A2	2.4093136262102	4.35032296659335	1.94100934038315	377	477	163	341	0.43236074270557	0.714884696016772	1.38441882739364e-16	8.14411327665505e-17	3.83522178671236e-16	2.2971019447046e-30	2.31777586220694e-27
POMP	4.04154364804313	5.94088853157448	1.89934488353135	377	477	244	428	0.647214854111406	0.89727463312369	1.68116163737368e-18	7.03321415287956e-19	9.58355904613188e-14	4.90524362777616e-30	4.70192127940484e-27
RBX1	3.52362897919548	5.48034747017547	1.95671849097999	377	477	207	390	0.549071618037135	0.817610062893082	3.73861435229416e-17	2.97220335601419e-17	4.93082234320217e-14	1.02141338622398e-28	9.32453144157137e-26
TOMM22	2.33300344120062	4.11949176090724	1.78648831970662	377	477	176	352	0.46684350132626	0.737945492662474	1.00006863335468e-15	6.61159005708034e-16	2.53603606812524e-15	1.16634050706813e-28	1.01635972095469e-25
PRDX3	4.25601484041352	6.39925024526104	2.14323540484752	377	477	260	435	0.689655172413793	0.911949685534591	2.43472690037065e-16	1.36572188103387e-16	3.94096644046281e-14	3.6811695880317e-28	3.06833487705024e-25
CDCA7	1.04213480225095	2.76819632270055	1.7260615204496	377	477	75	215	0.19893899204244	0.450733752620545	2.12561936567432e-14	7.14053144098564e-15	1.65036646133088e-15	7.96758665847973e-28	6.36444182623812e-25
NDUFB2	5.0483022604968	6.91989298906761	1.87159072857081	377	477	265	445	0.702917771883289	0.932914046121593	1.12531784705116e-18	3.15042056830255e-19	4.91804292535062e-11	1.04331463072859e-27	8.00055391427913e-25
NDUFA12	4.66025483028857	6.61228903294214	1.95203420265357	377	477	263	440	0.697612732095491	0.922431865828092	2.65407064074643e-17	1.0993183498052e-17	1.98097084885437e-12	1.45899871999184e-27	1.07578709465244e-24
ATP5J	5.88281888993282	7.6353585218128	1.75253963187998	377	477	302	466	0.80106100795756	0.976939203354298	5.94137951967652e-17	3.25839879955345e-18	1.66827918084767e-11	3.59216060520459e-27	2.55056707268063e-24
CRHBP	5.09229623938178	2.76163328191245	-2.33066295746933	377	477	278	248	0.737400530503979	0.519916142557652	1.38214183682785e-10	9.14796878351872e-11	2.16053983662985e-18	1.28056655867818e-26	8.76776482014977e-24
LAPTM4B	2.12160293752345	4.02960410557162	1.90800116804817	377	477	147	310	0.389920424403183	0.649895178197065	6.64718851071945e-14	3.81458843865355e-14	7.95335613178154e-15	1.95268099175769e-26	1.29085680320644e-23
SCN9A	0.334210840038992	1.24896676271838	0.914755922679391	377	477	34	143	0.0901856763925729	0.29979035639413	1.18228604300244e-13	1.28116957247761e-14	3.30558631157738e-14	2.71163858314377e-26	1.73282744258164e-23
MARCKS	0.416376163352062	1.45269938470929	1.03632322135723	377	477	37	149	0.0981432360742706	0.312368972746331	9.46983889245061e-14	1.09676428237977e-14	4.07389140753436e-14	2.85848482117386e-26	1.76774233892658e-23
