gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
GAS2	0.346965302990829	5.35992695308213	5.0129616500913	232	477	27	327	0.116379310344828	0.685534591194969	2.11278127924209e-45	1.01957877006366e-49	5.76938728798044e-45	1.26865143891744e-91	2.28408005062696e-87
ARRDC3	7.53952491176063	3.52080108676676	-4.01872382499386	232	477	223	313	0.961206896551724	0.656184486373166	1.64271644174591e-18	1.37783557493429e-22	2.88535675995564e-45	6.11809038134793e-65	5.50750496128941e-61
AREG	3.00276721085351	0.419119449524966	-2.58364776132854	232	477	111	36	0.478448275862069	0.0754716981132075	7.06339040808065e-35	1.10625430982834e-33	2.02784286807696e-27	3.10355540056148e-58	1.86254704772363e-54
NFKBIA	3.06726440750501	7.17707603820562	4.10981163070062	232	477	132	432	0.568965517241379	0.905660377358491	5.17250752860329e-25	7.48288916220573e-24	9.10733340342913e-37	9.35251844047181e-58	4.20956855005636e-54
ANXA2	0.822478897711714	3.71377208692152	2.89129318920981	232	477	35	273	0.150862068965517	0.572327044025157	5.52568277933328e-26	3.77777342282863e-28	1.07650015011423e-26	5.04022689875114e-52	1.81488490170231e-48
SELL	9.00641410228505	5.08152366575851	-3.92489043652655	232	477	227	382	0.978448275862069	0.80083857442348	3.84781236385757e-10	1.6461083506524e-12	2.29428582564261e-41	4.59648331728845e-51	1.37925142740769e-47
FOS	8.96066271553011	5.04993979624864	-3.91072291928146	232	477	228	386	0.982758620689655	0.809224318658281	4.18323400272706e-10	1.10311873401171e-12	4.12285516509894e-36	5.00322602990172e-46	1.28682973489072e-42
CRHBP	6.52744392907009	3.16615294553684	-3.36129098353325	232	477	199	248	0.857758620689655	0.519916142557652	4.65152682322704e-18	8.8082508791876e-20	6.57958874444329e-27	6.09461945788382e-44	1.37159410899675e-40
LGALS1	0.949173231876953	4.08532347995641	3.13615024807946	232	477	62	306	0.267241379310345	0.641509433962264	1.71983626977965e-20	3.76000343043863e-21	1.15436440455628e-22	4.27718250097082e-41	8.55626597194208e-38
STON2	2.22807225648215	4.3222238030254	2.09415154654325	232	477	114	400	0.491379310344828	0.838574423480084	6.30499889115204e-22	2.10425293369694e-21	3.82138516677912e-20	7.50412520670254e-39	1.35104270221473e-35
