gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
ARRDC3	7.35715944492277	3.07171452811784	-4.28544491680493	232	377	223	206	0.961206896551724	0.546419098143236	3.3499598436031e-27	1.5841584634781e-32	1.82678636378456e-41	4.86253936940157e-71	9.05793833732124e-67
C16orf54	7.07894714196732	4.15980873447119	-2.91913840749613	232	377	220	248	0.948275862068966	0.657824933687003	3.54502966650265e-16	6.92686542369263e-19	4.79444904038126e-21	2.97567894583809e-37	2.77154737015359e-33
AREG	3.26143900441463	1.07454158119056	-2.18689742322407	232	377	111	62	0.478448275862069	0.164456233421751	1.56404753915125e-16	2.01060806421691e-16	1.26405699114318e-20	2.10845524885307e-34	1.06872085385076e-30
CXCR4	3.45561040765371	1.03391864361907	-2.42169176403464	232	377	117	67	0.504310344827586	0.177718832891247	3.37567219860287e-17	3.45842944006582e-17	8.00678135594604e-20	2.29486977421249e-34	1.06872085385076e-30
IDH1	2.09080826952433	0.508563400988342	-1.58224486853598	232	377	92	50	0.396551724137931	0.13262599469496	1.56697388517821e-13	1.88375894127201e-13	5.79813935945437e-22	8.65042328573611e-33	3.22280169933385e-29
MDK	3.64884307384607	1.3125965479285	-2.33624652591757	232	377	128	93	0.551724137931034	0.246684350132626	5.6508129340339e-14	4.53516916930085e-14	1.3917801667947e-18	4.59764805552363e-30	1.4274164663049e-26
PRSS1	1.82701230874405	0.222073229555869	-1.60493907918818	232	377	75	18	0.323275862068966	0.0477453580901857	1.26129927426745e-19	1.01993967073142e-19	1.80130195809115e-12	1.31860693617808e-29	3.50900142958933e-26
NFKBIA	2.83399080759412	5.92913051761163	3.09513971001752	232	377	132	313	0.568965517241379	0.830238726790451	3.29553292047115e-12	3.3748408992858e-12	9.23698428304292e-20	2.22088810816013e-29	5.17133795985085e-26
PROM1	3.8282334135867	1.57644234450997	-2.25179106907673	232	377	139	120	0.599137931034483	0.318302387267904	1.77814338711128e-11	1.11983487036081e-11	3.74964090228989e-19	2.88229278850343e-28	5.96570556269355e-25
CD53	5.57484696632652	3.07632715222397	-2.49851981410254	232	377	205	238	0.883620689655172	0.631299734748011	2.12596545171001e-11	2.05099734754912e-12	4.8099048374638e-17	6.46025720678603e-27	1.2034167124801e-23
LRRC70	4.52984856366661	2.4165934155765	-2.11325514809011	232	377	159	133	0.685344827586207	0.352785145888594	2.92468284085967e-15	1.15709854911999e-15	1.59536420460586e-13	1.19729972982551e-26	2.02757266974451e-23
PRSS3P2	1.94541726824626	0.261236214164397	-1.68418105408187	232	377	77	26	0.331896551724138	0.0689655172413793	1.09178891633057e-16	1.24464716499984e-16	8.60003299401433e-12	6.75441708779592e-26	1.04851067926219e-22
MZB1	2.60481876606805	0.772858901299275	-1.83195986476878	232	377	102	63	0.439655172413793	0.16710875331565	4.01184877248601e-13	4.27721119552541e-13	4.62318727052387e-15	1.23565942139419e-25	1.77060490013315e-22
MAT2B	4.63064757999405	2.25643383358495	-2.3742137464091	232	377	169	150	0.728448275862069	0.397877984084881	4.20553789615604e-15	1.17375197488708e-15	2.47459429252561e-12	1.8038338346186e-25	2.40012976223395e-22
HEMGN	3.84643630754205	1.91765051002	-1.92878579752205	232	377	159	143	0.685344827586207	0.379310344827586	4.10945823565953e-13	2.36731593647695e-13	2.20745422668712e-14	3.21467767719735e-25	3.99220105138881e-22
AKR1C3	5.51207100941196	3.1852340985948	-2.32683691081717	232	377	189	198	0.814655172413793	0.525198938992042	1.07426013519024e-12	1.90201973555685e-13	2.70141243906339e-13	3.0433469734667e-24	3.5432167138586e-21
TTC34	1.71285415442553	0.880396492209252	-0.832457662216282	232	377	134	112	0.577586206896552	0.297082228116711	1.3259727759651e-11	1.23163177698825e-11	4.75580893743646e-15	3.46169764422562e-24	3.79320610097853e-21
LST1	4.62833197769749	2.65003822016122	-1.97829375753628	232	377	178	187	0.767241379310345	0.496021220159151	5.84040649932345e-11	2.15621655735393e-11	4.82783492272165e-13	5.61292120496812e-22	5.80874978923034e-19
CD164	9.25127123258647	7.00889345424638	-2.24237777834009	232	377	228	346	0.982758620689655	0.917771883289125	0.0015402858817813	0.000515160074741205	2.31827689676614e-20	6.42308590904471e-22	6.29732864808868e-19
KIAA0125	5.43466055474907	3.74724611815852	-1.68741443659055	232	377	210	281	0.905172413793103	0.745358090185676	2.13561909209158e-06	5.77162999390832e-07	2.49528614104025e-17	7.71863586575236e-22	7.18913744536175e-19
BCL11A	5.67130064003894	3.83845903688245	-1.83284160315649	232	377	201	238	0.866379310344828	0.631299734748011	6.12006996043878e-10	1.48798600474335e-10	1.91491640036166e-13	1.50766826907778e-21	1.33737354839909e-18
MFSD1	3.45851759379999	1.7459985919805	-1.71251900181949	232	377	129	113	0.556034482758621	0.29973474801061	5.96200467679641e-10	4.13030380826707e-10	1.23517664464636e-13	2.66969045591862e-21	2.260499718766e-18
ZNF146	2.70676195387658	1.14742050377196	-1.55934145010462	232	377	106	84	0.456896551724138	0.222811671087533	2.44740018620174e-09	2.16525724528128e-09	5.59435991534338e-14	6.23409222881412e-21	5.04907261036302e-18
MDH1	5.00629234171655	3.28674709014226	-1.71954525157429	232	377	194	214	0.836206896551724	0.56763925729443	1.41964679328748e-11	2.60528277656391e-12	8.96768622295282e-11	1.18705225057294e-20	9.21350388486366e-18
SELL	8.94537140288186	6.65165470313766	-2.2937166997442	232	377	227	327	0.978448275862069	0.86737400530504	6.84255099178891e-06	7.29742157947628e-07	3.96922761196286e-16	1.46544324091626e-20	1.09193106767152e-17
FOS	9.22475271636553	6.51221697797348	-2.71253573839206	232	377	228	337	0.982758620689655	0.893899204244032	7.74956942129297e-05	1.51238180644928e-05	7.19785149152365e-17	5.363417841191e-20	3.84268259791177e-17
SLC30A6	0.461921149383963	0.914827186128714	0.452906036744751	232	377	70	210	0.301724137931034	0.557029177718833	1.40069728821513e-09	7.90165217907347e-10	1.54701786556652e-12	6.00851887025644e-20	4.14543294500507e-17
PRSS3	1.44113681868846	0.186197203703969	-1.25493961498449	232	377	59	19	0.254310344827586	0.0503978779840849	6.58616846501376e-13	6.14262244919109e-13	2.61217370612232e-09	7.84331840676784e-20	5.17815080299563e-17
SKIL	0.416315026375511	1.5908849056588	1.17456987928329	232	377	58	183	0.25	0.485411140583554	1.31648848093726e-08	5.71640736081377e-09	2.98740730190158e-13	8.33695782985547e-20	5.17815080299563e-17
MMEL1	1.31871370723859	0.706649469648174	-0.612064237590416	232	377	137	131	0.59051724137931	0.347480106100796	7.31940545607534e-09	5.57573356237952e-09	3.1001350295781e-13	8.43654755992691e-20	5.17815080299563e-17
LOC100506606	1.45213850566012	0.280126829806727	-1.17201167585339	232	377	60	30	0.258620689655172	0.0795755968169761	3.05506544858293e-09	3.47601394256249e-09	5.0815840116053e-13	8.61727909023322e-20	5.17815080299563e-17
DHRS7	4.07636173199624	2.32840899739945	-1.74795273459679	232	377	152	143	0.655172413793103	0.379310344827586	6.50437523918352e-11	3.41828612861392e-11	6.46993436831837e-11	1.07396971520215e-19	6.25184620462051e-17
POLR3K	2.40854985155038	1.24514332753034	-1.16340652402004	232	377	105	77	0.452586206896552	0.204244031830239	1.45029949457788e-10	1.2687835098548e-10	2.30172024117727e-11	1.41003682725942e-19	7.95944424793589e-17
PSMA6	6.813676823076	4.75812803575166	-2.05554878732434	232	377	219	280	0.943965517241379	0.742705570291777	7.22572016754809e-10	2.99321850328326e-11	1.01097728083627e-10	1.45999145401642e-19	7.99903553100524e-17
UBE2V2	3.89054114003563	2.08186935236265	-1.80867178767298	232	377	148	136	0.637931034482759	0.360742705570292	4.85915896505377e-11	2.95869730219962e-11	1.3029996003815e-10	1.85067477772335e-19	9.84981993126586e-17
CDC26	4.0288942236414	2.12521888162812	-1.90367534201328	232	377	148	141	0.637931034482759	0.374005305039788	4.09159738328567e-10	2.8594998405725e-10	1.43782161602735e-11	1.9710504673022e-19	1.01990911402515e-16
CCNL1	1.96313203536122	3.85094948575802	1.88781745039679	232	377	85	234	0.366379310344828	0.620689655172414	1.75765114432271e-09	1.43062073073783e-09	3.11645728486014e-12	2.1337998650897e-19	1.07428172667273e-16
NPHS1	0.390832827503977	0.874710590679868	0.48387776317589	232	377	110	265	0.474137931034483	0.702917771883289	2.8431753906217e-08	2.19071109230699e-08	2.10217811929553e-13	2.202564050482e-19	1.07972008243102e-16
AKR1C1	2.40737019874358	1.2709701631495	-1.13640003559408	232	377	133	124	0.573275862068966	0.328912466843501	5.06355894845087e-09	4.50261748831008e-09	2.67375500252014e-12	5.64216637634308e-19	2.69493013483382e-16
TSC22D1	6.48065815882175	4.27663990353494	-2.20401825528681	232	377	202	252	0.870689655172414	0.668435013262599	4.53242420190287e-08	1.17235095551087e-08	1.45035562907287e-12	7.9100656214338e-19	3.62645406170018e-16
TMEM60	1.65020148317305	0.481779781078298	-1.16842170209475	232	377	65	34	0.280172413793103	0.0901856763925729	1.38033060895094e-09	1.72252169558626e-09	9.96261354921198e-12	7.98178100331262e-19	3.62645406170018e-16
POP4	1.73365304893959	0.550520979296957	-1.18313206964263	232	377	70	42	0.301724137931034	0.111405835543767	7.48730538942722e-09	7.21886230202545e-09	2.61539626320344e-12	8.76345974211057e-19	3.88680304942942e-16
AKR1C2	1.81760631196427	0.991348220113432	-0.826258091850841	232	377	133	125	0.573275862068966	0.331564986737401	7.57265832633612e-09	5.12906656222011e-09	4.15507873420583e-12	9.86624692216458e-19	4.20489413329673e-16
KIAA0754	0.232996679738982	0.609105482701819	0.376108802962837	232	377	60	181	0.258620689655172	0.480106100795756	9.1606355192848e-08	4.36467696844112e-08	4.91607859107845e-13	9.93210982741335e-19	4.20489413329673e-16
PSMD10	3.70068242582136	1.84830397032077	-1.85237845550059	232	377	148	159	0.637931034482759	0.421750663129974	3.42917359672257e-07	2.18866627626153e-07	1.09227844892145e-13	1.10399775661122e-18	4.54545430559695e-16
VPS28	3.73520653709809	1.68657016484062	-2.04863637225747	232	377	122	116	0.525862068965517	0.307692307692308	1.34224490283976e-07	1.04510282106325e-07	2.32655865759384e-13	1.12245489616416e-18	4.54545430559695e-16
SNHG15	1.41537248508317	3.12793111001653	1.71255862493336	232	377	56	200	0.241379310344828	0.530503978779841	4.06521463497036e-12	1.45866416369051e-12	1.81604076551745e-08	1.22059060355191e-18	4.83769399212021e-16
ZMYM6NB	3.36024576446545	1.68252674833314	-1.67771901613231	232	377	128	117	0.551724137931034	0.310344827586207	6.09724259881645e-09	5.79411747887458e-09	6.02942862813122e-12	1.6000606274734e-18	6.20956861845301e-16
PARP14	3.24238511919585	1.54059629634432	-1.70178882285153	232	377	154	171	0.663793103448276	0.453580901856764	6.82639485004783e-07	4.77889233321841e-07	1.10435258226511e-13	2.3954012975955e-18	9.10643579012429e-16
CALM2	10.5219556143034	8.49352326088255	-2.02843235342086	232	377	230	350	0.991379310344828	0.928381962864722	0.000810399660536967	0.000249085710194393	2.33505280340648e-16	2.63425502436398e-18	9.81418051877043e-16
AKR1C4	2.34348649332775	1.24287199315131	-1.10061450017644	232	377	130	125	0.560344827586207	0.331564986737401	4.42975577992301e-08	3.40807854922772e-08	4.17863430995725e-12	6.32242353457337e-18	2.30929618827515e-15
SPINK2	9.77335015091937	7.50374468429532	-2.26960546662405	232	377	231	357	0.995689655172414	0.946949602122016	0.00295355875309214	0.000851116385245655	2.01019065553067e-16	7.564274523674e-18	2.68066527362114e-15
PYCARD	5.96133336442165	4.08908650001555	-1.8722468644061	232	377	214	275	0.922413793103448	0.729442970822281	1.13614549507259e-08	1.27854207145717e-09	1.34951928258004e-10	7.62697334667813e-18	2.68066527362114e-15
MFAP1	1.30258648915926	0.51684120870601	-0.785745280453246	232	377	61	41	0.262931034482759	0.108753315649867	1.32214801901371e-06	1.21252109565565e-06	1.66894939029193e-13	8.9129485729168e-18	3.07463714844989e-15
HERC2P7	0.624019200074763	2.04101732863284	1.41699812855807	232	377	66	184	0.28448275862069	0.488063660477454	1.08948352387337e-06	7.79453928591615e-07	2.84970995718607e-13	9.76248717159814e-18	3.30646565513691e-15
SIK1	0.533466742203525	0.047059801003492	-0.486406941200033	232	377	31	8	0.133620689655172	0.0212201591511936	9.73507932338261e-08	6.47529004767826e-08	4.58423604446509e-12	1.29604691284169e-17	4.29802913308424e-15
HSBP1	5.50751492964444	3.71622520887167	-1.79128972077277	232	377	192	221	0.827586206896552	0.586206896551724	1.04394266135496e-09	2.8496465990964e-10	1.0574053354426e-09	1.31515815216771e-17	4.29802913308424e-15
GALNT7	1.59444989438711	0.588931371109415	-1.0055185232777	232	377	70	49	0.301724137931034	0.129973474801061	3.66142360523612e-07	3.42677976993396e-07	9.34146660688324e-13	1.39522569067531e-17	4.4810800286034e-15
RPA2	4.00527752556341	2.31288155435343	-1.69239597120999	232	377	156	166	0.672413793103448	0.440318302387268	4.05254158669105e-08	2.95262037903696e-08	1.24422908823357e-11	1.59616149299121e-17	5.03954174431192e-15
HOPX	5.53543632008546	3.48086037686133	-2.05457594322413	232	377	187	214	0.806034482758621	0.56763925729443	2.91231454707009e-09	9.67121050579759e-10	4.19665843382087e-10	1.75936572533436e-17	5.46224412192139e-15
SCHIP1	1.82807482410952	0.691186889946639	-1.13688793416289	232	377	72	52	0.310344827586207	0.137931034482759	4.9684430452098e-07	5.03361363083402e-07	8.58650852634988e-13	1.87084424351126e-17	5.71312894559472e-15
NDST3	0.150037574594878	0.493301511829618	0.34326393723474	232	377	55	170	0.237068965517241	0.450928381962865	1.75513911409907e-07	1.13362706285705e-07	4.69516571105884e-12	2.2928107232647e-17	6.78422797536851e-15
FLT3	2.51654579043052	1.19320282962513	-1.32334296080539	232	377	102	85	0.439655172413793	0.225464190981432	4.39184723533551e-08	4.54851821938657e-08	1.17102192453994e-11	2.29442968889959e-17	6.78422797536851e-15
PYGL	2.07912450945333	0.964229425829201	-1.11489508362413	232	377	90	72	0.387931034482759	0.190981432360743	1.54489484684451e-07	1.63306744481147e-07	4.30239966010414e-12	3.00713830069934e-17	8.75265191647301e-15
SLC35A1	2.0055144226267	0.855475840098722	-1.15003858252798	232	377	79	56	0.34051724137931	0.148541114058355	5.37791424011976e-08	7.03017615588207e-08	1.2457481442303e-11	3.72901074478206e-17	1.06823926917326e-14
PDCD6	5.58081096712816	3.55034456009007	-2.03046640703809	232	377	202	256	0.870689655172414	0.679045092838196	1.77003700845465e-07	4.98373160553095e-08	1.78422507209784e-11	3.78482884718892e-17	1.06823926917326e-14
SNAPIN	2.62713845890797	1.50899938851304	-1.11813907039493	232	377	120	105	0.517241379310345	0.278514588859416	5.18871520266183e-09	5.44560687477567e-09	1.72004003442245e-10	3.98195153272334e-17	1.10710139032195e-14
RTN3	3.77406988894171	2.17408025033969	-1.59998963860202	232	377	130	119	0.560344827586207	0.315649867374005	4.10376421797068e-09	3.78862329172342e-09	2.51122135212298e-10	4.04313271946711e-17	1.10758053379755e-14
ANKRD28	1.65572262676224	2.92851465616776	1.27279202940552	232	377	87	242	0.375	0.641909814323607	2.38189369435761e-10	1.55763127960189e-10	8.09411999185278e-09	5.32229771696692e-17	1.43686611408203e-14
TMEM179B	2.80883952152576	1.55228345553708	-1.25655606598868	232	377	110	95	0.474137931034483	0.251989389920424	2.93148413849059e-08	2.35301558717526e-08	7.70892742133592e-11	7.59145488374294e-17	2.02019459391948e-14
MRPL16	6.75753696348336	4.6045007227445	-2.15303624073886	232	377	217	298	0.935344827586207	0.790450928381963	2.72188396324698e-06	8.09324652959176e-07	2.43593987760646e-12	8.23437153847432e-17	2.16042074674225e-14
SDPR	2.4524282632856	1.01087388494662	-1.44155437833898	232	377	91	80	0.392241379310345	0.212201591511936	2.49627281120391e-06	2.06292341554606e-06	1.01763717434083e-12	8.75514623036989e-17	2.26515088860181e-14
CRBN	4.41715534787494	2.62051635222638	-1.79663899564857	232	377	167	183	0.719827586206897	0.485411140583554	2.16898412189672e-08	1.30576408952361e-08	1.83704389585766e-10	9.97196725821576e-17	2.54462748063073e-14
SLC6A4	0.582554261117343	1.09615850760348	0.513604246486136	232	377	151	313	0.650862068965517	0.830238726790451	7.45218943400152e-07	7.81094185859201e-07	3.48140196057869e-12	1.12704649683132e-16	2.83711110040187e-14
CD200	1.70313304871462	0.636019640180211	-1.06711340853441	232	377	67	46	0.288793103448276	0.122015915119363	4.80206120363699e-07	5.6352934401685e-07	6.23540548852351e-12	1.4473420233953e-16	3.59481162824101e-14
C21orf59	2.89573672799584	1.43551885549603	-1.46021787249981	232	377	103	93	0.443965517241379	0.246684350132626	6.6491865705342e-07	5.35051311032193e-07	1.00282293964426e-11	2.18737545720429e-16	5.36137237063178e-14
PRDX1	8.21028299761735	6.30855302370645	-1.9017299739109	232	377	229	333	0.987068965517241	0.883289124668435	6.66800618689973e-06	4.52784766646491e-07	1.31316716658081e-11	2.41779927643356e-16	5.84919024953304e-14
TXNIP	3.77163736284443	1.99961453248865	-1.77202283035578	232	377	130	126	0.560344827586207	0.3342175066313	6.46512534880995e-08	5.46674396742773e-08	1.21085078394509e-10	2.68460318211461e-16	6.41138308672193e-14
UCHL1	1.41634231312884	0.424557914504082	-0.991784398624756	232	377	71	52	0.306034482758621	0.137931034482759	8.92089946771066e-07	8.37720041643757e-07	8.08139743851818e-12	2.74413354974407e-16	6.47059743856109e-14
DAG1	0.223413102019238	0.57689424280061	0.353481140781372	232	377	67	187	0.288793103448276	0.496021220159151	7.34451636292879e-07	5.3165285268581e-07	1.42038435635237e-11	3.05268317324399e-16	7.10817276889863e-14
FMN1	0.18368564137489	0.534100929956751	0.350415288581862	232	377	83	208	0.357758620689655	0.551724137931034	4.87583294983118e-06	4.04214855517433e-06	2.44918852907315e-12	3.97523938084063e-16	9.14206903534559e-14
WWC1	0.0432067588413773	0.276727281503078	0.233520522661701	232	377	24	107	0.103448275862069	0.283819628647215	2.48094764106452e-07	5.67804168940144e-08	1.91251940332322e-10	4.3504248881114e-16	9.8828920506999e-14
LOC100130331	1.17775306109816	0.569318229329777	-0.608434831768387	232	377	138	159	0.594827586206897	0.421750663129974	4.77986786629043e-05	4.13755632965642e-05	3.02497738548048e-13	4.99633318135678e-16	1.12134571689535e-13
RARRES3	2.59481811029886	1.33253403171187	-1.262284078587	232	377	105	92	0.452586206896552	0.244031830238727	1.4922368384424e-07	1.26102360739393e-07	1.1570492694532e-10	5.80214547271476e-16	1.28669483173489e-13
JKAMP	2.62472930530722	1.35701928249644	-1.26771002281078	232	377	101	87	0.435344827586207	0.230769230769231	1.82056892599736e-07	2.16346029196727e-07	8.87074601132108e-11	7.57912210155414e-16	1.66098690009118e-13
ARPC5	5.3004842105016	3.57643281011667	-1.72405140038493	232	377	186	208	0.801724137931034	0.551724137931034	6.34281995001406e-10	2.28682098599849e-10	1.17366975624354e-07	1.05095372985546e-15	2.27641466043577e-13
HIST1H4C	5.55128916239715	3.67149373963687	-1.87979542276029	232	377	190	227	0.818965517241379	0.602122015915119	3.72782236247348e-08	1.27306549952669e-08	2.15547662610427e-09	1.0738754968478e-15	2.29932790290584e-13
CTR9	1.68265667011472	0.682780779285118	-0.999875890829605	232	377	77	57	0.331896551724138	0.151193633952255	2.94817167368749e-07	3.55090569304852e-07	7.8251067420233e-11	1.08705211205519e-15	2.30109167538228e-13
C7orf73	5.37328545831891	3.53239922728956	-1.84088623102935	232	377	199	258	0.857758620689655	0.684350132625995	2.53242156443751e-06	1.18386344396928e-06	2.65419890809331e-11	1.22543075577172e-15	2.56486787848491e-13
KIT	2.30968288403999	1.11423492923461	-1.19544795480538	232	377	99	91	0.426724137931034	0.241379310344828	2.54876590503274e-06	2.5117456514803e-06	1.3147270381831e-11	1.28620842855318e-15	2.66216562300985e-13
RAB11FIP1	0.284303469062984	0.63764633705165	0.353342867988666	232	377	44	149	0.189655172413793	0.395225464190981	1.93750938805488e-07	9.9073541632156e-08	3.68134098818913e-10	1.41694992803944e-15	2.90054321533172e-13
SGSM1	0.495550949046282	0.912122103841645	0.416571154795363	232	377	137	295	0.59051724137931	0.782493368700265	6.52443447467323e-07	6.05243097010037e-07	1.01551532409336e-10	2.35577337000163e-15	4.76992894960765e-13
NWD1	0.296723295998193	0.815316353625917	0.518593057627724	232	377	106	240	0.456896551724138	0.636604774535809	2.01134050846801e-05	1.67155299020258e-05	3.84375848263651e-12	2.4597480793256e-15	4.92690185179325e-13
CD47	5.15828784497211	3.53993790136891	-1.6183499436032	232	377	199	248	0.857758620689655	0.657824933687003	9.92676316990552e-08	3.28358612641123e-08	2.16916202405467e-09	2.71946794497366e-15	5.38917541265631e-13
TXNDC12	3.4189055119287	1.89904440840808	-1.51986110352061	232	377	130	129	0.560344827586207	0.342175066312997	1.94911201639019e-07	1.51666583659858e-07	5.33168778098923e-10	3.07717530279643e-15	6.03385489899915e-13
