NAME	ES	NES	NOM_p-val	FDR_q-val	Enriched_In
HALLMARK_KRAS_SIGNALING_DN	0.3146456	1.4174109	0.00862069	0.42183545	BCR_ABL-
HALLMARK_APOPTOSIS	0.31116095	1.4038968	0.011286682	0.23275518	BCR_ABL-
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.31494677	1.3064547	0.07656612	0.3202253	BCR_ABL-
HALLMARK_INFLAMMATORY_RESPONSE	0.2935314	1.2716993	0.05373832	0.30793867	BCR_ABL-
HALLMARK_P53_PATHWAY	0.2699581	1.263961	0.04645477	0.2628159	BCR_ABL-
HALLMARK_UV_RESPONSE_UP	0.27574807	1.2334915	0.08993576	0.2716035	BCR_ABL-
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.30111644	1.2240722	0.13636364	0.24816452	BCR_ABL-
HALLMARK_HEME_METABOLISM	0.24628976	1.121751	0.21967964	0.4219727	BCR_ABL-
HALLMARK_HYPOXIA	0.23762146	1.0912013	0.23636363	0.4487708	BCR_ABL-
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.23384729	1.066422	0.29411766	0.4675954	BCR_ABL-
HALLMARK_ALLOGRAFT_REJECTION	0.23162022	1.029797	0.36222222	0.5203376	BCR_ABL-
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.21481526	0.98634166	0.4579832	0.60121524	BCR_ABL-
HALLMARK_UV_RESPONSE_DN	0.21654321	0.9644079	0.53642386	0.615484	BCR_ABL-
HALLMARK_APICAL_JUNCTION	0.2082445	0.9451404	0.6048035	0.62637436	BCR_ABL-
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.24047567	0.8343936	0.77312773	0.87459594	BCR_ABL-
HALLMARK_MYOGENESIS	0.1887267	0.82764953	0.92633927	0.83419883	BCR_ABL-
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.6633923	-2.818803	0	0	BCR_ABL+
HALLMARK_MYC_TARGETS_V1	-0.6187836	-2.5818317	0	0	BCR_ABL+
HALLMARK_E2F_TARGETS	-0.62791157	-2.415955	0	0	BCR_ABL+
HALLMARK_MYC_TARGETS_V2	-0.61693156	-2.304006	0	0	BCR_ABL+
HALLMARK_MTORC1_SIGNALING	-0.4811613	-2.1974897	0	0	BCR_ABL+
HALLMARK_G2M_CHECKPOINT	-0.4921337	-2.0383372	0	0	BCR_ABL+
HALLMARK_FATTY_ACID_METABOLISM	-0.42675665	-1.9033676	0	1.25E-04	BCR_ABL+
HALLMARK_ADIPOGENESIS	-0.3989153	-1.8859338	0	3.67E-04	BCR_ABL+
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-0.42662996	-1.620274	0.013916501	0.013315553	BCR_ABL+
HALLMARK_GLYCOLYSIS	-0.34901085	-1.5847329	0	0.018480418	BCR_ABL+
HALLMARK_DNA_REPAIR	-0.32920092	-1.467546	0.011881189	0.048311558	BCR_ABL+
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.3228169	-1.4581438	0.013833992	0.04836331	BCR_ABL+
HALLMARK_SPERMATOGENESIS	-0.3256383	-1.4028404	0.021857923	0.07067	BCR_ABL+
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.30429074	-1.3476745	0.016885553	0.10484783	BCR_ABL+
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.33059168	-1.3314922	0.06949807	0.10944985	BCR_ABL+
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.29137793	-1.2956749	0.02793296	0.13715991	BCR_ABL+
HALLMARK_XENOBIOTIC_METABOLISM	-0.2922133	-1.2933774	0.033333335	0.1312556	BCR_ABL+
HALLMARK_ANDROGEN_RESPONSE	-0.28911906	-1.283612	0.0625	0.13407865	BCR_ABL+
HALLMARK_TGF_BETA_SIGNALING	-0.32629588	-1.2366394	0.15	0.17917457	BCR_ABL+
HALLMARK_PEROXISOME	-0.28214943	-1.2208532	0.11359026	0.19157653	BCR_ABL+
HALLMARK_HEDGEHOG_SIGNALING	-0.35897738	-1.1957647	0.2	0.21662843	BCR_ABL+
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.27258095	-1.1818076	0.17008197	0.22439499	BCR_ABL+
HALLMARK_IL2_STAT5_SIGNALING	-0.2416431	-1.1023399	0.23508137	0.3584093	BCR_ABL+
HALLMARK_NOTCH_SIGNALING	-0.33820033	-1.0707251	0.33870968	0.4126415	BCR_ABL+
HALLMARK_PANCREAS_BETA_CELLS	-0.28585184	-1.0167094	0.40939596	0.53096247	BCR_ABL+
HALLMARK_BILE_ACID_METABOLISM	-0.24456719	-1.0010253	0.43421054	0.5546078	BCR_ABL+
HALLMARK_KRAS_SIGNALING_UP	-0.22441551	-0.9858883	0.49632353	0.5731053	BCR_ABL+
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.2504745	-0.9834257	0.4588015	0.55908155	BCR_ABL+
HALLMARK_MITOTIC_SPINDLE	-0.21336666	-0.9782548	0.4559387	0.5524411	BCR_ABL+
HALLMARK_ANGIOGENESIS	-0.31533784	-0.9652164	0.53636366	0.5670815	BCR_ABL+
HALLMARK_COAGULATION	-0.21465392	-0.88507414	0.7470588	0.767181	BCR_ABL+
HALLMARK_PROTEIN_SECRETION	-0.19071023	-0.8318967	0.8145161	0.877446	BCR_ABL+
HALLMARK_COMPLEMENT	-0.18615192	-0.80465585	0.9618875	0.9033555	BCR_ABL+
HALLMARK_APICAL_SURFACE	-0.21460122	-0.770973	0.8309859	0.9241814	BCR_ABL+
