NAME	ES	NES	NOM_p-val	FDR_q-val	Enriched_In
HALLMARK_PANCREAS_BETA_CELLS	-0.41010433	-1.3634093	0.09471366	1	CML
HALLMARK_MYC_TARGETS_V1	-0.37138307	-1.2645841	0.20916335	1	CML
HALLMARK_IL2_STAT5_SIGNALING	-0.311237	-1.227613	0.11497731	1	CML
HALLMARK_TGF_BETA_SIGNALING	-0.37004116	-1.1958679	0.20938024	0.924192	CML
HALLMARK_MITOTIC_SPINDLE	-0.30140027	-1.1195376	0.2829861	1	CML
HALLMARK_KRAS_SIGNALING_DN	-0.2690488	-1.1052058	0.22735347	1	CML
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.36166573	-1.103922	0.3429878	0.87542635	CML
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.3002507	-1.0674064	0.34859675	0.91091794	CML
HALLMARK_INFLAMMATORY_RESPONSE	-0.2815024	-1.046804	0.38345864	0.88644385	CML
HALLMARK_G2M_CHECKPOINT	-0.29824477	-0.99715585	0.4642857	0.9803502	CML
HALLMARK_MYC_TARGETS_V2	-0.3207915	-0.99453896	0.46981132	0.8991687	CML
HALLMARK_MTORC1_SIGNALING	-0.26813743	-0.99149454	0.43888888	0.83516103	CML
HALLMARK_UV_RESPONSE_DN	-0.25685117	-0.95255756	0.54858935	0.89260453	CML
HALLMARK_MYOGENESIS	-0.2402972	-0.93680143	0.5888	0.87683225	CML
HALLMARK_ANDROGEN_RESPONSE	-0.23049034	-0.9122441	0.63973063	0.8852215	CML
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.21072242	-0.86362153	0.774448	0.97043735	CML
HALLMARK_COAGULATION	-0.22815266	-0.86111677	0.6761566	0.9204511	CML
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.22909924	-0.850042	0.7903226	0.89844203	CML
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.2157456	-0.8447624	0.7631579	0.8659437	CML
HALLMARK_HEDGEHOG_SIGNALING	-0.25787923	-0.80512404	0.8238994	0.9153262	CML
HALLMARK_E2F_TARGETS	-0.24129242	-0.7643969	0.6965265	0.95195115	CML
HALLMARK_UV_RESPONSE_UP	-0.20450173	-0.76183724	0.8402778	0.91424304	CML
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.20672853	-0.6818882	0.79651165	0.9801933	CML
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.19712722	-0.6184633	0.9836066	0.9773498	CML
HALLMARK_APICAL_SURFACE	0.46825975	1.5442024	0.019337017	0.39033404	normal_hsc
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.34642276	1.2642775	0.13959391	1	normal_hsc
HALLMARK_PEROXISOME	0.33697045	1.2568717	0.12761506	0.87953925	normal_hsc
HALLMARK_KRAS_SIGNALING_UP	0.29051927	1.2339971	0.09489051	0.74801195	normal_hsc
HALLMARK_BILE_ACID_METABOLISM	0.29115453	1.2141869	0.116113745	0.6693634	normal_hsc
HALLMARK_GLYCOLYSIS	0.29951063	1.209029	0.15880893	0.5736575	normal_hsc
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3272028	1.208345	0.1970803	0.4938048	normal_hsc
HALLMARK_XENOBIOTIC_METABOLISM	0.2965206	1.1912125	0.18246445	0.4716146	normal_hsc
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.2790853	1.1346874	0.23244552	0.565879	normal_hsc
HALLMARK_PROTEIN_SECRETION	0.29558146	1.086216	0.3197556	0.64180285	normal_hsc
HALLMARK_DNA_REPAIR	0.2892324	1.0725067	0.3673036	0.62332636	normal_hsc
HALLMARK_ADIPOGENESIS	0.23237503	0.98764247	0.46566522	0.843798	normal_hsc
HALLMARK_APICAL_JUNCTION	0.25114524	0.98619586	0.44549763	0.7839927	normal_hsc
HALLMARK_ANGIOGENESIS	0.31076625	0.9828317	0.46697038	0.7391051	normal_hsc
HALLMARK_ALLOGRAFT_REJECTION	0.2396062	0.97641146	0.48404256	0.71191007	normal_hsc
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.23249973	0.95527226	0.5529716	0.7328987	normal_hsc
HALLMARK_P53_PATHWAY	0.22176667	0.9157367	0.61994606	0.8040722	normal_hsc
HALLMARK_COMPLEMENT	0.21421008	0.9008501	0.6760563	0.80290276	normal_hsc
HALLMARK_NOTCH_SIGNALING	0.2636597	0.85447514	0.7029412	0.89812595	normal_hsc
HALLMARK_APOPTOSIS	0.20775487	0.8474748	0.7665706	0.8731393	normal_hsc
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.19176747	0.84577423	0.9010989	0.83565056	normal_hsc
HALLMARK_SPERMATOGENESIS	0.20488255	0.82798827	0.7922078	0.8404898	normal_hsc
HALLMARK_HYPOXIA	0.1993672	0.8196709	0.80104715	0.82260615	normal_hsc
HALLMARK_FATTY_ACID_METABOLISM	0.2138578	0.80167025	0.7511013	0.826781	normal_hsc
HALLMARK_HEME_METABOLISM	0.18878046	0.66973555	0.9787234	0.97433233	normal_hsc
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.17959929	0.6661741	0.93424034	0.9393457	normal_hsc
