NAME	ES	NES	NOM_p-val	FDR_q-val	Enriched_In
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.38637596	1.5591358	0.004415011	0.06779823	normal_hsc
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.30166614	1.3015003	0.032941177	0.26904133	normal_hsc
HALLMARK_APICAL_SURFACE	0.3814905	1.2926774	0.08533333	0.19276088	normal_hsc
HALLMARK_KRAS_SIGNALING_UP	0.27632204	1.188605	0.059748426	0.30663496	normal_hsc
HALLMARK_PROTEIN_SECRETION	0.28256926	1.1486198	0.18924731	0.3301299	normal_hsc
HALLMARK_DNA_REPAIR	0.25526583	1.0583117	0.34854773	0.4979051	normal_hsc
HALLMARK_XENOBIOTIC_METABOLISM	0.24502136	1.05443	0.31593406	0.43751246	normal_hsc
HALLMARK_ADIPOGENESIS	0.22990379	1.0275772	0.35874438	0.45152566	normal_hsc
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.2817432	1.0228897	0.40798226	0.41117576	normal_hsc
HALLMARK_HEME_METABOLISM	0.2525852	0.8238248	0.8240741	0.86489594	normal_hsc
HALLMARK_MYC_TARGETS_V1	-0.4759593	-1.9178987	0	0.001428572	BCR_ABL+
HALLMARK_G2M_CHECKPOINT	-0.4803259	-1.8250859	0	0.00411888	BCR_ABL+
HALLMARK_MITOTIC_SPINDLE	-0.43710342	-1.7994852	0	0.003532245	BCR_ABL+
HALLMARK_MTORC1_SIGNALING	-0.41941333	-1.7645136	0	0.004368314	BCR_ABL+
HALLMARK_E2F_TARGETS	-0.48901954	-1.7298005	0.003976143	0.007078655	BCR_ABL+
HALLMARK_MYC_TARGETS_V2	-0.4784725	-1.6507477	0.011235955	0.013423968	BCR_ABL+
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.44809	-1.6085689	0.001531394	0.01715429	BCR_ABL+
HALLMARK_TGF_BETA_SIGNALING	-0.46980205	-1.5936445	0.009917355	0.018689567	BCR_ABL+
HALLMARK_IL2_STAT5_SIGNALING	-0.3598917	-1.4746933	0.006069803	0.05022675	BCR_ABL+
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.35641494	-1.4679908	0.026476579	0.048293125	BCR_ABL+
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.39395007	-1.4317931	0.01674277	0.060552027	BCR_ABL+
HALLMARK_PANCREAS_BETA_CELLS	-0.46059352	-1.4305797	0.05964912	0.056046445	BCR_ABL+
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.34426302	-1.4029621	0.01576182	0.06511555	BCR_ABL+
HALLMARK_APOPTOSIS	-0.3499801	-1.3960329	0.013803681	0.06528688	BCR_ABL+
HALLMARK_UV_RESPONSE_DN	-0.3490484	-1.3749043	0.014263075	0.07454006	BCR_ABL+
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.32354355	-1.3520805	0.01529052	0.0867461	BCR_ABL+
HALLMARK_ANDROGEN_RESPONSE	-0.32820296	-1.3459013	0.031307552	0.08606523	BCR_ABL+
HALLMARK_INFLAMMATORY_RESPONSE	-0.3460249	-1.3238161	0.032159265	0.09863595	BCR_ABL+
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.3430502	-1.3055512	0.06818182	0.10930074	BCR_ABL+
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.32073176	-1.2661852	0.059914406	0.14711052	BCR_ABL+
HALLMARK_MYOGENESIS	-0.3037	-1.2053267	0.09356725	0.22802643	BCR_ABL+
HALLMARK_SPERMATOGENESIS	-0.3172611	-1.1966918	0.11923689	0.23182952	BCR_ABL+
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.28277287	-1.1500882	0.18681319	0.31004804	BCR_ABL+
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.27583852	-1.1436732	0.16232772	0.30968994	BCR_ABL+
HALLMARK_HYPOXIA	-0.2763019	-1.1014159	0.24887556	0.39182872	BCR_ABL+
HALLMARK_COAGULATION	-0.27972502	-1.0631096	0.33009708	0.47534737	BCR_ABL+
HALLMARK_ANGIOGENESIS	-0.33422455	-1.0607139	0.34862384	0.46419513	BCR_ABL+
HALLMARK_FATTY_ACID_METABOLISM	-0.24993877	-1.056934	0.32971016	0.45747823	BCR_ABL+
HALLMARK_UV_RESPONSE_UP	-0.25717768	-1.0551211	0.32409012	0.4456298	BCR_ABL+
HALLMARK_COMPLEMENT	-0.257729	-1.051023	0.33684212	0.43968773	BCR_ABL+
HALLMARK_P53_PATHWAY	-0.24704598	-1.0350901	0.34591195	0.46338946	BCR_ABL+
HALLMARK_PEROXISOME	-0.24703161	-0.98709047	0.45617172	0.5789661	BCR_ABL+
HALLMARK_ALLOGRAFT_REJECTION	-0.24617063	-0.98276937	0.5060423	0.57277095	BCR_ABL+
HALLMARK_KRAS_SIGNALING_DN	-0.24979459	-0.97006005	0.5443235	0.59109825	BCR_ABL+
HALLMARK_BILE_ACID_METABOLISM	-0.24408121	-0.94822735	0.56739813	0.63234	BCR_ABL+
HALLMARK_HEDGEHOG_SIGNALING	-0.29766205	-0.92762387	0.57653064	0.6722736	BCR_ABL+
HALLMARK_GLYCOLYSIS	-0.2205866	-0.90337384	0.71079135	0.71998537	BCR_ABL+
HALLMARK_APICAL_JUNCTION	-0.22059214	-0.8783915	0.78210676	0.76738346	BCR_ABL+
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.27452886	-0.86197686	0.72039473	0.7888483	BCR_ABL+
HALLMARK_NOTCH_SIGNALING	-0.2594042	-0.79264534	0.8218954	0.9052432	BCR_ABL+
