NAME	ES	NES	NOM_p-val	FDR_q-val	Enriched_In
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.553111	2.2565918	0	0	normal_hsc
HALLMARK_FATTY_ACID_METABOLISM	0.38858274	1.7023975	0.002150538	0.02131684	normal_hsc
HALLMARK_DNA_REPAIR	0.36914685	1.6104605	0.004555809	0.029042011	normal_hsc
HALLMARK_MYC_TARGETS_V1	0.38426575	1.5386443	0.026717557	0.039260488	normal_hsc
HALLMARK_ADIPOGENESIS	0.32667416	1.5201417	0	0.037128773	normal_hsc
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.40906584	1.5046737	0.028138528	0.037706573	normal_hsc
HALLMARK_APICAL_SURFACE	0.40321895	1.422643	0.023809524	0.06167336	normal_hsc
HALLMARK_XENOBIOTIC_METABOLISM	0.32043406	1.407768	0.007633588	0.0610425	normal_hsc
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.34953755	1.3652092	0.05073996	0.07488163	normal_hsc
HALLMARK_GLYCOLYSIS	0.30528995	1.3624979	0.010610079	0.06910709	normal_hsc
HALLMARK_E2F_TARGETS	0.33103138	1.2373244	0.19313304	0.16478975	normal_hsc
HALLMARK_PEROXISOME	0.28620407	1.2332262	0.10151188	0.15575844	normal_hsc
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.25712198	1.1299093	0.18202765	0.2897043	normal_hsc
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.2526921	1.0907353	0.26526317	0.34968537	normal_hsc
HALLMARK_PROTEIN_SECRETION	0.2500179	1.050376	0.34020618	0.41654184	normal_hsc
HALLMARK_KRAS_SIGNALING_UP	0.23826554	1.0352429	0.35322195	0.42650035	normal_hsc
HALLMARK_SPERMATOGENESIS	0.23473538	0.9851829	0.4526316	0.5329809	normal_hsc
HALLMARK_MYC_TARGETS_V2	0.24641594	0.8923213	0.6101695	0.776179	normal_hsc
HALLMARK_NOTCH_SIGNALING	0.23576877	0.802253	0.83375317	0.9415613	normal_hsc
HALLMARK_HEDGEHOG_SIGNALING	0.22513866	0.70557606	0.9737991	0.98021287	normal_hsc
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.48807034	-1.8905956	0	0.005714559	BCR_ABL-
HALLMARK_TGF_BETA_SIGNALING	-0.50313944	-1.8013136	0	0.005199132	BCR_ABL-
HALLMARK_INFLAMMATORY_RESPONSE	-0.40739408	-1.6530597	0.001666667	0.02156418	BCR_ABL-
HALLMARK_APOPTOSIS	-0.3892773	-1.6387185	0	0.018794391	BCR_ABL-
HALLMARK_MITOTIC_SPINDLE	-0.36646065	-1.549614	0	0.03285352	BCR_ABL-
HALLMARK_UV_RESPONSE_DN	-0.34805572	-1.4384738	0.007898894	0.08904006	BCR_ABL-
HALLMARK_KRAS_SIGNALING_DN	-0.33296388	-1.4222602	0.007079646	0.08731691	BCR_ABL-
HALLMARK_UV_RESPONSE_UP	-0.3234603	-1.3593001	0.023465704	0.1359597	BCR_ABL-
HALLMARK_P53_PATHWAY	-0.3118119	-1.3373195	0.021207178	0.14811508	BCR_ABL-
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.3640688	-1.3328872	0.05783866	0.13796648	BCR_ABL-
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.3129089	-1.3231456	0.020654045	0.13528757	BCR_ABL-
HALLMARK_IL2_STAT5_SIGNALING	-0.2814315	-1.2284234	0.0672	0.2644482	BCR_ABL-
HALLMARK_PANCREAS_BETA_CELLS	-0.35974213	-1.2045294	0.17460318	0.28706256	BCR_ABL-
HALLMARK_MYOGENESIS	-0.2849593	-1.1685888	0.11745514	0.34147072	BCR_ABL-
HALLMARK_HYPOXIA	-0.27658597	-1.1535934	0.16108453	0.35126868	BCR_ABL-
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.2574359	-1.0724456	0.31702545	0.54264265	BCR_ABL-
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.3138677	-1.0633337	0.32608697	0.5360381	BCR_ABL-
HALLMARK_MTORC1_SIGNALING	-0.24303842	-1.0623689	0.317029	0.5095255	BCR_ABL-
HALLMARK_COMPLEMENT	-0.2533795	-1.052193	0.3409836	0.51075923	BCR_ABL-
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.27371237	-1.0511614	0.3515901	0.48848203	BCR_ABL-
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.24382004	-1.0222591	0.38325283	0.54351026	BCR_ABL-
HALLMARK_ALLOGRAFT_REJECTION	-0.2431132	-0.9936824	0.46864685	0.59966224	BCR_ABL-
HALLMARK_BILE_ACID_METABOLISM	-0.23521507	-0.975219	0.5	0.6250539	BCR_ABL-
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.2269285	-0.9277138	0.65390503	0.74215	BCR_ABL-
HALLMARK_ANDROGEN_RESPONSE	-0.21335405	-0.8981795	0.69458985	0.8034002	BCR_ABL-
HALLMARK_G2M_CHECKPOINT	-0.23119041	-0.892861	0.6317757	0.787729	BCR_ABL-
HALLMARK_HEME_METABOLISM	-0.2503264	-0.88097453	0.7383628	0.7917095	BCR_ABL-
HALLMARK_COAGULATION	-0.21912983	-0.8772253	0.73989457	0.7737034	BCR_ABL-
HALLMARK_APICAL_JUNCTION	-0.20347522	-0.86153394	0.8308458	0.78598255	BCR_ABL-
HALLMARK_ANGIOGENESIS	-0.24300358	-0.74669915	0.91785717	0.95389116	BCR_ABL-
