	Dim1	Dim2
  -20.6325  -23.1525
    7.2816   38.3670
  -13.1098   25.8267
  -21.5934   33.5687
  -28.0214    7.9956
  -14.6301   36.3597
  -12.4456   26.9768
   -9.0726   22.1615
   -6.2134   34.0345
  -21.3453   35.9031
  -17.3505   35.0186
  -19.9501   39.1608
   -6.4868   32.1401
    5.8909   38.7151
   -2.9446  -19.5383
  -10.6507   -5.6430
   -5.5018    4.2987
  -11.0449  -16.3189
    1.2469  -14.5431
  -10.6099  -24.8284
   -4.2530    0.5979
  -13.3571  -12.2738
   -7.8954   -7.3459
  -11.5995  -27.4870
  -16.7033   -4.8798
  -15.3108   -2.1163
  -11.4174   -4.3978
  -13.9193   -5.7380
   -5.6270    5.1593
  -13.0765   -2.8345
   -7.2258    0.2070
  -17.1115  -16.6069
   18.2509    5.2905
   -7.4372    9.7157
  -13.9161   -1.1909
   -7.4429   -5.9668
  -11.6726   -0.5422
    0.4210    4.7140
    4.8576    6.1385
   -9.8943    1.5927
   -8.2201    9.7146
   -4.3635   14.1991
   -7.8118    6.7236
   17.2012    5.3839
  -13.0663    2.8741
  -11.5302   11.7684
    4.2984    5.2803
  -13.4038   -7.8574
  -14.8195    4.2830
   -9.1299    3.5553
   -7.6149  -28.0001
   -2.2641   13.1987
  -12.1568   32.2094
   -4.9721    7.2917
  -11.7899    3.9672
  -21.8505    0.4078
  -22.6519   12.6225
  -25.2190   -7.5955
   -4.2650   11.2959
  -13.5464   32.0899
   -8.5498   35.9994
  -26.2231  -11.8852
  -10.2672   35.5183
  -22.5408   35.9545
   -8.9298   39.7799
  -17.6859   33.5768
  -26.5897   28.4862
  -21.8877   38.2423
  -19.5097   35.7474
   -1.5388  -21.3808
   -7.0685  -31.6736
   -5.7808  -29.5007
  -14.3246   -8.6668
  -23.3896  -19.4882
  -25.8294  -16.2002
  -21.6783  -24.2775
   13.6383    6.4606
   -2.1021  -12.5491
  -17.8306   -9.9693
   -6.4624   -8.0742
   -3.1686  -11.3953
   -0.1510   -6.0460
  -18.5922  -11.5156
    7.3772  -14.3087
    0.3283   -9.9346
    2.4490   15.5578
  -16.7442   -8.2852
    6.2590   -1.1669
    1.5862   -7.7886
   -1.0966    1.2464
    1.9595  -10.9130
   -3.9663  -15.2036
   -2.2301   -8.9339
    4.1859   -0.3136
    3.3462   19.0111
  -19.2323  -10.5064
    2.7943   -1.7994
   34.2663  -17.4610
   -3.1569   -7.6124
    1.7802    0.9073
    0.3115   -0.8967
    2.8410   20.7472
    1.2838   18.2082
    2.4232   -3.9350
  -20.1284   18.4944
    0.9757   -2.8712
   -0.7292   13.7401
   -1.4687   18.5664
   -4.9650   -1.4210
    3.9877    3.7510
   -3.3005   19.9952
  -20.1655   28.5525
    0.0361   22.0619
   -6.0883   25.9973
    0.5371   25.1626
    1.5058   22.6382
  -30.5303   -6.6824
   -5.4836   40.1966
   -3.6400   30.9295
   -4.2532   38.7196
  -37.8529   -0.6623
   -7.8831   36.9854
  -24.4774   -2.9653
    4.8256  -13.6081
   -1.0148  -10.7300
   -1.3550   -3.5203
  -25.3957  -19.8474
  -24.6460  -18.6908
  -12.7559    8.1327
   28.2712    2.1575
   26.2996    1.4470
   28.1567    3.6280
  -16.0721   28.9581
    3.3789  -28.1227
   13.7797   10.8372
   12.8731   11.7232
   -9.3540  -11.8080
  -10.8584  -10.9222
   -8.4059   -2.6081
   -8.1204  -11.9973
  -20.3165   10.1905
  -10.9918  -12.9330
   -8.2218  -10.2726
   -8.1780  -13.7481
  -12.2194   18.7224
  -10.7822   -9.0119
    9.3920    3.2216
   14.2608    5.1275
  -19.1835   12.5933
    9.5945    2.6767
   -6.5018  -12.1145
  -15.7931   19.4789
    7.1475   34.6614
  -17.9425   12.1201
  -17.1398   13.3707
    7.5754   34.2492
  -15.7578   30.7558
  -24.3667   15.8693
  -24.8910   17.8638
  -23.4630   21.0843
  -25.3958   19.0766
   -9.4425   43.2648
   -9.9179   42.7637
  -15.0502   37.6139
  -12.6638  -23.2127
   -8.1415  -20.7635
   -2.3424  -14.5123
  -16.9629   17.2327
  -15.2387   17.8896
  -31.2460   -0.4665
  -30.2431   -3.3682
  -29.1105    6.6499
  -29.8837    2.2043
  -32.7864   -1.0591
  -34.0348    1.9443
    9.6433   -1.9801
   25.3065   -4.9029
   13.1311   19.1946
    3.6182   29.2289
   15.3059   13.7763
   18.6619   17.3759
  -30.4151  -20.3627
   18.3944   21.6708
   12.2867   18.2796
   19.2242   20.3674
   22.1140   22.1177
    5.2498   15.7092
   19.9455   18.1330
   20.7179   16.5934
   20.1815   15.2858
   23.8331   15.0509
   25.1587   14.2158
   17.4052  -14.7695
   22.9227  -24.0240
   17.0781  -13.3527
    0.2901  -23.9812
   30.7635  -13.3780
    8.5039  -10.7225
    8.7776  -15.3270
   17.2916  -32.1467
   22.9271  -29.4249
   28.1215  -27.1953
   14.6173  -12.2160
