NAME	ES	NES	NOM_p-val	FDR_q-val	Enriched_In
HALLMARK_E2F_TARGETS	0.4943743	1.6992257	0.015779093	0.016808692	Good
HALLMARK_G2M_CHECKPOINT	0.46028706	1.6793367	0.007874016	0.010318931	Good
HALLMARK_MYC_TARGETS_V1	0.44186556	1.6646769	0.008333334	0.009618534	Good
HALLMARK_MYC_TARGETS_V2	0.4894233	1.6208048	0.01934236	0.01116374	Good
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.39175278	1.3165673	0.10181818	0.14564818	Good
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.30110967	1.169877	0.1969112	0.37438336	Good
HALLMARK_ADIPOGENESIS	0.25615624	1.0787573	0.2728938	0.58561134	Good
HALLMARK_NOTCH_SIGNALING	0.34685788	1.061739	0.3530499	0.565628	Good
HALLMARK_ESTROGEN_RESPONSE_LATE	0.25081044	1.0491354	0.315331	0.53969276	Good
HALLMARK_IL2_STAT5_SIGNALING	0.25543433	1.0420284	0.3338898	0.5052994	Good
HALLMARK_MTORC1_SIGNALING	0.25424632	1.0214514	0.3844697	0.5171147	Good
HALLMARK_MITOTIC_SPINDLE	0.24978197	1.0024389	0.42857143	0.5224531	Good
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.27920383	0.9753784	0.47940075	0.5550976	Good
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.24764854	0.97389287	0.5130597	0.5187778	Good
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.23689787	0.8787296	0.7199282	0.73094475	Good
HALLMARK_BILE_ACID_METABOLISM	-0.40441853	-1.5666285	0	0.18700363	Poor
HALLMARK_PEROXISOME	-0.39040875	-1.5322002	0	0.13327104	Poor
HALLMARK_HEDGEHOG_SIGNALING	-0.49317202	-1.4945434	0.038288288	0.12536827	Poor
HALLMARK_APOPTOSIS	-0.34734705	-1.4590657	0.007425743	0.12359973	Poor
HALLMARK_APICAL_JUNCTION	-0.3531245	-1.4579852	0.004694836	0.09887978	Poor
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.33116743	-1.3888577	0.011627907	0.14863063	Poor
HALLMARK_XENOBIOTIC_METABOLISM	-0.3247491	-1.3635238	0.015981736	0.15748502	Poor
HALLMARK_MYOGENESIS	-0.3330889	-1.3302226	0.017902814	0.18003726	Poor
HALLMARK_PROTEIN_SECRETION	-0.33106261	-1.3044951	0.04526749	0.19948384	Poor
HALLMARK_ALLOGRAFT_REJECTION	-0.3023822	-1.277734	0.025943397	0.21930288	Poor
HALLMARK_INFLAMMATORY_RESPONSE	-0.3199018	-1.2698272	0.0450237	0.21097757	Poor
HALLMARK_UV_RESPONSE_DN	-0.31252438	-1.2604403	0.046296295	0.20548257	Poor
HALLMARK_ANDROGEN_RESPONSE	-0.31290716	-1.253431	0.087053575	0.20032302	Poor
HALLMARK_TGF_BETA_SIGNALING	-0.3497299	-1.2320045	0.11685393	0.21615714	Poor
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.3025508	-1.2092358	0.1123348	0.24109384	Poor
HALLMARK_DNA_REPAIR	-0.30179894	-1.207018	0.13404255	0.22898716	Poor
HALLMARK_COAGULATION	-0.31642142	-1.20637	0.10043668	0.21652396	Poor
HALLMARK_HYPOXIA	-0.2871516	-1.182996	0.09684685	0.24384327	Poor
HALLMARK_P53_PATHWAY	-0.27870148	-1.1716079	0.11002445	0.25174227	Poor
HALLMARK_COMPLEMENT	-0.25691193	-1.0818349	0.2159091	0.43869358	Poor
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.2885264	-1.0785521	0.28666666	0.42737	Poor
HALLMARK_FATTY_ACID_METABOLISM	-0.25888482	-1.0666343	0.32034633	0.4399779	Poor
HALLMARK_KRAS_SIGNALING_UP	-0.25577864	-1.0593661	0.25647667	0.4401161	Poor
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.26592025	-1.0554405	0.30140188	0.4323173	Poor
HALLMARK_UV_RESPONSE_UP	-0.26071337	-1.0544248	0.3083512	0.41716745	Poor
HALLMARK_SPERMATOGENESIS	-0.2546931	-1.0061957	0.4364035	0.5402346	Poor
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.24418734	-0.99736047	0.4527027	0.54642093	Poor
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.2615481	-0.98388857	0.48181817	0.5677527	Poor
HALLMARK_GLYCOLYSIS	-0.23287793	-0.9806369	0.48448688	0.55708605	Poor
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.24146906	-0.9571606	0.55902004	0.60939676	Poor
HALLMARK_KRAS_SIGNALING_DN	-0.23978204	-0.95694107	0.5714286	0.59061396	Poor
HALLMARK_APICAL_SURFACE	-0.28440437	-0.9500482	0.54390246	0.592544	Poor
HALLMARK_HEME_METABOLISM	-0.2166674	-0.86388546	0.8203884	0.83202153	Poor
HALLMARK_ANGIOGENESIS	-0.27338126	-0.8211745	0.8004158	0.9075133	Poor
HALLMARK_PANCREAS_BETA_CELLS	-0.26764646	-0.8182394	0.75941426	0.88642144	Poor
