NAME	ES	NES	NOM_p-val	FDR_q-val	Enriched_In
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.3905781	1.5875297	0.012320329	0.041083563	Good
HALLMARK_MYC_TARGETS_V1	0.38894823	1.5489302	0.024193548	0.036041927	Good
HALLMARK_G2M_CHECKPOINT	0.35874355	1.3520278	0.09270217	0.14128691	Good
HALLMARK_E2F_TARGETS	0.36287713	1.3057146	0.13752456	0.16057795	Good
HALLMARK_MITOTIC_SPINDLE	0.2969977	1.2293506	0.10363636	0.2332317	Good
HALLMARK_SPERMATOGENESIS	0.28247103	1.1654772	0.1773585	0.30829123	Good
HALLMARK_HEME_METABOLISM	0.27385658	1.1217604	0.22513089	0.35605273	Good
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.3115815	1.1194578	0.25414366	0.31621295	Good
HALLMARK_PANCREAS_BETA_CELLS	0.32515478	1.0823536	0.33398822	0.3575442	Good
HALLMARK_PEROXISOME	0.23116912	0.9678045	0.5483871	0.5974792	Good
HALLMARK_BILE_ACID_METABOLISM	0.23051716	0.90529484	0.6883803	0.71259713	Good
HALLMARK_MYC_TARGETS_V2	0.2478555	0.88513434	0.6440678	0.7049619	Good
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.4288809	-1.8440217	0	0.01846717	Poor
HALLMARK_COAGULATION	-0.45785823	-1.8386582	0	0.009912157	Poor
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.46569976	-1.8321209	0	0.0082343	Poor
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.45726138	-1.7340934	0.004301075	0.012003074	Poor
HALLMARK_IL2_STAT5_SIGNALING	-0.3917631	-1.7139802	0	0.010430221	Poor
HALLMARK_COMPLEMENT	-0.40876442	-1.6949868	0	0.010741795	Poor
HALLMARK_TGF_BETA_SIGNALING	-0.44202855	-1.6534489	0.002272727	0.014323532	Poor
HALLMARK_INFLAMMATORY_RESPONSE	-0.35767952	-1.4612476	0.004987531	0.06985326	Poor
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.33718532	-1.4166986	0.002475248	0.09270868	Poor
HALLMARK_APOPTOSIS	-0.32719928	-1.4108173	0.007334963	0.08708271	Poor
HALLMARK_PROTEIN_SECRETION	-0.33434424	-1.3768302	0.050314464	0.10549004	Poor
HALLMARK_HYPOXIA	-0.3204294	-1.3763026	0.00678733	0.09680136	Poor
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.3619721	-1.3727784	0.036939315	0.09163355	Poor
HALLMARK_UV_RESPONSE_UP	-0.30892217	-1.3206078	0.023454158	0.13072415	Poor
HALLMARK_FATTY_ACID_METABOLISM	-0.31165323	-1.3149942	0.052953158	0.12718046	Poor
HALLMARK_XENOBIOTIC_METABOLISM	-0.31147423	-1.3149002	0.014563107	0.11923168	Poor
HALLMARK_P53_PATHWAY	-0.298887	-1.3038071	0.014251782	0.12262164	Poor
HALLMARK_KRAS_SIGNALING_UP	-0.3057407	-1.3002759	0.02764977	0.11948601	Poor
HALLMARK_APICAL_JUNCTION	-0.29584432	-1.2684504	0.047945205	0.14587197	Poor
HALLMARK_UV_RESPONSE_DN	-0.29003266	-1.2573591	0.046116505	0.1488346	Poor
HALLMARK_ANGIOGENESIS	-0.42215037	-1.2523694	0.13317192	0.14717594	Poor
HALLMARK_ALLOGRAFT_REJECTION	-0.300545	-1.2437783	0.07263923	0.14953354	Poor
HALLMARK_DNA_REPAIR	-0.2837201	-1.2065966	0.13374485	0.18469675	Poor
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.2866428	-1.1893257	0.0900474	0.20076305	Poor
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.2714434	-1.1496798	0.1583514	0.25207755	Poor
HALLMARK_HEDGEHOG_SIGNALING	-0.36472258	-1.121349	0.25663716	0.2923983	Poor
HALLMARK_KRAS_SIGNALING_DN	-0.254161	-1.0761361	0.24942791	0.37307924	Poor
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.24863015	-1.0289142	0.38379532	0.47499275	Poor
HALLMARK_MYOGENESIS	-0.2339425	-0.9762392	0.52261305	0.6110404	Poor
HALLMARK_GLYCOLYSIS	-0.222408	-0.9710949	0.50797266	0.606495	Poor
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.25059924	-0.9653089	0.5470852	0.6056531	Poor
HALLMARK_APICAL_SURFACE	-0.2836584	-0.9591901	0.5365854	0.60487676	Poor
HALLMARK_NOTCH_SIGNALING	-0.28844616	-0.9350647	0.5681293	0.65875024	Poor
HALLMARK_MTORC1_SIGNALING	-0.21267924	-0.9055798	0.6369048	0.72655886	Poor
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.21169533	-0.9029327	0.7373272	0.71354336	Poor
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.26056236	-0.9027617	0.6345292	0.69432104	Poor
HALLMARK_ANDROGEN_RESPONSE	-0.21334375	-0.88885456	0.7180617	0.7152902	Poor
HALLMARK_ADIPOGENESIS	-0.19223857	-0.8467609	0.8800813	0.8057464	Poor
