gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
SELL	8.62625991720578	2.80411706829014	-5.82214284891564	232	122	227	78	0.978448275862069	0.639344262295082	6.78947207367508e-18	4.5553139300768e-18	5.53207799295553e-30	2.72912822239639e-45	4.53854023384519e-41
CD53	5.36944781399285	1.50751419209269	-3.86193362190016	232	122	205	51	0.883620689655172	0.418032786885246	4.3289076545683e-20	5.74874466766393e-20	5.54067804881271e-22	3.00196525439811e-39	2.49613410903203e-35
ARRDC3	7.31277388973853	2.98411483553074	-4.3286590542078	232	122	223	67	0.961206896551724	0.549180327868853	4.17968471744363e-21	4.11904691272931e-21	2.01367842216173e-18	7.35593985237101e-37	4.07764265816433e-33
PROM1	3.75393137813262	0.633452081764591	-3.12047929636803	232	122	139	16	0.599137931034483	0.131147540983607	8.64915564503925e-17	3.340526153281e-18	3.4849877202259e-17	9.21275653398893e-33	3.8302035290059e-29
C16orf54	6.98909564730509	2.94573218189581	-4.04336346540928	232	122	220	76	0.948275862068966	0.622950819672131	1.27591560797151e-14	1.88138167057636e-14	7.94563221291375e-18	1.07598374488347e-29	3.57872193548243e-26
ARPC5	5.16587562657284	2.04141745822752	-3.12445816834531	232	122	186	44	0.801724137931034	0.360655737704918	3.64062406150492e-16	2.58095532766157e-16	6.62134059903518e-14	1.14907473960367e-27	3.18485215326818e-24
ICAM3	4.93980915192942	2.06147376531781	-2.8783353866116	232	122	182	43	0.78448275862069	0.352459016393443	2.55953849479991e-15	1.62727518056588e-15	6.50938959623615e-14	6.92910885287368e-27	1.64615828890413e-23
FOS	8.82560829803776	4.26398625959911	-4.56162203843865	232	122	228	95	0.982758620689655	0.778688524590164	3.91008940745638e-10	3.33800580081131e-10	6.20874091731128e-19	1.34179976203235e-26	2.78926625532475e-23
CXCR4	3.38141322530317	0.451444092814585	-2.92996913248858	232	122	117	13	0.504310344827586	0.10655737704918	3.81184326550653e-13	1.14201213403434e-14	7.31438000799836e-14	5.29167464210945e-26	9.14542651025232e-23
SKIL	0.510598873644182	3.57037967884981	3.05978080520563	232	122	58	75	0.25	0.614754098360656	3.61597889745631e-11	2.52174033805235e-11	3.44456734311489e-17	5.49935448602064e-26	9.14542651025232e-23
CD52	7.57250594926142	3.52529927237109	-4.04720667689032	232	122	218	83	0.939655172413793	0.680327868852459	2.26258881892528e-10	3.11049011307854e-10	9.00300671643321e-18	1.74015508005903e-25	2.63079808921652e-22
PDCD6	5.33768163310064	1.68979514022879	-3.64788649287185	232	122	202	69	0.870689655172414	0.565573770491803	2.83158641351471e-10	4.03300839986751e-10	1.34934601706276e-17	3.34545885070581e-25	4.63624839060313e-22
TMBIM6	7.04699863023498	3.56354436255767	-3.48345426767731	232	122	218	73	0.939655172413793	0.598360655737705	4.77830966172485e-15	7.3421982037836e-15	2.9880814994701e-12	1.31813384009351e-24	1.68619736621193e-21
PPT1	6.21684835061874	2.83320251689449	-3.38364583372425	232	122	212	69	0.913793103448276	0.565573770491803	4.10040897184762e-14	8.080388810102e-14	3.36101175611454e-13	1.6259151499327e-24	1.9313549245272e-21
ATP6V0E1	4.97034061079985	1.92262478309394	-3.04771582770591	232	122	177	43	0.762931034482759	0.352459016393443	9.18744728504532e-14	5.60287276058639e-14	6.99691103866374e-13	2.33260786959736e-24	2.58608459142694e-21
HEMGN	3.83712767745416	1.28330175865354	-2.55382591880063	232	122	159	33	0.685344827586207	0.270491803278689	2.24107079210998e-13	1.00833429507236e-13	7.17021033299619e-13	4.25765481928555e-24	4.42524829817709e-21
MAT2B	4.45361689331154	1.56954389604882	-2.88407299726272	232	122	169	38	0.728448275862069	0.311475409836066	9.12920729345032e-14	5.04391956997105e-14	1.52456912659821e-12	4.52370541605595e-24	4.42524829817709e-21
MRPL16	6.56772507420589	2.7632478626355	-3.80447721157039	232	122	217	83	0.935344827586207	0.680327868852459	6.14616841583439e-10	1.17725159876127e-09	1.11531169537324e-16	7.65379484980138e-24	7.0712560195665e-21
FLT3	2.4356996756216	0.25941674836091	-2.17628292726069	232	122	102	9	0.439655172413793	0.0737704918032787	4.16825320071406e-12	9.14730266652638e-14	1.54629328300355e-12	8.23457899685081e-24	7.20742361671732e-21
ADAM28	3.81348945687396	1.37435503111638	-2.43913442575758	232	122	153	29	0.65948275862069	0.237704918032787	1.05368804504472e-13	2.45258918448602e-14	6.46881323443832e-12	9.21825127370898e-24	7.66497593408902e-21
SORL1	2.54219046508963	0.620937371396087	-1.92125309369355	232	122	118	14	0.508620689655172	0.114754098360656	7.64461176700442e-13	3.47015248703147e-14	5.72001954061541e-12	1.14886077877181e-23	9.09788321475012e-21
KIT	2.18139558524941	0.330804835274017	-1.8505907499754	232	122	99	8	0.426724137931034	0.0655737704918033	4.84151060807707e-12	5.54483206370399e-14	6.17298583422924e-12	1.96244348038524e-23	1.48342886721848e-20
GAS2	0.207650218851073	3.30207134893465	3.09442113008358	232	122	27	53	0.116379310344828	0.434426229508197	2.62681023726187e-11	3.51218694929285e-11	2.04249256423153e-14	4.0598516886265e-23	2.93544928616777e-20
PSMB9	4.95455712823442	1.83288029931586	-3.12167682891856	232	122	176	47	0.758620689655172	0.385245901639344	1.05325528000877e-11	8.17377091654589e-12	1.81533185625667e-13	8.28966869427011e-23	5.74404959940466e-20
ECH1	7.04910916908861	3.90597657841031	-3.1431325906783	232	122	228	87	0.982758620689655	0.713114754098361	5.39127019620086e-14	3.87117990550628e-14	4.48611836990334e-11	9.67493078465057e-23	6.4004719357871e-20
CAT	5.90868698133605	2.67770321810433	-3.23098376323172	232	122	196	58	0.844827586206897	0.475409836065574	5.47604790461925e-13	7.34558161305977e-13	2.44681366200665e-12	1.00067510721867e-22	6.4004719357871e-20
HMGB2	5.67531854286839	2.32356406137205	-3.35175448149634	232	122	201	67	0.866379310344828	0.549180327868853	8.97644319741959e-11	1.19759751535371e-10	1.69048444173194e-14	1.12475667920654e-22	6.92766799081657e-20
RPA2	3.91371008282798	1.14884188130414	-2.76486820152385	232	122	156	34	0.672413793103448	0.278688524590164	3.7020572345259e-12	1.58139306308819e-12	1.4975177299736e-12	1.311961215026e-22	7.79211250210084e-20
SF3A3	3.69437334847542	1.2425804469102	-2.45179290156523	232	122	165	39	0.711206896551724	0.319672131147541	3.12991209057145e-12	2.07552354423516e-12	1.29862439889052e-12	1.48972051543977e-22	8.54277661095287e-20
HNRNPF	3.52624806145357	0.932404080724001	-2.59384398072957	232	122	129	20	0.556034482758621	0.163934426229508	2.7828400523944e-12	3.52995270041079e-13	9.22340374725522e-12	1.79335654858314e-22	9.94117313431256e-20
LCP1	4.95270410372201	2.15925046959727	-2.79345363412474	232	122	174	42	0.75	0.344262295081967	2.40373326427563e-13	1.64002778924623e-13	3.40535142107737e-11	3.04609925398987e-22	1.63408485786618e-19
