gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
CD53	5.36944781399285	1.50751419209269	-3.86193362190016	232	122	205	51	0.883620689655172	0.418032786885246	4.3289076545683e-20	5.74874466766393e-20	5.54067804881271e-22	3.00196525439811e-39	2.49613410903203e-35
FOS	8.82560829803776	4.26398625959911	-4.56162203843865	232	122	228	95	0.982758620689655	0.778688524590164	3.91008940745638e-10	3.33800580081131e-10	6.20874091731128e-19	1.34179976203235e-26	2.78926625532475e-23
CXCR4	3.38141322530317	0.451444092814585	-2.92996913248858	232	122	117	13	0.504310344827586	0.10655737704918	3.81184326550653e-13	1.14201213403434e-14	7.31438000799836e-14	5.29167464210945e-26	9.14542651025232e-23
SKIL	0.510598873644182	3.57037967884981	3.05978080520563	232	122	58	75	0.25	0.614754098360656	3.61597889745631e-11	2.52174033805235e-11	3.44456734311489e-17	5.49935448602064e-26	9.14542651025232e-23
GAS2	0.207650218851073	3.30207134893465	3.09442113008358	232	122	27	53	0.116379310344828	0.434426229508197	2.62681023726187e-11	3.51218694929285e-11	2.04249256423153e-14	4.0598516886265e-23	2.93544928616777e-20
WTAP	6.16546550508688	8.20014679336794	2.03468128828105	232	122	205	116	0.883620689655172	0.950819672131147	0.0608782494738605	0.0528481013043919	4.3662353497381e-14	8.00753490466153e-14	9.58023780320297e-12
NFKBIA	2.83840049128293	5.96055817114335	3.12215767986042	232	122	132	94	0.568965517241379	0.770491803278688	0.000278852108650453	0.000184050733654872	5.4928661616516e-10	3.12617996305902e-12	2.62567539321573e-10
CTNNB1	5.11507253315149	6.78644004209437	1.67136750894289	232	122	207	116	0.892241379310345	0.950819672131147	0.0978837837593781	0.0753620257425989	3.60981008810449e-10	6.8901991070275e-10	3.08021535349106e-08
HIF1A	3.96406664278255	6.02509610210656	2.06102945932401	232	122	154	97	0.663793103448276	0.795081967213115	0.013835089939453	0.00988745873909181	6.50383228269562e-09	1.57340733928681e-09	6.27468283575294e-08
SQSTM1	1.13792963860818	2.31768201985614	1.17975238124796	232	122	48	47	0.206896551724138	0.385245901639344	0.000514991576355565	0.000409382199809271	0.000161628401598371	1.15999230365241e-06	2.00318504774035e-05
