gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
DNTT	0.0364378681938474	8.55286133033555	8.5164234621417	477	148	12	148	0.0251572327044025	1	1.80510082050928e-123	2.7434415247241e-130	1.34939178232019e-126	2.18103081142272e-253	3.8748193395736e-249
SMAD1	0.216320825833954	5.14465892256277	4.92833809672882	477	148	22	131	0.0461215932914046	0.885135135135135	1.49738550636798e-94	9.0886058251442e-91	4.45357875944512e-95	1.72261298034896e-182	1.53019711044398e-178
S100A16	0.149032614217983	5.34114279744862	5.19211018323064	477	148	10	116	0.0209643605870021	0.783783783783784	8.9525891393622e-90	4.15051609710887e-83	1.17253925074159e-89	1.92457351495369e-169	1.13973243555558e-165
LPAR6	0.439184340686753	6.32082220686982	5.88163786618306	477	148	44	133	0.0922431865828092	0.898648648648649	8.16028005732221e-80	2.26436679182609e-78	4.88048703665549e-84	4.10681019245557e-159	1.82403974697914e-155
IGJ	1.61585509217034	11.9413168112619	10.3254617190916	477	148	128	148	0.268343815513627	1	1.26916700988875e-54	2.01521591870402e-66	6.77527551060701e-80	4.56800948024711e-143	1.6231051285214e-139
ISG20	0.318800564354784	4.43159402347293	4.11279345911814	477	148	42	125	0.0880503144654088	0.844594594594595	6.0717836337656e-73	1.44094703238827e-69	4.90888556447139e-75	2.33859312439904e-141	6.92457424134555e-138
BLNK	0	3.10871822758142	3.10871822758142	477	148	0	90	0	0.608108108108108	1.32678830041451e-74	2.15504742660618e-69	5.80618562656805e-75	4.1297293137193e-141	1.04812529982196e-137
ST18	0.0216865902709163	4.50063397859295	4.47894738832203	477	148	3	91	0.00628930817610063	0.614864864864865	3.84264858649782e-72	2.23932769284544e-65	4.04008624663077e-73	2.86389114111318e-135	6.35998625162709e-132
MSR1	0.00246814494843456	3.14875751192342	3.14628936697498	477	148	1	87	0.00209643605870021	0.587837837837838	1.37062028524751e-70	1.2075205356669e-64	3.22596837967754e-71	1.20948673397788e-132	2.38752681287234e-129
NGFRAP1	6.23508629399614	0.136858879044434	-6.09822741495171	477	148	433	21	0.907756813417191	0.141891891891892	1.22467455916501e-73	8.63268254846858e-71	1.40541227900502e-59	3.61353940019158e-127	6.41981409838036e-124
