gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
GAS2	5.20781803274405	0.207650218851073	-5.00016781389298	477	232	327	27	0.685534591194969	0.116379310344828	2.11278127924209e-45	1.01957877006366e-49	7.30661358562759e-49	1.6735319524558e-95	3.01302692720142e-91
AREG	0.335437116652741	2.94541336762407	2.60997625097133	477	232	36	111	0.0754716981132075	0.478448275862069	7.06339040808065e-35	1.10625430982834e-33	9.33100922762746e-37	1.65001194690677e-67	1.48534075460547e-63
ARRDC3	3.24009403291969	7.31277388973853	4.07267985681884	477	232	313	223	0.656184486373166	0.961206896551724	1.64271644174591e-18	1.37783557493429e-22	6.42927787793866e-46	1.37655948451684e-65	8.26119231974705e-62
NFKBIA	6.89920888573256	2.83840049128293	-4.06080839444963	477	232	432	132	0.905660377358491	0.568965517241379	5.17250752860329e-25	7.48288916220573e-24	1.20309191101836e-35	1.212245623958e-56	5.45631755343498e-53
SELL	4.59100977010241	8.62625991720578	4.03525014710337	477	232	382	227	0.80083857442348	0.978448275862069	3.84781236385757e-10	1.6461083506524e-12	9.24974487743541e-45	1.97214826478563e-54	7.10131147184008e-51
ANXA2	3.43226739557902	0.589217498133469	-2.84304989744556	477	232	273	35	0.572327044025157	0.150862068965517	5.52568277933328e-26	3.77777342282863e-28	1.74325203484903e-26	8.13024707667722e-52	2.43961613947495e-48
CRHBP	2.76163328191245	6.19842409075632	3.43679080884388	477	232	248	199	0.519916142557652	0.857758620689655	4.65152682322704e-18	8.8082508791876e-20	1.18401663287031e-28	1.13864544358892e-45	2.92859608091069e-42
CXCR4	0.862889387508387	3.38141322530317	2.51852383779478	477	232	74	117	0.155136268343816	0.504310344827586	1.98010485930832e-22	8.4856463279752e-22	4.26921865946809e-25	3.8267277359153e-44	8.61205076967739e-41
FOS	4.82792653598367	8.82560829803776	3.99768176205409	477	232	386	228	0.809224318658281	0.982758620689655	4.18323400272706e-10	1.10311873401171e-12	3.83358495388993e-34	4.46051503772758e-44	8.92301252658304e-41
LGALS1	4.19138625008645	1.05109777567409	-3.14028847441236	477	232	306	62	0.641509433962264	0.267241379310345	1.71983626977965e-20	3.76000343043863e-21	3.20674034052812e-24	1.23137729404182e-42	2.21697168019289e-39
STON2	4.20289491980585	2.12511759397043	-2.07777732583542	477	232	400	114	0.838574423480084	0.491379310344828	6.30499889115204e-22	2.10425293369694e-21	3.18497540195839e-21	6.42092352736979e-40	1.05093006533423e-36
RAB31	1.94353531496564	0.163357829797686	-1.78017748516795	477	232	156	8	0.327044025157233	0.0344827586206897	1.00674777942338e-17	9.3222626549297e-22	5.0927807281697e-18	4.23693032752969e-37	6.35680780140371e-34
PCDH9	0.43827274021804	2.24190587062569	1.80363313040765	477	232	42	86	0.0880503144654088	0.370689655172414	1.12184418314185e-19	8.88848861006745e-19	8.42428572599898e-21	6.64833620105058e-37	9.20743422797805e-34
