gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
DNTT	0.0364378681938474	6.81337213164328	6.77693426344944	477	185	12	142	0.0251572327044025	0.767567567567568	1.32962904367376e-90	1.96176599301382e-89	4.18429690542618e-93	3.430914741299e-179	6.17873435760538e-175
S100A16	0.149032614217983	5.18446644226555	5.03543382804756	477	185	10	127	0.0209643605870021	0.686486486486486	2.43161776089532e-79	5.98656511531893e-77	1.4084659528887e-79	3.01921140185107e-153	2.7186489067968e-149
BLNK	0	4.01679668516022	4.01679668516022	477	185	0	107	0	0.578378378378378	1.29065312926527e-72	4.64521274514782e-73	1.0736842669838e-72	1.66217095882514e-142	9.97801226582733e-139
VPREB1	0.0629584335313777	3.30779408153638	3.244835648005	477	185	9	102	0.0188679245283019	0.551351351351351	5.06017845470837e-60	8.6385960312e-57	5.6479455290275e-61	1.31156922425724e-114	5.90501253991217e-111
IFI44L	0.309904860654446	4.51360487547993	4.20370001482549	477	185	32	121	0.0670859538784067	0.654054054054054	1.95539721800191e-57	2.84774273160151e-54	1.03358007243022e-61	7.79162263055606e-113	2.80638663907368e-109
LPAR6	0.439184340686753	5.15446904309614	4.71528470240939	477	185	44	126	0.0922431865828092	0.681081081081081	6.18735181679861e-54	2.11645565365243e-51	5.97039041296532e-59	3.18110201730759e-107	9.54807770494874e-104
IGJ	1.61585509217034	7.32815289867341	5.71229780650308	477	185	128	165	0.268343815513627	0.891891891891892	4.66893099356799e-47	7.38631089450493e-51	1.82037989528267e-53	3.19837666214859e-101	8.22850932980486e-98
VPREB3	0	2.15822431575829	2.15822431575829	477	185	0	77	0	0.416216216216216	6.57145391785204e-50	1.92791311047575e-49	1.83428897950659e-50	8.05201484445646e-97	1.81260919167271e-93
NGFRAP1	6.23508629399614	1.1657745058509	-5.06931178814525	477	185	433	59	0.907756813417191	0.318918918918919	6.18735181679861e-54	2.11645565365243e-51	2.22975733169673e-48	1.07316234176247e-96	2.14739784586671e-93
MAN1A1	0.247594896035148	3.29610165473675	3.0485067587016	477	185	26	103	0.0545073375262055	0.556756756756757	7.76938846498722e-48	2.03379711842633e-44	7.5821236749438e-50	3.31089420817345e-91	5.96258937949956e-88
MX1	0.231425969057481	3.76050772742457	3.52908175836709	477	185	32	105	0.0670859538784067	0.567567567567568	1.70327424569309e-45	2.53999569237359e-42	3.75126810771563e-49	1.98454390853758e-88	3.2490592044412e-85
SPINK2	7.18898926804358	1.94717256217145	-5.24181670587213	477	185	454	92	0.951781970649895	0.497297297297297	1.18272918617739e-42	2.53868163691361e-39	8.55969767851102e-46	4.20788668678614e-82	6.3149859451943e-79
KIAA0125	3.92496892558671	0.936083596113774	-2.98888532947294	477	185	371	35	0.777777777777778	0.189189189189189	1.02927462569121e-43	1.22122714531435e-44	6.99156713113273e-34	1.52371855010845e-75	2.11081902837716e-72
