gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
IFI44L	0.645713181426387	4.51360487547993	3.86789169405355	148	185	15	121	0.101351351351351	0.654054054054054	6.51740749410949e-24	3.46639654325695e-26	1.46432062322853e-22	5.57841017817455e-46	9.06882142665836e-42
ST18	4.50063397859295	0.721226324343069	-3.77940765424988	148	185	91	24	0.614864864864865	0.12972972972973	6.49298963473886e-20	7.86832180483025e-21	7.47251659997633e-23	5.77611572675147e-41	4.69511566848993e-37
SMAD1	5.14465892256277	2.17646540302664	-2.96819351953613	148	185	131	76	0.885135135135135	0.410810810810811	2.04696701613729e-18	6.82327554551402e-20	1.9440436623637e-17	1.10907252284332e-34	6.01006400128795e-31
MX1	0.495316100065227	3.76050772742457	3.26519162735935	148	185	18	105	0.121621621621622	0.567567567567568	1.40744843329007e-16	5.34953968764749e-18	4.8911273896392e-18	2.10967068716612e-33	8.57422909031492e-30
CHN1	2.93615067410815	0.368351936041887	-2.56779873806626	148	185	68	13	0.459459459459459	0.0702702702702703	5.63892400525054e-16	6.61654263178117e-17	1.14774129552824e-16	5.69236527680952e-31	1.85081564610185e-27
IFI44	0.77823344134651	3.69641713307878	2.91818369173227	148	185	18	103	0.121621621621622	0.556756756756757	6.01989193346351e-16	2.88210608237659e-17	2.22728967476805e-15	4.67474272023444e-30	1.26662154004752e-26
RNA5-8S5	2.16620362274909	4.7614104135192	2.59520679077011	148	185	70	158	0.472972972972973	0.854054054054054	2.51200539043962e-13	1.18269790939779e-13	1.81273822068412e-15	1.38732628645248e-26	3.22196620555114e-23
IGJ	11.9413168112619	7.32815289867341	-4.61316391258852	148	185	148	165	1	0.891891891891892	9.87106105632568e-05	6.09156765953198e-06	1.96087314001175e-21	7.24923444119393e-25	1.47313505388112e-21
RNVU1-19	0.434208383179132	2.71566662171148	2.28145823853235	148	185	16	88	0.108108108108108	0.475675675675676	1.51747064238327e-12	1.231064627978e-13	3.30452992738504e-13	2.41905056153772e-24	4.36961166432431e-21
RNA45S5	8.83154826963572	10.5130344872741	1.68148621763839	148	185	148	185	1	1	NA	1	1.33083125861071e-25	7.75592801238488e-24	1.26088121697341e-20
OAS2	0.325979844261222	2.13474765267528	1.80876780841406	148	185	8	71	0.0540540540540541	0.383783783783784	5.23927840983512e-12	1.45839619014035e-13	4.50961770032024e-12	3.72780636836947e-23	5.50935892096204e-20
LOC101927069	1.48686377158809	0.0992474759052316	-1.38761629568286	148	185	41	3	0.277027027027027	0.0162162162162162	9.04567577132255e-12	3.60902651321847e-13	4.36876186186908e-12	8.79903128609083e-23	1.19204876348315e-19
MSR1	3.14875751192342	0.932273462936843	-2.21648404898657	148	185	87	42	0.587837837837838	0.227027027027027	4.03532198913881e-11	2.75004594467367e-11	1.01278925252004e-13	1.53849025617643e-22	1.92394123805079e-19
HIST1H2AH	0.104970538951339	1.63543712601788	1.53046658706654	148	185	4	59	0.027027027027027	0.318918918918919	3.66402945497259e-11	4.07660724682638e-13	1.48116157626818e-11	3.28859542962688e-22	3.81876399281745e-19
EDEM1	7.05998175599487	4.46496458948531	-2.59501716650956	148	185	136	133	0.918918918918919	0.718918918918919	8.09519653840067e-06	2.74097654449009e-06	9.38874611256524e-18	1.36428548745219e-21	1.47861261130068e-18
HIST1H1B	0.324824967404896	2.2530350590666	1.92821009166171	148	185	10	71	0.0675675675675676	0.383783783783784	5.57865056299549e-11	2.8741635324231e-12	1.94203460927881e-11	2.91589089358874e-21	2.96272739106701e-18
HPGDS	0.0435615357609973	1.65756259278909	1.61400105702809	148	185	1	48	0.00675675675675676	0.259459459459459	2.74269886931051e-10	6.95454939280476e-13	1.19614079418325e-10	4.31245264915238e-21	4.1239731010159e-18
