gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
DNTT	0.0364378681938474	8.56147739439327	8.52503952619943	477	155	12	155	0.0251572327044025	1	2.75162026117519e-125	2.24614301047352e-134	3.67946995005587e-128	4.97666489072467e-259	8.84651950975217e-255
SMAD1	0.216320825833954	5.00531731405257	4.78899648821862	477	155	22	133	0.0461215932914046	0.858064516129032	1.17376889213862e-91	4.55547031755769e-88	3.26585698764221e-92	6.14092423018428e-177	5.45805345578779e-173
S100A16	0.149032614217983	5.23646719385302	5.08743457963504	477	155	10	120	0.0209643605870021	0.774193548387097	2.42651383307163e-89	8.84204957049868e-84	4.09365023011304e-89	1.43249683802672e-169	8.48802126425432e-166
LPAR6	0.439184340686753	6.39857015852722	5.95938581784047	477	155	44	140	0.0922431865828092	0.903225806451613	3.25411604223175e-82	7.64974782602108e-82	1.94655954371735e-86	5.73490430303735e-165	2.5485914722698e-161
IGJ	1.61585509217034	11.8586921689929	10.2428370768226	477	155	128	155	0.268343815513627	1	2.22104621248548e-56	6.97928765307411e-69	1.05070213691601e-81	2.52550366701534e-147	8.97867063697295e-144
BLNK	0	3.15385965104493	3.15385965104493	477	155	0	95	0	0.612903225806452	9.0960748912439e-76	8.42743492967259e-72	4.97188292250249e-76	1.41642562879979e-144	4.19639699625751e-141
ISG20	0.318800564354784	4.28441609173441	3.96561552737963	477	155	42	127	0.0880503144654088	0.819354838709677	1.28414864281674e-70	2.17852277122051e-67	1.38621390239771e-72	9.66228937501648e-137	2.45366937043276e-133
FBXW7	1.11918403857613	7.31577679160456	6.19659275302843	477	155	104	146	0.218029350104822	0.941935483870968	4.7423810081049e-57	4.0426094964346e-62	5.40572780632399e-72	6.69719080628855e-131	1.48811579715732e-127
ST18	0.0216865902709163	4.29737954085004	4.27569295057912	477	155	3	91	0.00628930817610063	0.587096774193548	9.2670372311578e-69	4.3172908198444e-63	1.01904567246816e-69	1.33507613086477e-129	2.63692370025025e-126
MSR1	0.00246814494843456	3.03044388856095	3.02797574361251	477	155	1	88	0.00209643605870021	0.567741935483871	3.11155770650928e-68	2.03833566215373e-63	7.66565672633542e-69	4.72181028636643e-129	8.39348996504497e-126
NGFRAP1	6.23508629399614	0.161666401702737	-6.07341989229341	477	155	433	25	0.907756813417191	0.161290322580645	3.23743549082352e-72	1.43642782255248e-69	5.9146156032819e-61	2.53345293285443e-127	4.09405993949276e-124
VPREB1	0.0629584335313777	3.16968632874116	3.10672789520979	477	155	9	91	0.0188679245283019	0.587096774193548	1.04202079940795e-62	2.88053619822759e-56	9.13002787881892e-64	7.20709845725608e-117	1.06761151813487e-113
SPINK2	7.18898926804358	0.773009717312363	-6.41597955073122	477	155	454	60	0.951781970649895	0.387096774193548	1.47337810672302e-54	9.41158942146427e-49	3.05110969634861e-56	6.87496220680956e-102	9.40071755294206e-99
