gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust	chromosome	strand	start	end	length	tss	chromosome	start	end	peak_loc	chip_count_dup	contr_count_dup	chip_count	contr_count	adj.pvalueNtags	foldChangeNtags	Distance_From_Nearest_TSS
KIAA0125	5.13034967976226	0.00619964456676921	-5.12415003519549	8	124	8	1	1	0.00806451612903226	7.9143747780441e-24	4.88754191274911e-12	2.92548947398997e-27	1.26027513786022e-36	1.22505021642521e-32	chr14	+	106383837	106398502	14665	106383837	chr14	106374334	106374685	106374544	79	0	39	0	0	40	-9293
OXT	4.40224224487459	0.0135726339834834	-4.38866961089111	8	124	8	1	1	0.00806451612903226	7.9143747780441e-24	4.88754191274911e-12	3.71084649996605e-27	1.59428711143312e-36	1.22505021642521e-32	chr20	+	3052265	3053163	898	3052265	chr20	3071130	3071563	3071421	108	3	42	2	7.05595071298108e-12	14.3333333333333	19156
MYOC	6.24727412193892	0.0644381169650145	-6.1828360049739	8	124	7	1	0.875	0.00806451612903226	3.71754450474609e-20	5.39258791039987e-10	4.45953521441602e-23	1.77490052198596e-30	9.09222374062673e-27	chr1	-	171604556	171621773	17217	171621773	chr1	171750224	171750594	171750354	75	1	37	1	1.04188722521637e-11	19	-128581
EGLN3	4.09858725970296	0	-4.09858725970296	8	124	6	0	0.75	0	2.36287543217797e-19	4.27659917365547e-09	9.56313090527344e-23	2.90257565692861e-29	8.92135653913577e-26	chr14	-	34393420	34420284	26864	34420284	chr14	34386127	34386404	34386269	37	4	20	4	0.000140042144077958	4.2	34015
RXFP1	4.26812181365026	0	-4.26812181365026	8	124	6	0	0.75	0	2.36287543217797e-19	4.27659917365547e-09	9.56313090527344e-23	2.90257565692861e-29	8.92135653913577e-26	chr4	+	159442865	159574521	131656	159442865	chr4	159463600	159463836	159463701	45	4	20	2	8.12416913741061e-06	7	20836
GAS2	9.61502688406894	0.048418782481295	-9.56660810158765	8	124	8	5	1	0.0403225806451613	2.08446318204281e-16	6.98918493523121e-10	6.25819363979147e-20	2.89990956286811e-27	7.42763502702617e-24	chr11	+	22688159	22834547	146388	22688159	chr11	22647435	22647714	22647564	55	2	25	2	3.84986395155428e-07	8.66666666666667	-40595
BEX1	2.23868899929514	0	-2.23868899929514	8	124	5	0	0.625	0	1.06068950402752e-15	1.81042698351415e-07	4.48040994242743e-19	4.76742133496078e-24	9.15821638445967e-21	chrX	-	102317580	102319168	1588	102319168	chrX	103401383	103401831	103401598	60	2	34	2	1.27652205410011e-09	11.6666666666667	-1082430
GPR126	2.18619725676706	0	-2.18619725676706	8	124	5	0	0.625	0	1.06068950402752e-15	1.81042698351415e-07	4.48040994242743e-19	4.76742133496078e-24	9.15821638445967e-21	chr6	+	142623055	142767403	144348	142623055	chr6	142701750	142702009	142701922	36	3	21	3	2.2861893467867e-05	5.5	78867
MEIS1	4.90181099976647	0.0487293217533787	-4.85308167801309	8	124	6	2	0.75	0.0161290322580645	1.75876457518632e-14	1.1649781985165e-07	1.93004857002981e-17	1.24681392164195e-22	2.12900403864372e-19	chr2	+	66662531	66799891	137360	66662531	chr2	66708335	66708711	66708561	102	4	51	3	2.36085679367358e-13	13	46030
ALDH1A1	8.42865700375029	0.320534051769732	-8.10812295198056	8	124	8	9	1	0.0725806451612903	1.847149055366e-12	1.32017937665479e-08	2.65480763214786e-15	1.84722770688724e-21	2.83881953994431e-18	chr9	-	75515577	75568233	52656	75568233	chr9	75612260	75612609	75612475	39	2	23	2	1.3194450342812e-06	8	-44242
